C3483213     4.3 +/- 1.1     3.4 +/- 1.5
C3485257     2.9 +/- 1.2     2.5 +/- 1.9
C3487113     3.1 +/- 0.8     2.6 +/- 1.4
C3487117     2.6 +/- 0.5     1.9 +/- 1.8
C3488011     4.3 +/- 2.0     5.8 +/- 6.1
C3492938    TBD
C3493044     2.8             1.4 +/- 1.5
C3493048     2.5 +/- 0.1     1.4 +/- 0.9

C3495357    20.0 +/- 4.0    TBD
C3495643    15.0 +/- 3.0    14.4 +/- 4.8
C3495655     7.8 +/- 2.7     7.9 +/- 4.0
C3495707     5.7 +/- 0.6     5.4 +/- 1.6
C3495719     5.0 +/- 0.3     3.9 +/- 1.2
C3495731     3.7 +/- 0.1     3.1 +/- 0.3
