Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,Normal EW3Z,Normal EW3Z Std,Normal EW3ZPN,Normal EW3ZPN Std
ISS_111RF_FMOVIE002_PRIME,0,1,2009-05-26T09:40:14,0.0,0.0,5.278127,5.278127,5.278127,37.88223,37.88223,37.88223,93.79154,93.79154,93.79154,88.82511886,53.7,9.07766737,0.0,0.60027548,0.0,2.53441057,0.0,0.16759201,0.0,4.49543587,0.0,0.29726799,0.0,2.04782094,0.0,0.13541548,0.0,1.35088108,0.0,1.32035708,0.0
ISS_111RF_FMOVIE002_PRIME,1,1,2009-05-26T09:40:14,0.02,0.02,5.2804523,5.2804523,5.2804523,37.882183,37.882183,37.882183,93.79132,93.79132,93.79132,88.82511886,53.7,9.09092152,0.0,0.60111732,0.0,2.53713667,0.0,0.16776262,0.0,4.50832178,0.0,0.29810293,0.0,2.04546307,0.0,0.13525178,0.0,1.3538546,0.0,1.32326354,0.0
ISS_111RF_FMOVIE002_PRIME,2,1,2009-05-26T09:40:14,0.04,0.04,5.2830353,5.2830353,5.2830353,37.88215,37.88215,37.88215,93.79109,93.79109,93.79109,88.82511886,53.7,9.08941038,0.0,0.60098171,0.0,2.53336385,0.0,0.1675032,0.0,4.50727268,0.0,0.29801586,0.0,2.04877385,0.0,0.13546265,0.0,1.3535233,0.0,1.32293985,0.0
ISS_111RF_FMOVIE002_PRIME,3,1,2009-05-26T09:40:14,0.06,0.06,5.2855077,5.2855077,5.2855077,37.8821,37.8821,37.8821,93.7909,93.7909,93.7909,88.82511886,53.7,9.08993172,0.0,0.60098591,0.0,2.53064994,0.0,0.16731533,0.0,4.51457712,0.0,0.29848379,0.0,2.04470466,0.0,0.13518679,0.0,1.35473001,0.0,1.32411943,0.0
ISS_111RF_FMOVIE002_PRIME,4,1,2009-05-26T09:40:14,0.08,0.08,5.2882223,5.2882223,5.2882223,37.882053,37.882053,37.882053,93.79069,93.79069,93.79069,88.82511886,53.7,9.07701692,0.0,0.60009856,0.0,2.51684635,0.0,0.16639342,0.0,4.51926484,0.0,0.29877705,0.0,2.04090574,0.0,0.1349281,0.0,1.35460603,0.0,1.32399812,0.0
ISS_111RF_FMOVIE002_PRIME,5,1,2009-05-26T09:40:14,0.1,0.1,5.2910666,5.2910666,5.2910666,37.882004,37.882004,37.882004,93.79048,93.79048,93.79048,88.82511886,53.7,9.03728246,0.0,0.59743939,0.0,2.51027943,0.0,0.16595031,0.0,4.49161111,0.0,0.29693278,0.0,2.03539193,0.0,0.1345563,0.0,1.34731086,0.0,1.31686792,0.0
ISS_111RF_FMOVIE002_PRIME,6,1,2009-05-26T09:40:14,0.12,0.12,5.294073,5.294073,5.294073,37.881954,37.881954,37.881954,93.79028,93.79028,93.79028,88.82511886,53.7,9.07783654,0.0,0.60008687,0.0,2.52775954,0.0,0.16709657,0.0,4.50727475,0.0,0.29795165,0.0,2.04280225,0.0,0.13503865,0.0,1.35255484,0.0,1.32199354,0.0
ISS_111RF_FMOVIE002_PRIME,7,1,2009-05-26T09:40:14,0.14,0.14,5.297273,5.297273,5.297273,37.881905,37.881905,37.881905,93.79006,93.79006,93.79006,88.82511886,53.7,9.06137781,0.0,0.59896552,0.0,2.52742875,0.0,0.1670654,0.0,4.49071363,0.0,0.29684036,0.0,2.04323543,0.0,0.13505977,0.0,1.34864981,0.0,1.31817687,0.0
ISS_111RF_FMOVIE002_PRIME,8,1,2009-05-26T09:40:14,0.16,0.16,5.300652,5.300652,5.300652,37.88185,37.88185,37.88185,93.78985,93.78985,93.78985,88.82511886,53.7,9.04732762,0.0,0.59800343,0.0,2.51111429,0.0,0.16597774,0.0,4.49894247,0.0,0.2973677,0.0,2.03727086,0.0,0.13465799,0.0,1.34904237,0.0,1.31856068,0.0
ISS_111RF_FMOVIE002_PRIME,9,1,2009-05-26T09:40:14,0.18,0.18,5.3041553,5.3041553,5.3041553,37.8818,37.8818,37.8818,93.789635,93.789635,93.789635,88.82511886,53.7,9.08347552,0.0,0.60035812,0.0,2.5300863,0.0,0.1672221,0.0,4.50749011,0.0,0.29791552,0.0,2.04589912,0.0,0.13522051,0.0,1.35280351,0.0,1.32223696,0.0
ISS_111RF_FMOVIE002_PRIME,10,1,2009-05-26T09:40:14,0.2,0.2,5.3077135,5.3077135,5.3077135,37.881752,37.881752,37.881752,93.78943,93.78943,93.78943,88.82511886,53.7,9.11103663,0.0,0.60214721,0.0,2.5362095,0.0,0.16761775,0.0,4.51830203,0.0,0.29861399,0.0,2.0565251,0.0,0.13591547,0.0,1.35637958,0.0,1.32573224,0.0
ISS_111RF_FMOVIE002_PRIME,11,1,2009-05-26T09:40:14,0.22,0.22,5.3114448,5.3114448,5.3114448,37.88169,37.88169,37.88169,93.78922,93.78922,93.78922,88.82511886,53.7,9.10880935,0.0,0.6019675,0.0,2.52908119,0.0,0.16713762,0.0,4.52438321,0.0,0.29899975,0.0,2.05534495,0.0,0.13583014,0.0,1.35719638,0.0,1.32653071,0.0
