Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,EW139470,EW139470 STD,Normal EW139470,Normal EW139470 STD,EW139550,EW139550 STD,Normal EW139550,Normal EW139550 STD,EW139630,EW139630 STD,Normal EW139630,Normal EW139630 STD,EW139710,EW139710 STD,Normal EW139710,Normal EW139710 STD,EW139790,EW139790 STD,Normal EW139790,Normal EW139790 STD,EW139870,EW139870 STD,Normal EW139870,Normal EW139870 STD,EW139950,EW139950 STD,Normal EW139950,Normal EW139950 STD,EW140030,EW140030 STD,Normal EW140030,Normal EW140030 STD,EW140110,EW140110 STD,Normal EW140110,Normal EW140110 STD,EW140190,EW140190 STD,Normal EW140190,Normal EW140190 STD,EW140270,EW140270 STD,Normal EW140270,Normal EW140270 STD,EW140350,EW140350 STD,Normal EW140350,Normal EW140350 STD,EW140430,EW140430 STD,Normal EW140430,Normal EW140430 STD,EW140510,EW140510 STD,Normal EW140510,Normal EW140510 STD,EW140590,EW140590 STD,Normal EW140590,Normal EW140590 STD,EW140670,EW140670 STD,Normal EW140670,Normal EW140670 STD,EW140750,EW140750 STD,Normal EW140750,Normal EW140750 STD,EW140830,EW140830 STD,Normal EW140830,Normal EW140830 STD,EW140910,EW140910 STD,Normal EW140910,Normal EW140910 STD
ISS_000RI_SATSRCHAP001_PRIME,0,18000,2004-06-20T20:03:28,0.0,359.98,38.196,61.67,41.729,67.141,67.351,67.308,73.763,73.946,73.911,65.45,100.0,2.2495,0.70215,0.6234,0.1945,0.31557,0.05419,0.08745,0.01499,1.43138,0.61523,0.39668,0.17045,0.50255,0.14867,0.13927,0.04118,0.00121,0.00426,0.00033,0.00118,0.00282,0.00433,0.00078,0.0012,0.00581,0.00448,0.00161,0.00124,0.01088,0.00465,0.00302,0.00129,0.01984,0.00562,0.0055,0.00156,0.03617,0.00961,0.01002,0.00266,0.06916,0.01666,0.01917,0.00461,0.14233,0.03812,0.03944,0.01056,0.36342,0.22523,0.10073,0.06242,0.82916,0.43019,0.22978,0.11918,0.34704,0.29315,0.09617,0.08123,0.14085,0.06323,0.03903,0.01752,0.10733,0.04264,0.02974,0.01181,0.07442,0.02231,0.02062,0.00618,0.04742,0.0123,0.01314,0.00341,0.02727,0.00702,0.00756,0.00195,0.01431,0.00484,0.00397,0.00134,0.00721,0.00408,0.002,0.00113,0.00283,0.00309,0.00079,0.00086
ISS_006RI_LPHRLFMOV001_PRIME,0,17335,2005-04-13T02:37:52,0.0,359.98,5.923,16.442,7.041,31.15,39.419,35.554,83.151,83.713,83.452,67.982,96.30555555555556,4.01741,0.76484,0.45796,0.08745,0.92843,0.27222,0.10546,0.02935,2.67951,0.829,0.30577,0.09561,0.40947,0.03544,0.04673,0.00465,0.00276,0.00114,0.00031,0.00013,0.00746,0.00207,0.00085,0.00023,0.01745,0.00224,0.00199,0.00024,0.03853,0.00318,0.00439,0.00033,0.08482,0.00711,0.00968,0.00093,0.16821,0.02828,0.01911,0.00281,0.30383,0.05816,0.03466,0.00675,0.26748,0.23236,0.03018,0.02582,0.58235,0.56571,0.06598,0.06342,1.76846,0.84904,0.20216,0.09758,0.5085,0.14715,0.0581,0.01736,0.19654,0.02182,0.02246,0.00295,0.06917,0.00804,0.00788,0.00086,0.01602,0.00453,0.00182,0.00048,6e-05,0.00219,0.0,0.00025,-0.00348,0.00143,-0.0004,0.00016,-0.00441,0.00189,-0.0005,0.00021,-0.0042,0.00171,-0.00048,0.00019,-0.00212,0.0011,-0.00024,0.00013
ISS_007RI_HPMRDFMOV001_PRIME,0,13029,2005-05-03T22:29:04,0.0,359.98,4.329,11.616,5.4,117.135,132.132,123.492,93.807,98.353,95.762,68.187,72.38333333333333,9.45168,1.45101,0.95853,0.31017,2.17833,0.58633,0.20596,0.01053,5.54405,1.77568,0.58405,0.30301,1.7293,0.24685,0.16853,0.02101,0.00277,0.00624,0.00018,0.0006,0.00825,0.01095,0.00064,0.00111,0.02221,0.01836,0.0019,0.00185,0.05607,0.02436,0.00517,0.00219,0.13703,0.03166,0.01317,0.00263,0.32404,0.04221,0.03167,0.00395,0.66727,0.15563,0.06464,0.01204,0.89998,0.35778,0.08306,0.01639,0.51811,0.23466,0.05249,0.02931,3.91544,1.26433,0.41011,0.21289,1.66028,0.75921,0.17611,0.11088,0.77474,0.11998,0.07524,0.00734,0.31604,0.05636,0.0305,0.00202,0.11166,0.03263,0.01048,0.00104,0.03335,0.01247,0.00309,0.00082,0.00848,0.0082,0.0007,0.00087,0.00017,0.00614,-8e-05,0.00077,-0.00219,0.00471,-0.0003,0.00062,-0.00202,0.0027,-0.00024,0.00035
ISS_007RI_LPHRLFMOV001_PRIME,0,11401,2005-05-01T04:07:28,0.0,359.98,6.252,7.685,7.003,29.889,35.79,33.598,68.62,69.583,69.034,68.16,63.33888888888889,1.19041,0.34768,0.42591,0.12465,0.15475,0.03253,0.05536,0.01167,0.83155,0.34319,0.29765,0.12342,0.20411,0.05521,0.0729,0.01914,-0.00291,0.00587,-0.00104,0.0021,-0.00373,0.00532,-0.00134,0.0019,-0.00391,0.00571,-0.0014,0.00204,-0.00333,0.00636,-0.00119,0.00228,-0.00058,0.00649,-0.00021,0.00232,0.00951,0.00766,0.00339,0.00272,0.04085,0.01031,0.0146,0.00366,0.09944,0.01996,0.03562,0.00733,0.16006,0.04184,0.05732,0.01521,0.59197,0.32122,0.21176,0.11517,0.12567,0.18186,0.04507,0.06549,0.07776,0.04099,0.02772,0.01434,0.06565,0.01897,0.02349,0.00678,0.03293,0.01256,0.01177,0.00448,0.00736,0.00738,0.00262,0.00263,-0.00047,0.00677,-0.00018,0.00242,-0.00281,0.00515,-0.001,0.00183,-0.00216,0.00424,-0.00077,0.0015,-0.0009,0.00247,-0.00032,0.00087
ISS_00ARI_SPKMOVPER001_PRIME,0,17230,2004-11-15T08:52:32,13.6,358.18,27.04,45.259,29.494,84.213,84.906,84.573,77.211,77.44,77.322,66.603,95.72222222222221,2.68747,0.60501,0.58979,0.13263,0.33187,0.04378,0.07283,0.00961,1.66392,0.56664,0.36513,0.1242,0.69168,0.30855,0.15183,0.06787,0.00074,0.00154,0.00016,0.00034,0.00217,0.00166,0.00048,0.00036,0.00441,0.00196,0.00097,0.00043,0.00878,0.00212,0.00193,0.00046,0.01782,0.00252,0.00391,0.00055,0.03554,0.00496,0.0078,0.00108,0.07037,0.00912,0.01545,0.00201,0.16257,0.02868,0.03568,0.0063,0.37308,0.1396,0.08189,0.0307,1.01225,0.4639,0.22209,0.10169,0.41212,0.38951,0.09046,0.08553,0.18016,0.15984,0.03955,0.03515,0.14616,0.05158,0.03209,0.01136,0.11087,0.01721,0.02433,0.00376,0.06859,0.00932,0.01505,0.00204,0.04426,0.00783,0.00971,0.00172,0.02311,0.00339,0.00507,0.00074,0.01062,0.00198,0.00233,0.00043,0.00386,0.00128,0.00085,0.00028
ISS_029RF_FMOVIE001_VIMS,0,16858,2006-09-28T20:32:15,0.94,338.08,9.415,10.431,9.882,158.301,161.915,160.131,120.74,122.667,121.746,74.335,93.65555555555557,10.84463,2.3338,5.69694,1.18831,2.39341,0.171,1.25821,0.07596,6.12839,2.0632,3.21765,1.06727,2.32283,0.38555,1.22107,0.19539,0.01555,0.0061,0.00817,0.00318,0.0327,0.00548,0.01719,0.00277,0.05824,0.00698,0.03061,0.00342,0.09933,0.00984,0.05221,0.00463,0.17009,0.01419,0.0894,0.00645,0.30433,0.02866,0.15993,0.01323,0.56493,0.06511,0.29683,0.03058,0.99588,0.06021,0.52378,0.02963,1.35823,0.66485,0.71478,0.35236,4.09587,1.5505,2.15121,0.80811,1.1178,0.87543,0.58416,0.45134,0.59192,0.20295,0.31181,0.10854,0.4845,0.10512,0.25495,0.05581,0.3667,0.08396,0.19242,0.04201,0.25092,0.03143,0.13197,0.01608,0.17165,0.01499,0.09029,0.00781,0.09939,0.01347,0.05221,0.00649,0.04882,0.00628,0.02567,0.00314,0.01779,0.00406,0.00935,0.00211
ISS_029RF_FMOVIE002_VIMS,0,10685,2006-09-30T00:32:15,0.0,359.98,11.066,11.545,11.278,158.804,161.012,159.932,118.488,119.568,118.991,74.349,59.36111111111111,11.58294,2.16441,5.60715,1.01287,3.08388,0.14706,1.49436,0.06567,7.26988,1.97741,3.51745,0.93572,1.22919,0.11376,0.59535,0.05084,0.02222,0.00755,0.01076,0.00363,0.04158,0.00648,0.02014,0.00307,0.07754,0.00832,0.03756,0.00387,0.14736,0.01012,0.07141,0.00469,0.2954,0.01408,0.14315,0.00656,0.54553,0.0307,0.26431,0.01328,0.88946,0.06282,0.43129,0.03336,0.97757,0.1201,0.47353,0.05637,1.02772,0.62638,0.49804,0.30204,5.06649,1.64966,2.45096,0.78581,1.70452,0.44126,0.82466,0.20735,0.54486,0.07247,0.2638,0.03299,0.17631,0.01331,0.08542,0.00598,0.0472,0.00898,0.02285,0.00421,0.01548,0.0064,0.00749,0.00308,0.00503,0.00726,0.00243,0.00351,0.00057,0.00577,0.00027,0.00279,-0.00094,0.00452,-0.00046,0.00219,-0.00095,0.00318,-0.00046,0.00154
ISS_030RF_FMOVIE001_VIMS,0,9616,2006-10-16T01:34:07,0.0,359.98,10.425,10.866,10.629,150.449,152.596,151.523,130.151,131.516,130.85,74.566,53.422222222222224,5.69508,1.03654,3.725,0.67782,1.16749,0.07181,0.76339,0.04336,3.3062,0.94776,2.16279,0.62012,1.22139,0.18067,0.79881,0.11838,0.0077,0.00286,0.00504,0.00187,0.01393,0.00273,0.00911,0.00178,0.02408,0.00307,0.01575,0.00198,0.04257,0.00376,0.02783,0.00236,0.07427,0.00587,0.04856,0.00365,0.13496,0.01029,0.08824,0.00631,0.26672,0.01178,0.17444,0.00743,0.5244,0.04167,0.34286,0.02569,0.79537,0.39856,0.51938,0.25839,2.10704,0.74725,1.37825,0.48835,0.69079,0.53603,0.45313,0.3531,0.35205,0.10461,0.23016,0.06839,0.20767,0.06598,0.1356,0.04224,0.15973,0.01762,0.10452,0.01199,0.13536,0.01102,0.08851,0.00693,0.07721,0.01024,0.05047,0.0064,0.04807,0.00294,0.03144,0.00202,0.02462,0.00277,0.0161,0.00178,0.00856,0.00178,0.0056,0.00116
ISS_031RF_FMOVIE001_VIMS,0,16737,2006-10-31T18:37:35,0.0,359.98,9.339,9.822,9.591,156.15,160.32,158.297,124.792,128.279,126.522,74.784,92.98333333333333,8.70545,1.27511,5.17898,0.76044,2.24345,0.27819,1.33136,0.13505,4.97615,1.26763,2.96457,0.77066,1.48585,0.15126,0.88305,0.08205,0.02394,0.00627,0.01419,0.00347,0.04428,0.00908,0.02627,0.00491,0.07816,0.01155,0.0464,0.00602,0.13067,0.01505,0.07759,0.00749,0.22255,0.02801,0.13208,0.01379,0.37684,0.03986,0.22377,0.01901,0.60414,0.0725,0.35861,0.03636,0.69361,0.12536,0.41122,0.06523,0.56108,0.21309,0.33362,0.1272,3.42592,1.07674,2.03834,0.64161,1.45926,0.50414,0.87208,0.31228,0.6172,0.0419,0.36693,0.02114,0.30135,0.03704,0.17889,0.0189,0.12065,0.00874,0.07174,0.00456,0.03657,0.00507,0.02175,0.00292,0.01002,0.00477,0.00597,0.00282,0.00119,0.0054,0.00072,0.00319,-0.00096,0.00426,-0.00056,0.00252,-0.00102,0.00293,-0.0006,0.00172
ISS_032RF_FMOVIE001_VIMS,0,16730,2006-11-12T17:53:35,0.0,359.98,9.308,9.793,9.562,155.705,159.978,157.907,124.903,128.405,126.636,74.949,92.94444444444444,8.49335,1.69946,5.05429,0.94471,2.14264,0.2055,1.27582,0.09744,4.63379,1.48883,2.75554,0.8557,1.71693,0.19651,1.02293,0.10577,0.02205,0.00522,0.01312,0.00294,0.04072,0.00682,0.02423,0.00371,0.07201,0.01077,0.04286,0.00576,0.11856,0.01691,0.07054,0.00872,0.19625,0.02114,0.11683,0.01026,0.33416,0.04053,0.19887,0.02033,0.54809,0.05422,0.32634,0.02536,0.72817,0.07026,0.43389,0.03742,0.58898,0.18458,0.35084,0.10983,3.21479,1.12746,1.91434,0.6617,1.2523,0.70269,0.74204,0.40451,0.60704,0.06649,0.36184,0.03742,0.36582,0.06039,0.21759,0.03154,0.22323,0.01699,0.13305,0.00889,0.11454,0.01453,0.06817,0.0073,0.04619,0.00572,0.02752,0.00317,0.01631,0.00432,0.00972,0.00251,0.0039,0.00546,0.00233,0.00323,0.00023,0.00312,0.00014,0.00184
