Observation,Slice#,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_000RI_SATSRCHAP001_PRIME,0,2004-06-21T02:27:28,0.0,9.98,39.147,45.136,42.142,67.292,67.316,67.304,73.848,73.94,73.894,65.45,100,1.94514,0.21521,0.53917,0.05971
ISS_000RI_SATSRCHAP001_PRIME,1,2004-06-21T02:11:28,10.0,19.98,39.853,45.147,42.5,67.305,67.318,67.312,73.863,73.94,73.901,65.45,100,2.43039,0.18096,0.67318,0.05008
ISS_000RI_SATSRCHAP001_PRIME,2,2004-06-21T01:39:28,20.0,29.98,39.922,45.243,42.583,67.306,67.321,67.314,73.862,73.94,73.901,65.45,100,2.2938,0.33682,0.63532,0.09319
ISS_000RI_SATSRCHAP001_PRIME,3,2004-06-21T01:23:28,30.0,39.98,39.962,45.256,42.609,67.31,67.323,67.316,73.864,73.939,73.901,65.45,100,2.89594,0.49676,0.80213,0.13752
ISS_000RI_SATSRCHAP001_PRIME,4,2004-06-21T00:51:28,40.0,49.98,39.926,45.353,42.639,67.311,67.325,67.318,73.861,73.938,73.9,65.45,100,3.64814,0.44998,1.01059,0.12468
ISS_000RI_SATSRCHAP001_PRIME,5,2004-06-21T00:35:28,50.0,59.98,40.097,45.436,42.767,67.314,67.327,67.32,73.862,73.938,73.9,65.45,100,3.7141,0.44563,1.02872,0.12324
ISS_000RI_SATSRCHAP001_PRIME,6,2004-06-21T00:03:28,60.0,69.98,40.14,45.508,42.824,67.315,67.33,67.322,73.861,73.937,73.899,65.45,100,3.35853,0.6598,0.93045,0.18263
ISS_000RI_SATSRCHAP001_PRIME,7,2004-06-20T23:47:28,70.0,79.98,40.147,45.544,42.846,67.319,67.331,67.325,73.863,73.937,73.9,65.45,100,1.85299,0.1983,0.51324,0.05493
ISS_000RI_SATSRCHAP001_PRIME,8,2004-06-20T23:15:28,80.0,89.98,40.129,45.664,42.897,67.319,67.334,67.327,73.86,73.936,73.898,65.45,100,2.30096,0.39294,0.63756,0.10897
ISS_000RI_SATSRCHAP001_PRIME,9,2004-06-20T22:59:28,90.0,99.98,40.32,45.735,43.028,67.322,67.336,67.329,73.86,73.936,73.898,65.45,100,2.21934,0.24473,0.61478,0.06795
ISS_000RI_SATSRCHAP001_PRIME,10,2004-06-20T22:27:28,100.0,109.98,40.273,45.771,43.022,67.325,67.338,67.331,73.859,73.935,73.897,65.45,100,1.98766,0.19722,0.55077,0.05472
ISS_000RI_SATSRCHAP001_PRIME,11,2004-06-20T21:55:28,110.0,119.98,40.388,45.868,43.128,67.326,67.34,67.333,73.859,73.935,73.897,65.45,100,1.94503,0.41175,0.53888,0.11427
ISS_000RI_SATSRCHAP001_PRIME,12,2004-06-20T21:39:28,120.0,129.98,40.508,45.927,43.217,67.329,67.342,67.336,73.858,73.934,73.896,65.45,100,1.74003,0.21393,0.48213,0.05931
ISS_000RI_SATSRCHAP001_PRIME,13,2004-06-20T21:07:28,130.0,139.98,40.54,45.976,43.258,67.33,67.345,67.338,73.857,73.933,73.895,65.45,100,1.83629,0.10171,0.5088,0.02819
ISS_000RI_SATSRCHAP001_PRIME,14,2004-06-20T20:51:28,140.0,149.98,40.621,46.059,43.34,67.333,67.346,67.34,73.857,73.933,73.895,65.45,100,1.87352,0.29674,0.51911,0.08216
ISS_000RI_SATSRCHAP001_PRIME,15,2004-06-20T20:35:28,150.0,159.98,40.662,46.156,43.409,67.335,67.349,67.342,73.857,73.932,73.895,65.45,100,1.93519,0.47563,0.53623,0.1317
ISS_000RI_SATSRCHAP001_PRIME,16,2004-06-20T20:03:28,160.0,169.98,40.662,61.67,51.166,67.141,67.351,67.246,73.763,73.932,73.847,65.45,100,1.86063,0.21684,0.51567,0.06012
ISS_000RI_SATSRCHAP001_PRIME,17,2004-06-21T09:55:28,170.0,179.98,46.358,61.277,53.818,67.144,67.223,67.183,73.764,73.823,73.794,65.45,100,2.15379,0.60201,0.60102,0.16755
ISS_000RI_SATSRCHAP001_PRIME,18,2004-06-21T09:55:28,180.0,189.98,38.358,46.335,42.346,67.223,67.267,67.245,73.823,73.884,73.854,65.45,100,2.01754,0.24552,0.56108,0.06836
ISS_000RI_SATSRCHAP001_PRIME,19,2004-06-21T09:39:28,190.0,199.98,38.196,40.778,39.487,67.259,67.277,67.268,73.866,73.931,73.898,65.45,100,2.06279,0.26914,0.57187,0.07495
ISS_000RI_SATSRCHAP001_PRIME,20,2004-06-21T09:07:28,200.0,209.98,38.25,40.873,39.562,67.266,67.28,67.273,73.871,73.93,73.901,65.45,100,2.06338,0.37301,0.57151,0.10332
ISS_000RI_SATSRCHAP001_PRIME,21,2004-06-21T08:51:28,210.0,219.98,38.304,40.896,39.6,67.267,67.282,67.275,73.871,73.93,73.9,65.45,100,1.66588,0.20226,0.46142,0.05602
