Date,Pandora Distance
1978-01-01T00:00:00,849.288
1978-01-02T00:00:00,848.841
1978-01-03T00:00:00,848.894
1978-01-04T00:00:00,847.996
1978-01-05T00:00:00,847.759
1978-01-06T00:00:00,847.013
1978-01-07T00:00:00,846.886
1978-01-08T00:00:00,846.1
1978-01-09T00:00:00,847.081
1978-01-10T00:00:00,845.995
1978-01-11T00:00:00,845.548
1978-01-12T00:00:00,845.266
1978-01-13T00:00:00,844.359
1978-01-14T00:00:00,844.278
1978-01-15T00:00:00,843.606
1978-01-16T00:00:00,843.368
1978-01-17T00:00:00,842.77
1978-01-18T00:00:00,842.545
1978-01-19T00:00:00,842.202
1978-01-20T00:00:00,841.809
1978-01-21T00:00:00,841.537
1978-01-22T00:00:00,841.122
1978-01-23T00:00:00,841.241
1978-01-24T00:00:00,840.964
1978-01-25T00:00:00,840.765
1978-01-26T00:00:00,840.385
1978-01-27T00:00:00,839.78
1978-01-28T00:00:00,839.289
1978-01-29T00:00:00,839.088
1978-01-30T00:00:00,838.45
1978-01-31T00:00:00,838.316
1978-02-01T00:00:00,837.863
1978-02-02T00:00:00,837.572
1978-02-03T00:00:00,837.261
1978-02-04T00:00:00,836.435
1978-02-05T00:00:00,836.287
1978-02-06T00:00:00,835.991
1978-02-07T00:00:00,836.036
1978-02-08T00:00:00,835.73
1978-02-09T00:00:00,835.404
1978-02-10T00:00:00,834.884
1978-02-11T00:00:00,834.388
1978-02-12T00:00:00,834.16
1978-02-13T00:00:00,833.441
1978-02-14T00:00:00,833.216
1978-02-15T00:00:00,832.93
1978-02-16T00:00:00,832.632
1978-02-17T00:00:00,832.09
1978-02-18T00:00:00,831.462
1978-02-19T00:00:00,830.825
1978-02-20T00:00:00,830.339
1978-02-21T00:00:00,829.632
1978-02-22T00:00:00,829.624
1978-02-23T00:00:00,828.994
1978-02-24T00:00:00,828.723
1978-02-25T00:00:00,828.321
1978-02-26T00:00:00,827.166
1978-02-27T00:00:00,826.984
1978-02-28T00:00:00,826.385
1978-03-01T00:00:00,826.306
1978-03-02T00:00:00,825.628
1978-03-03T00:00:00,825.443
1978-03-04T00:00:00,824.349
1978-03-05T00:00:00,823.73
1978-03-06T00:00:00,823.111
1978-03-07T00:00:00,822.69
1978-03-08T00:00:00,822.218
1978-03-09T00:00:00,821.792
1978-03-10T00:00:00,821.144
1978-03-11T00:00:00,820.63
1978-03-12T00:00:00,819.678
1978-03-13T00:00:00,819.179
1978-03-14T00:00:00,818.647
1978-03-15T00:00:00,818.367
1978-03-16T00:00:00,817.977
1978-03-17T00:00:00,816.976
1978-03-18T00:00:00,816.76
1978-03-19T00:00:00,815.559
1978-03-20T00:00:00,815.328
1978-03-21T00:00:00,814.302
1978-03-22T00:00:00,813.863
1978-03-23T00:00:00,813.279
1978-03-24T00:00:00,812.826
1978-03-25T00:00:00,812.46
1978-03-26T00:00:00,811.484
1978-03-27T00:00:00,810.873
1978-03-28T00:00:00,809.95
1978-03-29T00:00:00,809.376
1978-03-30T00:00:00,808.921
1978-03-31T00:00:00,808.308
1978-04-01T00:00:00,807.785
1978-04-02T00:00:00,807.088
1978-04-03T00:00:00,806.224
1978-04-04T00:00:00,805.865
1978-04-05T00:00:00,805.257
1978-04-06T00:00:00,805.084
1978-04-07T00:00:00,804.169
1978-04-08T00:00:00,803.961
1978-04-09T00:00:00,803.03
1978-04-10T00:00:00,801.955
1978-04-11T00:00:00,801.681
1978-04-12T00:00:00,800.9
1978-04-13T00:00:00,800.649
1978-04-14T00:00:00,799.796
1978-04-15T00:00:00,798.999
1978-04-16T00:00:00,798.412
1978-04-17T00:00:00,797.812
1978-04-18T00:00:00,797.277
1978-04-19T00:00:00,796.829
1978-04-20T00:00:00,796.389
1978-04-21T00:00:00,795.889
1978-04-22T00:00:00,795.591
1978-04-23T00:00:00,795.052
1978-04-24T00:00:00,794.32
1978-04-25T00:00:00,793.731
1978-04-26T00:00:00,793.33
1978-04-27T00:00:00,792.751
1978-04-28T00:00:00,792.578
1978-04-29T00:00:00,791.812
1978-04-30T00:00:00,791.613
1978-05-01T00:00:00,790.61
1978-05-02T00:00:00,790.313
1978-05-03T00:00:00,789.2
1978-05-04T00:00:00,788.494
1978-05-05T00:00:00,788.22
1978-05-06T00:00:00,787.737
1978-05-07T00:00:00,787.626
1978-05-08T00:00:00,786.736
1978-05-09T00:00:00,786.597
1978-05-10T00:00:00,786.083
1978-05-11T00:00:00,785.979
1978-05-12T00:00:00,785.189
1978-05-13T00:00:00,784.985
1978-05-14T00:00:00,784.469
1978-05-15T00:00:00,784.034
1978-05-16T00:00:00,783.004
1978-05-17T00:00:00,782.776
1978-05-18T00:00:00,782.29
1978-05-19T00:00:00,781.844
1978-05-20T00:00:00,781.534
1978-05-21T00:00:00,780.637
1978-05-22T00:00:00,780.744
1978-05-23T00:00:00,779.781
1978-05-24T00:00:00,779.722
1978-05-25T00:00:00,779.157
1978-05-26T00:00:00,779.145
1978-05-27T00:00:00,778.678
1978-05-28T00:00:00,778.446
1978-05-29T00:00:00,777.872
1978-05-30T00:00:00,777.118
1978-05-31T00:00:00,776.862
1978-06-01T00:00:00,776.348
1978-06-02T00:00:00,776.072
1978-06-03T00:00:00,775.769
1978-06-04T00:00:00,775.67
1978-06-05T00:00:00,775.186
1978-06-06T00:00:00,774.623
