Occultation Name,Ring Event Start Time,Ring Event End Time,Ring Event Mean Time,RevNo,Observation Name,Star Name,Direction,Minimum Wavelength,Maximum Wavelength,Data Quality Score,Minimum Inertial Longitude,Maximum Inertial Longitude,Mean Inertial Longitude,Minimum Co-Rot Longitude,Maximum Co-Rot Longitude,Mean Co-Rot Longitude,Ring Elevation,Lowest Detectable Opacity,Highest Detectable Opacity,Prometheus Distance,Equivalent Tau,Core30 ED,Core50 ED,Full ED,Before ISS ObsName,Before ISS Delta,After ISS ObsName,After ISS Delta
UVIS_HSP_2005_139_126TAU_E,2005-05-19T14:14:02,2005-05-19T14:20:08,2005-05-19T14:17:05,8,UVIS_008ST_UR26TAU002_PRIME,126 TAU,EGRESS,110,190,FAIR,227.12,227.34,227.234,242.417,244.664,243.545,-21.1,0.02,9.34,403.705,0.061,5.327,6.384,12.731,ISS_007RI_HPMRDFMOV001_PRIME,15.43,,497.55
UVIS_HSP_2005_141_ALPVIR_I,2005-05-21T05:06:49,2005-05-21T05:07:52,2005-05-21T05:07:20,8,UVIS_008ST_URALPVIR001_PRIME,ALP VIR,BOTH,110,190,GOOD,281.01,281.7,281.352,75.778,76.048,75.912,17.3,0.01,10.61,403.366,0.025,2.619,2.683,4.448,ISS_007RI_HPMRDFMOV001_PRIME,17.05,,495.93
UVIS_HSP_2005_141_ALPVIR_E,2005-05-21T06:27:34,2005-05-21T06:28:37,2005-05-21T06:28:05,8,UVIS_008ST_URALPVIR001_PRIME,ALP VIR,BOTH,110,190,GOOD,346.52,347.2,346.86,108.651,108.916,108.784,17.3,0.01,10.61,403.319,0.028,3.041,3.059,5.213,ISS_007RI_HPMRDFMOV001_PRIME,17.1,,495.88
UVIS_HSP_2005_141_DELAQR_E,2005-05-21T22:50:48,2005-05-21T22:52:16,2005-05-21T22:51:32,8,UVIS_008ST_URDELAQR001_PRIME,DEL AQR,EGRESS,110,190,POOR,85.67,85.78,85.725,169.848,170.547,170.198,12.2,0.13,3.12,402.845,0.039,3.675,4.092,7.812,ISS_007RI_HPMRDFMOV001_PRIME,17.79,,495.19
UVIS_HSP_2005_159_ALPLEO_I,2005-06-08T05:05:59,2005-06-08T05:07:09,2005-06-08T05:06:34,9,UVIS_009ST_URALPLEO001_PRIME,ALP LEO,BOTH,110,190,GOOD,350.3,350.89,350.6,109.581,110.646,110.119,-9.5,0.01,8.29,399.715,0.038,3.73,3.982,7.987,,35.05,,477.93
UVIS_HSP_2005_175_126TAU_I,2005-06-24T00:42:49,2005-06-24T00:48:55,2005-06-24T00:45:52,10,UVIS_010ST_UR26TAU001_PRIME,126 TAU,INGRESS,110,190,FAIR,100.69,100.9,100.793,13.121,15.376,14.247,-21.1,0.03,3.74,399.658,0.049,3.806,5.094,12.874,,50.87,,462.11
UVIS_HSP_2005_195_SIGSGR_I,2005-07-14T22:59:49,2005-07-14T23:01:19,2005-07-14T23:00:34,11,UVIS_011ST_URSIGSGR001_PRIME,SIG SGR,INGRESS,110,190,GOOD,268.94,269.21,269.075,243.67,244.013,243.841,29.1,0.01,7.14,398.409,0.042,4.046,4.388,5.509,,71.79,,441.19
UVIS_HSP_2005_232_ALPSCO_I,2005-08-20T11:11:53,2005-08-20T11:13:20,2005-08-20T11:12:36,13,UVIS_013ST_ALPSCOOCC001_VIMS,ALP SCO,BOTH,110,190,POOR,276.22,276.69,276.454,244.613,244.726,244.669,32.2,-1.0,-1.0,389.328,0.043,3.937,4.512,3.973,,108.3,,404.68
UVIS_HSP_2005_232_ALPSCO_E,2005-08-20T14:17:02,2005-08-20T14:18:26,2005-08-20T14:17:44,13,UVIS_013ST_ALPSCOOCC001_VIMS,ALP SCO,BOTH,110,190,POOR,9.76,10.22,9.989,263.33,263.441,263.386,32.2,-1.0,-1.0,389.328,0.081,8.117,8.879,10.809,,108.43,,404.55
UVIS_HSP_2006_252_LAMCET_I,2006-09-09T05:58:50,2006-09-09T06:00:29,2006-09-09T05:59:40,28,UVIS_028ST_URLAMCET001_PRIME,LAM CET,INGRESS,110,190,POOR,14.93,15.18,15.054,333.137,334.055,333.595,-15.4,0.03,5.45,314.616,0.058,5.427,6.029,8.15,,495.79,ISS_029RF_FMOVIE001_VIMS,19.9
UVIS_HSP_2006_269_LAMSCO_E,2006-09-27T03:21:59,2006-09-27T03:26:28,2006-09-27T03:24:14,29,UVIS_029ST_URLAMSCO001_PRIME,LAM SCO,EGRESS,110,190,GOOD,358.91,359.24,359.075,344.343,345.824,345.082,41.7,0.01,12.51,309.383,0.03,2.739,3.117,7.78,,513.69,ISS_029RF_FMOVIE002_VIMS,3.06
UVIS_HSP_2006_311_GAMPEG_I,2006-11-07T18:31:02,2006-11-07T18:32:56,2006-11-07T18:31:59,32,UVIS_032ST_URGAMPEG001_PRIME,GAM PEG,INGRESS,110,190,GOOD,87.32,87.76,87.537,325.992,326.328,326.161,-20.3,0.01,8.03,295.785,0.061,6.175,6.742,12.611,ISS_031RF_FMOVIE001_VIMS,6.71,ISS_033RF_FMOVIE001_VIMS,18.22
UVIS_HSP_2006_325_ALPARA_I,2006-11-21T19:07:01,2006-11-21T19:10:19,2006-11-21T19:08:40,33,UVIS_033ST_URALPARA001_PRIME,ALP ARA,INGRESS,110,190,GOOD,221.52,221.55,221.537,217.153,218.514,217.836,54.4,0.01,7.53,294.283,0.029,2.748,3.078,4.444,ISS_032RF_FMOVIE001_VIMS,8.77,ISS_033RF_FMOVIE001_VIMS,4.2
UVIS_HSP_2006_337_ALPVIR_I,2006-12-03T02:05:24,2006-12-03T02:06:00,2006-12-03T02:05:42,34,UVIS_034ST_URALPVIR001_PRIME,ALP VIR,BOTH,110,190,GOOD,206.1,206.35,206.225,112.133,112.624,112.378,17.3,-1.0,-1.0,294.655,0.04,3.872,4.206,7.126,ISS_033RF_FMOVIE001_VIMS,7.09,ISS_036RF_FMOVIE001_VIMS,20.63
UVIS_HSP_2006_337_ALPVIR_E,2006-12-03T04:05:05,2006-12-03T04:05:41,2006-12-03T04:05:23,34,UVIS_034ST_URALPVIR001_PRIME,ALP VIR,BOTH,110,190,GOOD,89.8,90.06,89.929,307.464,307.965,307.713,17.3,-1.0,-1.0,294.655,0.051,5.226,5.66,11.213,ISS_033RF_FMOVIE001_VIMS,7.17,ISS_036RF_FMOVIE001_VIMS,20.55
UVIS_HSP_2006_337_ETALUP_E,2006-12-03T16:39:36,2006-12-03T16:42:58,2006-12-03T16:41:17,34,UVIS_034ST_URETALUP001_PRIME,ETA LUP,BOTH,110,190,GOOD,104.99,105.48,105.233,16.606,18.454,17.527,44.5,-1.0,-1.0,294.613,0.033,2.873,3.326,7.466,ISS_033RF_FMOVIE001_VIMS,7.7,ISS_036RF_FMOVIE001_VIMS,20.02
