Occultation Name,Ring Event Start Time,Ring Event End Time,Ring Event Mean Time,RevNo,Observation Name,Star Name,Direction,Minimum Wavelength,Maximum Wavelength,Data Quality Score,Minimum Inertial Longitude,Maximum Inertial Longitude,Mean Inertial Longitude,Minimum Co-Rot Longitude,Maximum Co-Rot Longitude,Mean Co-Rot Longitude,Ring Elevation,Lowest Detectable Opacity,Highest Detectable Opacity,Prometheus Distance,Equivalent Tau,Core30 ED,Core50 ED,Full ED,Before ISS ObsName,Before ISS Delta,After ISS ObsName,After ISS Delta
VIMS_2005_144_OMICET_I,2005-05-24T04:59:39,2005-05-24T05:01:40,2005-05-24T05:00:39,8,N/A,OMICET,BOTH,2866.0,2977.0,GOOD,21.071,21.659,21.366,232.031,233.431,232.733,3.45,0.0,0.4638,402.243,0.053,4.858,5.532,9.282,ISS_007RI_HPMRDFMOV001_PRIME,20.04,,492.94
VIMS_2005_144_OMICET_E,2005-05-24T08:03:02,2005-05-24T08:05:03,2005-05-24T08:04:03,8,N/A,OMICET,BOTH,2866.0,2977.0,GOOD,311.456,312.046,311.749,88.302,89.706,89.001,3.45,0.0,0.4673,402.031,0.05,4.734,5.217,8.709,ISS_007RI_HPMRDFMOV001_PRIME,20.17,,492.81
VIMS_2005_162_OMICET_I,2005-06-11T08:05:07,2005-06-11T08:07:44,2005-06-11T08:06:25,9,N/A,OMICET,BOTH,2866.0,2977.0,FAIR,11.956,12.804,12.383,112.368,114.271,113.325,3.45,0.0,0.4506,399.51,0.038,3.777,4.002,7.341,,38.17,,474.81
VIMS_2005_162_OMICET_E,2005-06-11T10:23:44,2005-06-11T10:26:19,2005-06-11T10:25:02,9,N/A,OMICET,BOTH,2866.0,2977.0,FAIR,320.209,321.049,320.626,4.61,6.498,5.548,3.45,0.0,0.4546,399.51,0.034,3.119,3.499,7.535,,38.27,,474.71
VIMS_2005_180_OMICET_I,2005-06-29T12:38:05,2005-06-29T12:41:28,2005-06-29T12:39:45,10,N/A,OMICET,BOTH,2866.0,2977.0,FAIR,5.461,6.624,6.05,319.889,322.425,321.171,3.45,0.0,0.4743,398.988,0.039,3.75,4.142,7.251,,59.07,,456.62
VIMS_2005_180_OMICET_E,2005-06-29T14:23:46,2005-06-29T14:27:07,2005-06-29T14:25:28,10,N/A,OMICET,BOTH,2866.0,2977.0,FAIR,326.398,327.543,326.964,238.128,240.629,239.365,3.45,0.0,0.4675,398.988,0.047,4.296,4.868,8.133,,56.44,,456.54
VIMS_2005_232_ALPSCO_I,2005-08-20T11:11:53,2005-08-20T11:13:20,2005-08-20T11:12:37,13,N/A,ALPSCO,BOTH,2866.0,2977.0,FAIR,276.215,276.692,276.453,244.613,244.719,244.666,-32.16,0.0003,4.0194,389.328,0.057,5.139,5.886,11.073,,108.3,,404.68
VIMS_2006_269_ALPSCO_I,2006-09-26T06:34:05,2006-09-26T06:37:06,2006-09-26T06:35:35,29,N/A,ALPSCO,INGRESS,2866.0,2977.0,GOOD,201.488,201.788,201.639,331.51,333.034,332.273,-32.16,0.0018,3.0261,309.723,0.048,5.119,5.421,9.245,,512.82,ISS_029RF_FMOVIE001_VIMS,2.87
VIMS_2006_285_RLEO_E,2006-10-12T02:51:34,2006-10-12T02:52:03,2006-10-12T02:51:49,30,N/A,RLEO,BOTH,2866.0,2977.0,POOR,259.196,259.72,259.457,168.744,169.467,169.104,9.55,0.0012,0.8246,303.924,0.032,3.148,3.345,6.582,ISS_029RF_FMOVIE002_VIMS,11.92,ISS_031RF_FMOVIE001_VIMS,19.94
VIMS_2006_336_ALPAUR_I,2006-12-02T12:22:16,2006-12-02T12:23:44,2006-12-02T12:23:00,34,N/A,ALPAUR,INGRESS,2866.0,2977.0,GOOD,29.132,29.235,29.183,267.476,268.173,267.825,50.88,0.016,3.0176,294.44,0.035,3.449,3.683,5.406,ISS_033RF_FMOVIE001_VIMS,6.52,ISS_036RF_FMOVIE001_VIMS,21.2
VIMS_2007_001_RHYA_I,2007-01-01T16:25:33,2007-01-01T16:27:22,2007-01-01T16:26:28,36,N/A,RHYA,INGRESS,2866.0,2977.0,GOOD,200.514,200.732,200.623,161.477,162.431,161.954,-29.4,0.0023,2.6374,294.858,0.032,3.566,3.6,4.167,ISS_036RF_FMOVIE001_VIMS,8.97,ISS_036RF_FMOVIE002_VIMS,4.2
