Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,Normal EW3Z,Normal EW3Z Std,Normal EW3ZPN,Normal EW3ZPN Std,Core Offset Median,Core Offset Mean,Core Offset Std
ISS_000RI_SATSRCHAP001_PRIME,0,18000,2004-06-20T20:03:28,0.0,359.98,179.99,155.717,186.949,181.75,111.917,113.477,112.762,42.24,74.945,68.987,38.195957,61.670277,41.728863,67.14127,67.35056,67.3075,73.76292,73.94644,73.910645,65.44992176,100.0,2.24949859,0.70214952,0.62339988,0.19450044,0.51594254,0.1640005,0.14298883,0.04544603,0.96485989,0.49341804,0.2673871,0.13669963,0.76869616,0.3651689,0.21302395,0.1011718,0.65859716,0.21054464,0.59525405,0.1902842,25.0,24.799,28.005
ISS_006RI_LPHRLFMOV001_PRIME,0,17335,2005-04-13T02:37:52,0.0,359.98,184.09,43.369,56.821,49.404,191.93,193.476,192.7,209.892,224.891,216.703,5.9229774,16.441965,7.0405154,31.150488,39.418545,35.55385,83.15075,83.7126,83.45238,67.98204716,96.31,4.01741338,0.76483646,0.45795918,0.08745355,1.23150668,0.62236974,0.13968988,0.06867826,2.00983035,0.83808376,0.22962686,0.09630592,0.77607634,0.15559253,0.08864244,0.01869171,0.51741491,0.10765266,0.50725696,0.1057208,-15.0,-18.831,23.402
ISS_007RI_HPMRDFMOV001_PRIME,0,13029,2005-05-03T22:29:04,0.0,359.98,132.75,128.997,148.367,138.407,248.169,249.433,248.832,240.748,259.044,249.576,4.3287687,11.615674,5.4000487,117.13458,132.13173,123.49197,93.80721,98.35297,95.76195,68.18652781,72.38,9.45168275,1.45100618,0.95853376,0.3101673,2.45187362,0.62872749,0.23340356,0.01627441,4.0992967,1.31566696,0.42962844,0.22294378,2.90051242,0.69954547,0.29550176,0.11756598,1.08282205,0.34891602,0.46008338,0.09828355,5.0,3.021,11.757
ISS_007RI_LPHRLFMOV001_PRIME,0,11401,2005-05-01T04:07:28,0.0,359.98,148.1,219.046,233.803,225.928,240.703,242.019,241.226,338.319,351.784,344.702,6.2520103,7.6848497,7.002823,29.889374,35.79,33.59779,68.62046,69.58267,69.034096,68.160488,63.34,1.1904074,0.34767662,0.42591246,0.12465427,0.25599396,0.03526052,0.09161751,0.01284683,0.63138193,0.32590956,0.22589054,0.1169106,0.30303151,0.17892884,0.10840441,0.06432509,0.45292056,0.13680648,0.44513788,0.13463539,5.0,10.343,21.952
ISS_00ARI_SPKMOVPER001_PRIME,0,17230,2004-11-15T08:52:32,13.6,358.18,185.89,148.381,181.717,168.478,150.295,151.938,151.11,0.007,359.987,20.857,27.040243,45.25852,29.494078,84.21335,84.90567,84.573296,77.210754,77.440056,77.32197,66.60331478,95.72,2.68746813,0.60501198,0.58978898,0.13262663,0.53490601,0.09063484,0.11740034,0.01995582,1.15282329,0.50603144,0.25294812,0.1109424,0.99973883,0.5121575,0.21944053,0.11253813,0.62923412,0.14362002,0.51272684,0.11713278,30.0,33.455,34.816
ISS_029RF_FMOVIE001_VIMS,0,16858,2006-09-28T20:32:15,0.94,338.08,169.51,263.519,273.785,269.285,193.178,194.725,193.959,69.988,79.145,75.326,9.414875,10.43138,9.882395,158.30096,161.91473,160.13087,120.74043,122.667305,121.74565,74.33511399,93.66,10.84463448,2.33379527,5.69693934,1.18830601,3.1458988,0.3402468,1.65385495,0.16878258,4.5492502,1.6438403,2.39025989,0.85848234,3.14948548,0.9617112,1.6528245,0.4878622,5.99497288,1.28594083,0.57533308,0.11492581,5.0,4.587,21.711
ISS_029RF_FMOVIE002_VIMS,0,10685,2006-09-30T00:32:15,0.0,359.98,117.86,78.634,88.038,83.613,196.328,197.285,196.804,242.306,251.646,246.809,11.066244,11.545191,11.2775755,158.80432,161.01213,159.93225,118.48783,119.56829,118.99132,74.34868072,59.36,11.58294365,2.16441474,5.60715134,1.01287047,3.54236971,0.37601688,1.71634904,0.17721976,5.54849907,1.62395897,2.68480444,0.7725473,2.49207487,0.52977417,1.20599786,0.24721884,5.95261295,1.11025818,0.57667263,0.09480428,-10.0,-4.147,17.757
ISS_030RF_FMOVIE001_VIMS,0,9616,2006-10-16T01:34:07,0.0,359.98,227.42,262.639,271.345,266.976,239.648,240.521,240.087,22.991,30.823,26.888,10.425309,10.865728,10.629078,150.44888,152.59628,151.52307,130.15141,131.51637,130.85011,74.56557372,53.42,5.69508398,1.03654167,3.72499752,0.67782071,1.58588905,0.17869559,1.03681068,0.11272939,2.40514399,0.86019529,1.57266002,0.5603074,1.70405095,0.52439022,1.11552682,0.34712108,3.9090206,0.73653753,0.58193373,0.11062865,-5.0,-3.22,18.87
ISS_031RF_FMOVIE001_VIMS,0,16737,2006-10-31T18:37:35,0.0,359.98,185.99,91.545,101.032,95.521,282.071,283.615,282.837,169.474,177.695,172.684,9.339399,9.82162,9.591443,156.14963,160.31978,158.29736,124.79248,128.27916,126.5225,74.78418089,92.98,8.70544592,1.27510656,5.17898006,0.76043639,2.55337055,0.29473739,1.51569856,0.14234598,3.60780639,1.14211374,2.14638586,0.68015773,2.54426898,0.48695364,1.51689564,0.30791497,5.44051574,0.83824789,0.57631396,0.09741366,5.0,6.775,14.946
ISS_032RF_FMOVIE001_VIMS,0,16730,2006-11-12T17:53:35,0.0,359.98,168.26,91.249,100.932,95.301,314.392,315.935,315.158,136.857,145.247,140.143,9.30752,9.793045,9.562055,155.70526,159.97838,157.9068,124.90268,128.40477,126.636444,74.94861152,92.94,8.49335031,1.69946154,5.05428972,0.94470662,2.49107272,0.26444285,1.48320546,0.13096271,3.3727136,1.16580525,2.0086671,0.68503873,2.62956399,0.78498752,1.56241716,0.44089698,5.30085411,1.01885345,0.56945265,0.09819441,10.0,9.799,15.087
