Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_000RI_SATSRCHAP001_PRIME,0,18000,2004-06-20T20:03:28,0.0,359.98,38.196,61.67,41.729,67.141,67.351,67.308,73.763,73.946,73.911,65.45,100.0,2.24933,0.70212,0.62335,0.19449
ISS_006RI_LPHRLFMOV001_PRIME,0,17335,2005-04-13T02:37:52,0.0,359.98,5.923,16.442,7.041,31.15,39.419,35.554,83.151,83.713,83.452,67.982,96.30555555555556,4.01755,0.76484,0.45798,0.08745
ISS_007RI_HPMRDFMOV001_PRIME,0,13029,2005-05-03T22:29:04,0.0,359.98,4.329,11.616,5.4,117.135,132.132,123.492,93.807,98.353,95.762,68.187,72.38333333333333,9.45185,1.45107,0.95855,0.31018
ISS_007RI_LPHRLFMOV001_PRIME,0,11401,2005-05-01T04:07:28,0.0,359.98,6.252,7.685,7.003,29.889,35.79,33.598,68.62,69.583,69.034,68.16,63.33888888888889,1.19046,0.34769,0.42593,0.12466
ISS_00ARI_SPKMOVPER001_PRIME,0,17230,2004-11-15T08:52:32,13.6,358.18,27.04,45.259,29.494,84.213,84.906,84.573,77.211,77.44,77.322,66.603,95.72222222222221,2.68724,0.605,0.58974,0.13262
ISS_029RF_FMOVIE001_VIMS,0,16858,2006-09-28T20:32:15,0.94,338.08,9.415,10.431,9.882,158.301,161.915,160.131,120.74,122.667,121.746,74.335,93.65555555555557,10.84357,2.33376,5.69638,1.18829
ISS_029RF_FMOVIE002_VIMS,0,10685,2006-09-30T00:32:15,0.0,359.98,11.066,11.545,11.278,158.804,161.012,159.932,118.488,119.568,118.991,74.349,59.36111111111111,11.58301,2.16439,5.60719,1.01286
ISS_030RF_FMOVIE001_VIMS,0,9616,2006-10-16T01:34:07,0.0,359.98,10.425,10.866,10.629,150.449,152.596,151.523,130.151,131.516,130.85,74.566,53.422222222222224,5.69457,1.03653,3.72466,0.67782
ISS_031RF_FMOVIE001_VIMS,0,16737,2006-10-31T18:37:35,0.0,359.98,9.339,9.822,9.591,156.15,160.32,158.297,124.792,128.279,126.522,74.784,92.98333333333333,8.70553,1.2751,5.17903,0.76043
ISS_032RF_FMOVIE001_VIMS,0,16730,2006-11-12T17:53:35,0.0,359.98,9.308,9.793,9.562,155.705,159.978,157.907,124.903,128.405,126.636,74.949,92.94444444444444,8.49336,1.69946,5.0543,0.9447
