Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Radial Res,Mean Angular Res,Mean Phase,Mean Emission,Incidence,Normal EW Mean,Normal EW Std,Normal EW139650 Mean,Normal EW139655 Mean,Normal EW139660 Mean,Normal EW139665 Mean,Normal EW139670 Mean,Normal EW139675 Mean,Normal EW139680 Mean,Normal EW139685 Mean,Normal EW139690 Mean,Normal EW139695 Mean,Normal EW139700 Mean,Normal EW139705 Mean,Normal EW139710 Mean,Normal EW139715 Mean,Normal EW139720 Mean,Normal EW139725 Mean,Normal EW139730 Mean,Normal EW139735 Mean,Normal EW139740 Mean,Normal EW139745 Mean,Normal EW139750 Mean,Normal EW139755 Mean,Normal EW139760 Mean,Normal EW139765 Mean,Normal EW139770 Mean,Normal EW139775 Mean,Normal EW139780 Mean,Normal EW139785 Mean,Normal EW139790 Mean,Normal EW139795 Mean,Normal EW139800 Mean,Normal EW139805 Mean,Normal EW139810 Mean,Normal EW139815 Mean,Normal EW139820 Mean,Normal EW139825 Mean,Normal EW139830 Mean,Normal EW139835 Mean,Normal EW139840 Mean,Normal EW139845 Mean,Normal EW139850 Mean,Normal EW139855 Mean,Normal EW139860 Mean,Normal EW139865 Mean,Normal EW139870 Mean,Normal EW139875 Mean,Normal EW139880 Mean,Normal EW139885 Mean,Normal EW139890 Mean,Normal EW139895 Mean,Normal EW139900 Mean,Normal EW139905 Mean,Normal EW139910 Mean,Normal EW139915 Mean,Normal EW139920 Mean,Normal EW139925 Mean,Normal EW139930 Mean,Normal EW139935 Mean,Normal EW139940 Mean,Normal EW139945 Mean,Normal EW139950 Mean,Normal EW139955 Mean,Normal EW139960 Mean,Normal EW139965 Mean,Normal EW139970 Mean,Normal EW139975 Mean,Normal EW139980 Mean,Normal EW139985 Mean,Normal EW139990 Mean,Normal EW139995 Mean,Normal EW140000 Mean,Normal EW140005 Mean,Normal EW140010 Mean,Normal EW140015 Mean,Normal EW140020 Mean,Normal EW140025 Mean,Normal EW140030 Mean,Normal EW140035 Mean,Normal EW140040 Mean,Normal EW140045 Mean,Normal EW140050 Mean,Normal EW140055 Mean,Normal EW140060 Mean,Normal EW140065 Mean,Normal EW140070 Mean,Normal EW140075 Mean,Normal EW140080 Mean,Normal EW140085 Mean,Normal EW140090 Mean,Normal EW140095 Mean,Normal EW140100 Mean,Normal EW140105 Mean,Normal EW140110 Mean,Normal EW140115 Mean,Normal EW140120 Mean,Normal EW140125 Mean,Normal EW140130 Mean
ISS_006RI_LPHRLFMOV001_PRIME,7600,1,2005-04-13T13:41:52,152.0,152.0,6.2545457,0.0,33.06729,83.30603,67.9820476,0.4313894,0.0,-1.289e-05,-2.022e-05,-1.555e-05,-1.104e-05,-1.215e-05,-1.07e-05,-6.21e-06,-1.89e-06,-4.85e-06,-9.23e-06,-9.85e-06,-5.94e-06,-4.67e-06,-3.53e-06,-3.9e-07,2e-08,1.52e-06,4.841e-05,5.317e-05,5.074e-05,4.916e-05,5.097e-05,6.438e-05,6.412e-05,5.835e-05,5.879e-05,6.653e-05,6.048e-05,4.973e-05,5.282e-05,6.157e-05,7.342e-05,6.419e-05,6.96e-05,6.811e-05,6.484e-05,6.641e-05,0.00011297,0.00011385,0.00010736,0.00011797,0.00015315,0.00014908,0.00015899,0.00016533,0.00016576,0.00015669,0.00020641,0.00020254,0.00019866,0.00020432,0.0002536,0.00025934,0.00026371,0.00026243,0.00026206,0.00026939,0.00034516,0.00035846,0.00036052,0.00036009,0.00037017,0.00035967,0.00039447,0.00042192,0.00042702,0.00042349,0.000485,0.00047432,0.00047774,0.00052605,0.00060286,0.00062988,0.00066709,0.00071455,0.00075455,0.00082795,0.00098626,0.00108749,0.00114304,0.00112119,0.00101529,0.00097009,0.00098687,0.00101904,0.00100255,0.00099985,0.00091565,0.00088908,0.00089782,0.00089411,0.00095052,0.00099582,0.00104776,0.00109138,0.00108163,0.00100826
ISS_006RI_LPHRLFMOV001_PRIME,7601,1,2005-04-13T13:41:52,152.02,152.02,6.2543426,0.0,33.067135,83.30571,67.9820476,0.42968325,0.0,-7.14e-06,-9.82e-06,-9.17e-06,-1.035e-05,-5.8e-06,-4.97e-06,-2.1e-05,-4.41e-06,-4.51e-06,-1e-07,2.65e-06,-4.8e-06,-5.37e-06,3.546e-05,4.953e-05,4.597e-05,4.49e-05,4.563e-05,4.786e-05,5.263e-05,5.795e-05,5.679e-05,6.57e-05,5.425e-05,5.438e-05,6.288e-05,6.201e-05,6.339e-05,5.951e-05,5.632e-05,5.771e-05,5.916e-05,6.321e-05,6.624e-05,6.996e-05,7.292e-05,5.8e-05,9.408e-05,0.00010435,0.00010631,0.00011147,0.00015489,0.00015468,0.00016591,0.00016866,0.00015738,0.00016924,0.00019594,0.00020644,0.00020976,0.00020894,0.00026884,0.00026482,0.00026115,0.00025221,0.00025421,0.00025854,0.00033714,0.00037266,0.00037332,0.00036802,0.00035892,0.00036915,0.00039713,0.0004252,0.00044251,0.00042517,0.00045624,0.00047383,0.00049477,0.00052883,0.0005867,0.00062392,0.00066401,0.00071168,0.00077798,0.00081559,0.00092016,0.00105069,0.00114378,0.00112031,0.0010166,0.00097075,0.00098101,0.00102803,0.00099673,0.00101581,0.00093681,0.00088027,0.00087977,0.00089176,0.00096378,0.0010033,0.00104051,0.00108708,0.00106474,0.00105811
ISS_006RI_LPHRLFMOV001_PRIME,7602,1,2005-04-13T13:41:52,152.04,152.04,6.2541995,0.0,33.06698,83.305405,67.9820476,0.43023559,0.0,-5.31e-06,-1.104e-05,-1.253e-05,-8.73e-06,-9.43e-06,-1.381e-05,-1.064e-05,4.148e-05,4.581e-05,4.58e-05,4.872e-05,5.53e-05,4.895e-05,5.123e-05,5.397e-05,5.532e-05,5.47e-05,4.829e-05,4.987e-05,5.13e-05,4.755e-05,4.968e-05,4.717e-05,4.99e-05,5.415e-05,5.659e-05,4.719e-05,6.234e-05,5.814e-05,5.936e-05,5.947e-05,7.086e-05,7.002e-05,6.701e-05,6.452e-05,6.454e-05,6.342e-05,9.046e-05,0.00010264,0.00010403,0.00010641,0.00015526,0.00016527,0.00016254,0.00015812,0.00015314,0.00016282,0.00018243,0.00019558,0.00020389,0.00020869,0.00024766,0.000256,0.00025611,0.00025273,0.0002536,0.00026678,0.00032649,0.00036372,0.00035964,0.00035678,0.00036691,0.00036606,0.00038055,0.00041947,0.00042033,0.00042302,0.00044918,0.00046878,0.00046771,0.00052701,0.00057073,0.00061203,0.00065884,0.00069754,0.00077343,0.00081438,0.00091245,0.00103125,0.00115512,0.00111609,0.00103937,0.00097083,0.00094891,0.00099383,0.00100212,0.00098967,0.00095504,0.00090765,0.00089425,0.00092123,0.00094517,0.00097816,0.00102788,0.00108322,0.00107722,0.00103869
ISS_006RI_LPHRLFMOV001_PRIME,7603,1,2005-04-13T13:41:52,152.06,152.06,6.254107,0.0,33.066826,83.305084,67.9820476,0.42922635,0.0,-1.77e-05,-1.399e-05,-1.189e-05,-1.194e-05,-1.29e-05,-1.079e-05,-7.01e-06,2.525e-05,3.441e-05,3.268e-05,4.385e-05,3.497e-05,3.489e-05,4.022e-05,4.857e-05,5.213e-05,4.463e-05,4.105e-05,4.216e-05,4.515e-05,4.216e-05,4.787e-05,4.688e-05,5.258e-05,6.217e-05,5.483e-05,6.008e-05,5.571e-05,5.412e-05,5.917e-05,6.593e-05,5.669e-05,6.28e-05,6.722e-05,6.415e-05,6.395e-05,6.393e-05,8.61e-05,0.00010113,0.00010121,9.882e-05,0.00015146,0.00016265,0.00015507,0.00015863,0.00017175,0.00016761,0.00019094,0.00021068,0.00020024,0.00021377,0.00024297,0.00025795,0.00026187,0.00026706,0.0002511,0.00025581,0.00030909,0.00036264,0.00036562,0.00038936,0.00037169,0.0003644,0.00037558,0.00041897,0.00042498,0.00041827,0.0004432,0.00048124,0.00046649,0.00051353,0.00056307,0.00061645,0.00065599,0.00069704,0.00074814,0.00079724,0.00089632,0.00101267,0.00111103,0.00114046,0.00105842,0.00098179,0.00095154,0.0010221,0.00101115,0.00101023,0.0009819,0.00091122,0.00089763,0.00087299,0.00090773,0.00097431,0.00103456,0.0011079,0.00109243,0.00106482
ISS_006RI_LPHRLFMOV001_PRIME,7604,1,2005-04-13T13:41:52,152.08,152.08,6.2540717,0.0,33.06667,83.30476,67.9820476,0.42954892,0.0,-1.932e-05,-1.477e-05,-1.114e-05,-1.098e-05,-1.524e-05,-1.285e-05,-4.35e-06,2.571e-05,4.821e-05,5.585e-05,4.506e-05,4.741e-05,4.805e-05,4.732e-05,4.587e-05,4.658e-05,4.588e-05,4.915e-05,5.334e-05,5.324e-05,4.77e-05,5.162e-05,5.848e-05,6.193e-05,5.219e-05,6.397e-05,5.549e-05,5.484e-05,5.853e-05,6.075e-05,6.547e-05,6.199e-05,6.248e-05,6.359e-05,6.537e-05,6.855e-05,6.789e-05,8.065e-05,0.000103,0.00011386,0.00011526,0.00014118,0.00015327,0.00015528,0.00016658,0.00015749,0.0001611,0.00017746,0.00019715,0.0001948,0.00019921,0.00023309,0.00026017,0.00026986,0.00025615,0.00026415,0.00026092,0.00028703,0.00035596,0.00035699,0.0003564,0.00036481,0.00036561,0.00035404,0.00041825,0.00041911,0.00041847,0.00043331,0.0004703,0.00047665,0.00051033,0.00055053,0.00059324,0.00064281,0.00070317,0.00074324,0.00078927,0.00085884,0.0010211,0.00112922,0.0011356,0.00107499,0.00099965,0.00095109,0.00100921,0.00095795,0.00091382,0.00087496,0.00087469,0.00088604,0.0008996,0.00092651,0.00098449,0.00108717,0.00108406,0.0010551,0.00108046
ISS_006RI_LPHRLFMOV001_PRIME,7605,1,2005-04-13T13:41:52,152.1,152.1,6.2540917,0.0,33.066525,83.30445,67.9820476,0.42987904,0.0,-9.69e-06,-1.463e-05,-1.455e-05,-1.269e-05,-1.469e-05,-7.31e-06,-2.52e-06,1.652e-05,4.087e-05,3.475e-05,4.213e-05,4.676e-05,4.759e-05,4.621e-05,4.496e-05,4.804e-05,4.642e-05,4.871e-05,5.528e-05,6.754e-05,5.836e-05,5.543e-05,5.144e-05,4.842e-05,5.577e-05,5.738e-05,5.84e-05,6.298e-05,7.08e-05,5.56e-05,6.144e-05,6.279e-05,6.462e-05,6.564e-05,6.336e-05,7.3e-05,6.941e-05,7.581e-05,0.00010511,0.00010286,0.00010795,0.00013192,0.00015919,0.00017019,0.00016897,0.00015769,0.00016163,0.00017773,0.00019947,0.0002066,0.0002133,0.00023686,0.00025805,0.00025947,0.00025479,0.00026115,0.00026546,0.00028519,0.00035657,0.00036515,0.00036575,0.00036582,0.00036616,0.00036982,0.00041463,0.00042038,0.00042174,0.00042825,0.00047332,0.00047913,0.00051386,0.000551,0.0006257,0.00071451,0.00077304,0.00081339,0.00087016,0.00096954,0.00114595,0.00108809,0.0010316,0.00100626,0.00101212,0.00101087,0.00100343,0.0009723,0.00093544,0.00089426,0.00087881,0.00087779,0.00088374,0.00090797,0.00095039,0.00107235,0.00109014,0.00106151,0.00105056
ISS_006RI_LPHRLFMOV001_PRIME,7606,1,2005-04-13T13:41:52,152.12,152.12,6.2541666,0.0,33.066372,83.304146,67.9820476,0.42982595,0.0,-8.45e-06,-9.52e-06,-1.35e-05,-1.856e-05,-1.788e-05,-8.17e-06,-9.59e-06,-9.4e-07,2.971e-05,4.852e-05,5.092e-05,4.811e-05,4.537e-05,4.728e-05,4.24e-05,4.329e-05,4.504e-05,4.808e-05,5.415e-05,6.376e-05,4.977e-05,5.402e-05,5.982e-05,7.198e-05,5.82e-05,5.711e-05,5.834e-05,5.828e-05,5.229e-05,6.001e-05,6.219e-05,6.374e-05,6.531e-05,6.173e-05,6.64e-05,6.531e-05,7.03e-05,8.303e-05,0.00011172,0.00011104,0.00010765,0.00012932,0.00016435,0.00015504,0.0001614,0.00015606,0.00015711,0.00017015,0.00020067,0.00020377,0.00020403,0.00021852,0.00025349,0.00025909,0.0002658,0.00026229,0.00025848,0.00026204,0.00036793,0.00036628,0.00036448,0.00036048,0.00035956,0.00037744,0.00039539,0.00040875,0.00042097,0.00043433,0.00042173,0.00049226,0.00055722,0.00060779,0.00067049,0.00071197,0.00074789,0.00079414,0.00085658,0.0009421,0.00111265,0.00107278,0.00103276,0.00101049,0.00101089,0.00099469,0.00098113,0.00096739,0.00094839,0.0008983,0.00089896,0.00089214,0.00089522,0.00091308,0.00096894,0.00106415,0.00108492,0.00108526,0.0010901
ISS_006RI_LPHRLFMOV001_PRIME,7607,1,2005-04-13T13:41:52,152.14,152.14,6.254297,0.0,33.066223,83.303825,67.9820476,0.4277817,0.0,-1.413e-05,-1.215e-05,-9.4e-06,-5.5e-07,-2.33e-06,-3.4e-06,-8.4e-06,-7.84e-06,4.952e-05,4.181e-05,4.115e-05,4.359e-05,4.719e-05,4.627e-05,5.043e-05,4.862e-05,5.274e-05,6.424e-05,4.337e-05,4.477e-05,4.832e-05,5.19e-05,4.746e-05,5.102e-05,5.552e-05,5.57e-05,5.542e-05,5.733e-05,5.986e-05,5.089e-05,6.222e-05,6.832e-05,5.12e-05,5.87e-05,6.024e-05,6.5e-05,6.948e-05,5.409e-05,0.00010834,0.00010393,0.00010494,0.00012178,0.00017692,0.00015423,0.00015422,0.00016132,0.00017066,0.00016577,0.0002435,0.00025304,0.00025792,0.00026175,0.00025068,0.00025725,0.00029647,0.0003171,0.00032216,0.00031219,0.00036517,0.00037056,0.00036605,0.00036846,0.00036443,0.00036443,0.00040246,0.0004251,0.00041722,0.00040363,0.00046249,0.00050258,0.00054506,0.00060693,0.00062892,0.00068822,0.0007406,0.00077754,0.00086626,0.00093606,0.00109907,0.00110046,0.00104424,0.00100523,0.00099269,0.0010013,0.00100538,0.00099264,0.00095875,0.00089791,0.00090178,0.00091253,0.00091358,0.0008894,0.00096101,0.0010399,0.00107683,0.0010804,0.00108164
ISS_006RI_LPHRLFMOV001_PRIME,7608,1,2005-04-13T13:41:52,152.16,152.16,6.2544827,0.0,33.06607,83.30352,67.9820476,0.4271818,0.0,-1.194e-05,-1.366e-05,-1.817e-05,-2.069e-05,-1.42e-05,-1.315e-05,-1.426e-05,-1.237e-05,4.924e-05,4.194e-05,4.79e-05,4.845e-05,3.859e-05,4.512e-05,4.201e-05,4.446e-05,4.989e-05,4.772e-05,5.348e-05,5.126e-05,5.218e-05,5.358e-05,5.04e-05,6.948e-05,6.288e-05,5.267e-05,4.738e-05,6.032e-05,6.355e-05,5.465e-05,4.823e-05,5.072e-05,7.448e-05,6.205e-05,5.835e-05,6.506e-05,0.00010538,9.879e-05,0.000108,0.0001106,0.00010947,0.00011067,0.00015137,0.00015307,0.00015741,0.00016203,0.00016404,0.00015922,0.00023358,0.00024873,0.00024335,0.00024001,0.00024841,0.00026391,0.00028745,0.00030623,0.00030273,0.00032241,0.00034951,0.00035118,0.00035046,0.00038676,0.0003652,0.00036941,0.0003976,0.00042255,0.00041087,0.00042525,0.00044921,0.0004836,0.00054432,0.000639,0.00067924,0.00067906,0.0007022,0.00075251,0.00088575,0.00094654,0.00106491,0.00111424,0.00106861,0.00100264,0.00099542,0.00100349,0.00100075,0.00098425,0.0009505,0.00088977,0.00089332,0.00091653,0.00095132,0.00094444,0.00094243,0.00102131,0.00106843,0.00106372,0.0011453
ISS_006RI_LPHRLFMOV001_PRIME,7609,1,2005-04-13T13:41:52,152.18,152.18,6.254723,0.0,33.065926,83.3032,67.9820476,0.42535294,0.0,-1.381e-05,-1.499e-05,-5.98e-06,-2.42e-06,-8.67e-06,-1.325e-05,-1.302e-05,-1.235e-05,2.472e-05,4.008e-05,3.737e-05,4.315e-05,5.003e-05,4.278e-05,4.655e-05,5.048e-05,4.7e-05,5.4e-05,5.09e-05,5.497e-05,5.908e-05,5.775e-05,5.292e-05,5.956e-05,5.222e-05,6.337e-05,6.656e-05,6.043e-05,9.08e-05,0.00010041,0.00010226,0.00012265,0.00011025,0.00010759,0.00010825,0.000109,0.00010531,0.00010446,9.615e-05,9.866e-05,0.00011077,0.00012156,0.00016168,0.00016645,0.00016461,0.00016129,0.00015694,0.0001754,0.00022302,0.00024962,0.00024701,0.00024992,0.00025728,0.00025659,0.00027048,0.00030531,0.0003065,0.00031229,0.00034411,0.00036605,0.00036721,0.00034415,0.00036298,0.00036854,0.00037677,0.00041787,0.00042255,0.00041213,0.00043836,0.00047886,0.00050643,0.00064118,0.0006804,0.00069486,0.00070758,0.00073978,0.00089329,0.00093616,0.0010426,0.00111716,0.0010705,0.00099857,0.0010112,0.00100971,0.00100479,0.00101206,0.00094701,0.00089553,0.00088177,0.00090183,0.00095143,0.00095806,0.00095051,0.00099528,0.00106068,0.00103298,0.00118971
