Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Radial Res,Mean Angular Res,Mean Phase,Mean Emission,Incidence,Normal EW Mean,Normal EW Std,Normal EW139900 Mean,Normal EW139905 Mean,Normal EW139910 Mean,Normal EW139915 Mean,Normal EW139920 Mean,Normal EW139925 Mean,Normal EW139930 Mean,Normal EW139935 Mean,Normal EW139940 Mean,Normal EW139945 Mean,Normal EW139950 Mean,Normal EW139955 Mean,Normal EW139960 Mean,Normal EW139965 Mean,Normal EW139970 Mean,Normal EW139975 Mean,Normal EW139980 Mean,Normal EW139985 Mean,Normal EW139990 Mean,Normal EW139995 Mean,Normal EW140000 Mean,Normal EW140005 Mean,Normal EW140010 Mean,Normal EW140015 Mean,Normal EW140020 Mean,Normal EW140025 Mean,Normal EW140030 Mean,Normal EW140035 Mean,Normal EW140040 Mean,Normal EW140045 Mean,Normal EW140050 Mean,Normal EW140055 Mean,Normal EW140060 Mean,Normal EW140065 Mean,Normal EW140070 Mean,Normal EW140075 Mean,Normal EW140080 Mean,Normal EW140085 Mean,Normal EW140090 Mean,Normal EW140095 Mean,Normal EW140100 Mean,Normal EW140105 Mean,Normal EW140110 Mean,Normal EW140115 Mean,Normal EW140120 Mean,Normal EW140125 Mean,Normal EW140130 Mean,Normal EW140135 Mean,Normal EW140140 Mean,Normal EW140145 Mean
ISS_039RF_FMOVIE001_VIMS,9900,1,2007-02-27T12:49:35,198.0,198.0,10.211022,0.0,103.76486,144.82315,76.43975463,1.4940058,0.0,0.00074644,0.0008336,0.00091511,0.00103025,0.00102125,0.00100754,0.00107279,0.00122447,0.00120031,0.00114338,0.00115408,0.00119567,0.00127307,0.0015815,0.00157896,0.00155284,0.00155325,0.00177676,0.00177717,0.00217918,0.00217958,0.00220108,0.00220383,0.00277228,0.0028358,0.00303188,0.00308121,0.00302195,0.00300744,0.00304281,0.00305821,0.00360031,0.00383287,0.00379602,0.00377159,0.00363937,0.00355136,0.00369346,0.00383556,0.00405174,0.00428226,0.00420042,0.0040452,0.00396059,0.00376263,0.00392439,0.00430129,0.00431553,0.00437127,0.00430816
ISS_039RF_FMOVIE001_VIMS,9901,1,2007-02-27T12:49:35,198.02,198.02,10.210854,0.0,103.76495,144.82448,76.43975463,1.48649711,0.0,0.00084194,0.00094384,0.0010119,0.00110479,0.00103529,0.00111939,0.00122153,0.00121906,0.00121515,0.00128469,0.00138879,0.00139998,0.00142556,0.0014639,0.00155283,0.00156049,0.00158995,0.00166912,0.00198457,0.00200435,0.00217921,0.00220316,0.00241554,0.00252733,0.00285512,0.00285551,0.00313387,0.00313427,0.0028784,0.00285032,0.00336877,0.00349868,0.00374912,0.00381202,0.00361792,0.00353496,0.00352968,0.00352764,0.00382447,0.00402249,0.00418149,0.00428762,0.00415714,0.00404777,0.0039611,0.00387442,0.00404064,0.00428977,0.00430564,0.00432926
ISS_039RF_FMOVIE001_VIMS,9902,1,2007-02-27T12:49:35,198.04,198.04,10.210686,0.0,103.76503,144.82582,76.43975463,1.47631881,0.0,0.00084991,0.00084996,0.00085816,0.0008619,0.00095409,0.00099383,0.00100793,0.00101746,0.00114283,0.00122653,0.00119684,0.00116715,0.00134191,0.00160385,0.00159813,0.00158935,0.00166315,0.00183483,0.00187755,0.00197672,0.0020234,0.00220897,0.00229003,0.0026131,0.00265579,0.00298596,0.00288741,0.00306625,0.00306664,0.00324274,0.00324312,0.00358164,0.00358203,0.00384249,0.00387178,0.00355283,0.00351774,0.0037293,0.00378248,0.00399045,0.0040798,0.00418271,0.00422703,0.00396713,0.00379399,0.00418272,0.00431998,0.00416131,0.00400264,0.00404014
ISS_039RF_FMOVIE001_VIMS,9903,1,2007-02-27T12:49:35,198.06,198.06,10.210518,0.0,103.76512,144.82716,76.43975463,1.47282041,0.0,0.00086148,0.00084703,0.00084574,0.0009959,0.0010337,0.00102757,0.0010263,0.00101736,0.00102121,0.00115711,0.00120807,0.00133748,0.00142387,0.0015248,0.00159221,0.00169634,0.00180047,0.00188682,0.00197317,0.00206761,0.0022091,0.00226735,0.00240282,0.00254342,0.00287102,0.00291172,0.00307349,0.00303243,0.00283446,0.0029114,0.00360105,0.00362614,0.00384917,0.00384952,0.00355327,0.00355362,0.00346071,0.00346106,0.00400063,0.00406089,0.00448986,0.00453783,0.00410199,0.00399329,0.00406168,0.00407903,0.00424156,0.0043304,0.00429347,0.0042658
ISS_039RF_FMOVIE001_VIMS,9904,1,2007-02-27T12:49:35,198.08,198.08,10.210351,0.0,103.765205,144.8285,76.43975463,1.46005018,0.0,0.00103027,0.00103092,0.00101697,0.00101762,0.00102981,0.00103174,0.00107021,0.00107506,0.00118796,0.00121667,0.00139194,0.00143386,0.00153625,0.00158049,0.00162429,0.00164343,0.00176523,0.00184664,0.00192599,0.00197911,0.00211496,0.0022508,0.00235704,0.00246328,0.00271587,0.00309443,0.0030876,0.00307704,0.00309803,0.00314613,0.00330237,0.00355506,0.00357116,0.00363363,0.00360277,0.00331981,0.00337267,0.00384319,0.00384384,0.00436837,0.00436902,0.00403021,0.00403086,0.00393285,0.00392254,0.00421319,0.00424606,0.00435463,0.00438226,0.00428532
ISS_039RF_FMOVIE001_VIMS,9905,1,2007-02-27T12:49:35,198.1,198.1,10.210183,0.0,103.7653,144.82985,76.43975463,1.45531839,0.0,0.00087062,0.00088112,0.00088294,0.0008928,0.00091039,0.00106205,0.00106287,0.00122018,0.001221,0.00123923,0.00124199,0.00157154,0.00160889,0.00157355,0.00155401,0.00177928,0.00183622,0.00184822,0.00185383,0.0021028,0.00220998,0.00245743,0.00262268,0.00269189,0.0027383,0.00290125,0.00306419,0.00297583,0.00288746,0.00318708,0.00363609,0.0037987,0.00404683,0.00389573,0.00353486,0.00356013,0.00365876,0.00379632,0.0043441,0.00434802,0.0043767,0.00435295,0.00413255,0.00413338,0.00386375,0.00386458,0.00435215,0.00435298,0.00435312,0.00435387
ISS_039RF_FMOVIE001_VIMS,9906,1,2007-02-27T12:49:35,198.12,198.12,10.210016,0.0,103.76536,144.8312,76.43975463,1.44182833,0.0,0.00090177,0.00094093,0.00103118,0.00103946,0.00107002,0.00110208,0.0012278,0.00123138,0.00125681,0.00125765,0.0014534,0.00145425,0.00161986,0.0016207,0.00159693,0.00161857,0.00181312,0.00183288,0.00200053,0.00204308,0.00239084,0.00247842,0.00263025,0.00269581,0.00300649,0.00314013,0.00309633,0.00306741,0.00309681,0.00311668,0.00349316,0.00386963,0.00385451,0.00383938,0.00373802,0.00366487,0.00371318,0.00382478,0.0040124,0.00444905,0.00442525,0.00432749,0.00428356,0.00410531,0.00410925,0.0041379,0.0041586,0.00433809,0.00433893,0.00416504
ISS_039RF_FMOVIE001_VIMS,9907,1,2007-02-27T12:49:35,198.14,198.14,10.209849,0.0,103.76545,144.83253,76.43975463,1.43287499,0.0,0.00090761,0.00090345,0.00095653,0.00103571,0.00105871,0.00111125,0.00115508,0.0012562,0.00125987,0.001272,0.00130501,0.00143447,0.00145524,0.00163538,0.00163623,0.00167439,0.00167524,0.00188284,0.0018701,0.00203958,0.00205916,0.00248127,0.00252892,0.00265016,0.00268111,0.0030442,0.00313561,0.00316487,0.0031779,0.00329909,0.00335152,0.00354668,0.00367707,0.00366019,0.00364922,0.00352191,0.00341505,0.00383859,0.00407804,0.00419077,0.00435943,0.00422049,0.00389516,0.00390557,0.00392872,0.00401813,0.0043732,0.00438075,0.00440839,0.00438427
ISS_039RF_FMOVIE001_VIMS,9908,1,2007-02-27T12:49:35,198.16,198.16,10.209683,0.0,103.76555,144.83388,76.43975463,1.41594828,0.0,0.00091831,0.00098299,0.00106534,0.00107613,0.00108691,0.00109035,0.00109506,0.00109057,0.00108338,0.0011435,0.00128259,0.00132789,0.00150643,0.00154264,0.00168476,0.00167902,0.00162022,0.00166226,0.0020335,0.0020344,0.00226469,0.00226567,0.0026637,0.0026646,0.00291571,0.0029444,0.00309862,0.00311655,0.0031207,0.00312241,0.00351331,0.00361171,0.00375381,0.00381522,0.00341913,0.00324988,0.00351776,0.00369664,0.00390288,0.00408222,0.00423794,0.00439665,0.00419269,0.0038863,0.00397197,0.00410003,0.00418806,0.00439226,0.00431008,0.00411713
ISS_039RF_FMOVIE001_VIMS,9909,1,2007-02-27T12:49:35,198.18,198.18,10.209517,0.0,103.765625,144.83524,76.43975463,1.40369024,0.0,0.00089623,0.00089251,0.00100552,0.00095537,0.00101349,0.00108844,0.00117024,0.00125204,0.00126451,0.00127697,0.00134474,0.00144596,0.00145045,0.0014598,0.00150588,0.00161228,0.00165482,0.00182245,0.00190758,0.00224556,0.00227231,0.00250624,0.00251261,0.00269144,0.00269228,0.00290125,0.00290209,0.00292233,0.00292317,0.0031328,0.00315684,0.00360018,0.00365019,0.00359284,0.00357914,0.00361943,0.00363014,0.00378355,0.00384978,0.00403105,0.00415218,0.00410661,0.00408209,0.00400904,0.00393598,0.00401234,0.00408871,0.00420532,0.00437982,0.00420394
