Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Radial Res,Mean Angular Res,Mean Phase,Mean Emission,Incidence,Normal EW Mean,Normal EW Std,Normal EW139800 Mean,Normal EW139805 Mean,Normal EW139810 Mean,Normal EW139815 Mean,Normal EW139820 Mean,Normal EW139825 Mean,Normal EW139830 Mean,Normal EW139835 Mean,Normal EW139840 Mean,Normal EW139845 Mean,Normal EW139850 Mean,Normal EW139855 Mean,Normal EW139860 Mean,Normal EW139865 Mean,Normal EW139870 Mean,Normal EW139875 Mean,Normal EW139880 Mean,Normal EW139885 Mean,Normal EW139890 Mean,Normal EW139895 Mean,Normal EW139900 Mean,Normal EW139905 Mean,Normal EW139910 Mean,Normal EW139915 Mean,Normal EW139920 Mean,Normal EW139925 Mean,Normal EW139930 Mean,Normal EW139935 Mean,Normal EW139940 Mean,Normal EW139945 Mean,Normal EW139950 Mean,Normal EW139955 Mean,Normal EW139960 Mean,Normal EW139965 Mean,Normal EW139970 Mean,Normal EW139975 Mean,Normal EW139980 Mean,Normal EW139985 Mean,Normal EW139990 Mean,Normal EW139995 Mean,Normal EW140000 Mean,Normal EW140005 Mean,Normal EW140010 Mean,Normal EW140015 Mean,Normal EW140020 Mean,Normal EW140025 Mean,Normal EW140030 Mean,Normal EW140035 Mean,Normal EW140040 Mean,Normal EW140045 Mean,Normal EW140050 Mean,Normal EW140055 Mean,Normal EW140060 Mean,Normal EW140065 Mean,Normal EW140070 Mean,Normal EW140075 Mean,Normal EW140080 Mean,Normal EW140085 Mean,Normal EW140090 Mean,Normal EW140095 Mean,Normal EW140100 Mean,Normal EW140105 Mean,Normal EW140110 Mean,Normal EW140115 Mean,Normal EW140120 Mean,Normal EW140125 Mean,Normal EW140130 Mean,Normal EW140135 Mean,Normal EW140140 Mean,Normal EW140145 Mean,Normal EW140150 Mean,Normal EW140155 Mean,Normal EW140160 Mean,Normal EW140165 Mean,Normal EW140170 Mean,Normal EW140175 Mean,Normal EW140180 Mean,Normal EW140185 Mean,Normal EW140190 Mean,Normal EW140195 Mean,Normal EW140200 Mean,Normal EW140205 Mean,Normal EW140210 Mean,Normal EW140215 Mean,Normal EW140220 Mean,Normal EW140225 Mean,Normal EW140230 Mean,Normal EW140235 Mean,Normal EW140240 Mean,Normal EW140245 Mean,Normal EW140250 Mean,Normal EW140255 Mean,Normal EW140260 Mean,Normal EW140265 Mean,Normal EW140270 Mean,Normal EW140275 Mean,Normal EW140280 Mean,Normal EW140285 Mean,Normal EW140290 Mean,Normal EW140295 Mean,Normal EW140300 Mean,Normal EW140305 Mean,Normal EW140310 Mean,Normal EW140315 Mean,Normal EW140320 Mean,Normal EW140325 Mean,Normal EW140330 Mean,Normal EW140335 Mean,Normal EW140340 Mean,Normal EW140345 Mean,Normal EW140350 Mean,Normal EW140355 Mean,Normal EW140360 Mean,Normal EW140365 Mean,Normal EW140370 Mean,Normal EW140375 Mean,Normal EW140380 Mean,Normal EW140385 Mean,Normal EW140390 Mean,Normal EW140395 Mean,Normal EW140400 Mean,Normal EW140405 Mean,Normal EW140410 Mean,Normal EW140415 Mean,Normal EW140420 Mean,Normal EW140425 Mean,Normal EW140430 Mean,Normal EW140435 Mean,Normal EW140440 Mean,Normal EW140445 Mean,Normal EW140450 Mean,Normal EW140455 Mean,Normal EW140460 Mean,Normal EW140465 Mean,Normal EW140470 Mean,Normal EW140475 Mean,Normal EW140480 Mean,Normal EW140485 Mean,Normal EW140490 Mean,Normal EW140495 Mean,Normal EW140500 Mean,Normal EW140505 Mean,Normal EW140510 Mean,Normal EW140515 Mean,Normal EW140520 Mean,Normal EW140525 Mean,Normal EW140530 Mean,Normal EW140535 Mean,Normal EW140540 Mean,Normal EW140545 Mean,Normal EW140550 Mean,Normal EW140555 Mean,Normal EW140560 Mean,Normal EW140565 Mean,Normal EW140570 Mean,Normal EW140575 Mean,Normal EW140580 Mean,Normal EW140585 Mean,Normal EW140590 Mean,Normal EW140595 Mean,Normal EW140600 Mean
ISS_093RF_FMOVIE003_PRIME,15000,1,2008-11-14T21:00:47,300.0,300.0,6.279862,0.0,44.22367,129.9583,85.84781998,0.55796849,0.0,0.00037984,0.00038395,0.00029382,0.00023882,0.00038611,0.00037888,0.00038441,0.00048233,0.00057839,0.00038949,0.00039256,0.00055416,0.00062366,0.00062487,0.00062775,0.00063135,0.00060968,0.00061465,0.00063494,0.00062304,0.00062467,0.00061935,0.0006889,0.0007977,0.00078733,0.00081482,0.00081105,0.0008823,0.0010338,0.00080598,0.00099924,0.00105147,0.00105297,0.00107439,0.00129127,0.00128834,0.00128112,0.00132866,0.00144959,0.00168664,0.00186897,0.00193113,0.00199101,0.0020922,0.00217691,0.00259183,0.00271178,0.00272903,0.00273158,0.0024058,0.00276077,0.00292569,0.00311418,0.00382498,0.00502006,0.00520997,0.0049919,0.00451701,0.00381498,0.00404593,0.00494679,0.00585116,0.00679379,0.00738888,0.00701162,0.00656736,0.00582385,0.00467729,0.00351773,0.00322524,0.00356419,0.0039094,0.00402823,0.00377934,0.00349843,0.00349887,0.00375846,0.00445055,0.00745895,0.01921562,0.03565588,0.04602262,0.04492313,0.02920196,0.01814976,0.0122223,0.0096743,0.00860832,0.00822142,0.00733135,0.00635215,0.00533103,0.00471419,0.00407605,0.00362035,0.00324804,0.00281904,0.00242107,0.00220116,0.00200816,0.00184997,0.00165224,0.00130111,0.00129879,0.00131288,0.00130601,0.00133038,0.00147928,0.00131583,0.00130127,0.00131486,0.00133047,0.0013133,0.00145492,0.00148969,0.00159046,0.0017289,0.00172722,0.00172568,0.00172733,0.00181976,0.00195673,0.00195502,0.0017603,0.00187465,0.00187887,0.00175138,0.00176995,0.0017419,0.00172439,0.00163206,0.00150724,0.00149972,0.00133877,0.00117227,0.00108529,0.00105478,0.0008401,0.00085449,0.00098602,0.00100709,0.00087992,0.00108504,0.00090311,0.00097288,0.00096907,0.00069142,0.00084099,0.00085355,0.00077328,0.00068456,0.0006723,0.0008601,0.00070429,0.00067451,0.00068486,0.00068958,0.00043927,0.00060682,0.00056276,0.00044618
ISS_093RF_FMOVIE003_PRIME,15001,1,2008-11-14T21:00:47,300.02,300.02,6.279678,0.0,44.225372,129.95999,85.84781998,0.55829567,0.0,0.00035367,0.00026782,0.00021159,0.00035248,0.0003549,0.00035199,0.00035429,0.00040134,0.00057538,0.00059714,0.00042865,0.00045352,0.00059947,0.0006008,0.00058961,0.00058572,0.0006459,0.00070772,0.00058714,0.00059486,0.00071332,0.00076344,0.00074571,0.00059004,0.00074395,0.00076306,0.00076625,0.00079145,0.00099312,0.00098932,0.00099628,0.00100207,0.00102843,0.0012476,0.0012312,0.00124066,0.00130394,0.00143005,0.00142598,0.00180257,0.00203803,0.00206576,0.00191061,0.00188837,0.00206945,0.00223574,0.00252096,0.0029041,0.00267375,0.00268426,0.00267921,0.00290249,0.00344142,0.00402585,0.00470296,0.00515682,0.00519045,0.00467768,0.00384115,0.0041699,0.00497247,0.0058406,0.00666641,0.00729844,0.00692066,0.00643572,0.00572375,0.00463358,0.0036038,0.00346176,0.00381181,0.00435192,0.00434107,0.00384605,0.00358467,0.00345576,0.00359921,0.004773,0.00876641,0.02003067,0.0362031,0.04891011,0.04233034,0.02749361,0.01887636,0.01308345,0.01026503,0.00898833,0.00858417,0.00761386,0.00661154,0.00552335,0.00460856,0.00412173,0.00367106,0.00329014,0.00291304,0.00216272,0.00195551,0.0019136,0.00183813,0.00163894,0.0013923,0.00140091,0.00132146,0.00124,0.00124052,0.00139897,0.00141599,0.00132861,0.00127255,0.00142701,0.00145078,0.00130484,0.0013329,0.00142805,0.00144621,0.00162419,0.00165023,0.00174453,0.00188064,0.00187542,0.00167201,0.00166201,0.00174967,0.00182875,0.00165154,0.00181738,0.00164018,0.00164375,0.00163039,0.00140276,0.00140063,0.00140754,0.0012472,0.00100111,0.00101519,0.00100895,0.00086669,0.000771,0.00079337,0.00102227,0.00101094,0.00101128,0.00093989,0.00079316,0.00101612,0.00082132,0.00077617,0.00077775,0.00077314,0.00077636,0.00062929,0.00068782,0.00073036,0.00060726,0.00059686,0.00059858,0.00059817,0.00059547,0.00058803
ISS_093RF_FMOVIE003_PRIME,15002,1,2008-11-14T21:00:47,300.04,300.04,6.2794952,0.0,44.227074,129.96172,85.84781998,0.58013402,0.0,0.00036685,0.0002182,0.00034323,0.000347,0.00050346,0.00045774,0.00034632,0.00035159,0.00035308,0.00052052,0.00058861,0.00058505,0.00058545,0.00059624,0.00059264,0.0005861,0.00057418,0.00055344,0.00058279,0.00058335,0.00058611,0.00059088,0.00058654,0.00073557,0.00075907,0.00085723,0.00097461,0.00076814,0.00096797,0.00099689,0.00100165,0.00100246,0.00100588,0.00120739,0.0012235,0.00122807,0.00124781,0.00124157,0.00159935,0.00180701,0.00189565,0.0019171,0.0019038,0.00188798,0.0021555,0.00243934,0.00267936,0.00295827,0.00276093,0.00269795,0.00274099,0.00287327,0.00342599,0.00413572,0.00464649,0.00503963,0.00528568,0.00435964,0.00394402,0.00421949,0.00494775,0.0060463,0.00703027,0.00704377,0.00690265,0.00662521,0.00610301,0.00453357,0.00372992,0.00371025,0.00418996,0.00460884,0.00440989,0.00394061,0.00363215,0.00350867,0.0037157,0.00542559,0.00990106,0.02169553,0.03671298,0.05121363,0.04214462,0.03072681,0.01976151,0.01340869,0.01057341,0.00943715,0.00869464,0.00782304,0.00662789,0.00554765,0.00479068,0.00410609,0.0036775,0.00336998,0.00266798,0.00242082,0.00224367,0.00199205,0.00167414,0.00163485,0.00146573,0.00133074,0.00129185,0.00141745,0.0012514,0.00137931,0.0013384,0.00129664,0.00142113,0.00143199,0.00142805,0.00141456,0.00145017,0.00163976,0.00164981,0.00166426,0.00175599,0.00185035,0.00188557,0.00167335,0.00179823,0.00187973,0.00190572,0.00190251,0.00187537,0.00184145,0.00179159,0.00165447,0.0016536,0.00144499,0.00141056,0.00139957,0.00137912,0.00124196,0.00124451,0.00096706,0.00087806,0.00099623,0.00076155,0.00099319,0.0010109,0.00100579,0.00100535,0.00099643,0.00101043,0.00101318,0.00093954,0.0007687,0.0007673,0.00077722,0.00078204,0.00078338,0.00078108,0.00076539,0.00077479,0.00069085,0.00060023,0.00059015,0.00059227
ISS_093RF_FMOVIE003_PRIME,15003,1,2008-11-14T21:00:47,300.06,300.06,6.2793126,0.0,44.228786,129.96344,85.84781998,0.59293577,0.0,0.00031033,0.00032006,0.00032186,0.00031863,0.00031426,0.00031137,0.00031406,0.0003195,0.00048848,0.00043917,0.00036371,0.00054845,0.00057046,0.00056437,0.00055957,0.00055708,0.00055553,0.00069441,0.00061577,0.00057101,0.00060155,0.00075068,0.00073082,0.0007268,0.00073207,0.0007411,0.00074089,0.0009648,0.00099046,0.00098875,0.00098502,0.0009804,0.0009914,0.00112828,0.00122362,0.0012346,0.00126611,0.00124247,0.00147393,0.0017068,0.00190916,0.00216451,0.00195252,0.00202244,0.0021775,0.00238063,0.00267443,0.00262462,0.00262559,0.0026468,0.00266516,0.00290038,0.0035763,0.00416683,0.00460876,0.00497082,0.00500347,0.0044978,0.00406596,0.00406133,0.00526449,0.00618817,0.00680615,0.00717633,0.00722939,0.00701996,0.00566697,0.00476871,0.00404367,0.00383247,0.00434762,0.00482751,0.00452101,0.00409022,0.00368877,0.00374281,0.00421492,0.00611901,0.01160324,0.02114581,0.04370503,0.05203512,0.04411219,0.03150455,0.02066311,0.01365554,0.01157343,0.01039342,0.00912698,0.00799391,0.00635409,0.00553474,0.00478677,0.00429655,0.00389162,0.0029389,0.00274743,0.00233374,0.00202718,0.00185805,0.00165318,0.00146223,0.00133656,0.00132138,0.00146796,0.00143146,0.00130417,0.00126253,0.00125738,0.00126845,0.00144701,0.00128131,0.00133216,0.00142514,0.00142789,0.00144094,0.00157626,0.00178286,0.0018836,0.00169182,0.00165973,0.00184343,0.00191841,0.00187022,0.00169214,0.00169619,0.00171672,0.00167632,0.00168924,0.0016929,0.00165334,0.00150369,0.00152823,0.00161882,0.00126254,0.00104278,0.00087301,0.00078288,0.00081803,0.00104178,0.00103583,0.0008868,0.00088509,0.00103062,0.00102695,0.00102282,0.0008949,0.00080403,0.0007915,0.00081179,0.00079179,0.00079343,0.00074398,0.00061889,0.00062566,0.00062384,0.00070918,0.00074202,0.00061866,0.00062881,0.00062428
ISS_093RF_FMOVIE003_PRIME,15004,1,2008-11-14T21:00:47,300.08,300.08,6.2791314,0.0,44.23048,129.96515,85.84781998,0.63179846,0.0,0.0003798,0.00038239,0.00038741,0.00038729,0.00038883,0.00039586,0.00039488,0.00039657,0.00051509,0.00058531,0.00039469,0.00061637,0.00062657,0.00063167,0.00063222,0.00063111,0.0006409,0.0006211,0.00061908,0.00062915,0.00063091,0.00062166,0.00063729,0.00071847,0.00082688,0.00081664,0.00102584,0.00105134,0.00106268,0.00107435,0.00103954,0.00104496,0.00105272,0.0011474,0.00128225,0.00128102,0.00132005,0.00130799,0.00149402,0.00197703,0.00218809,0.00215538,0.00202377,0.00194706,0.00200586,0.00241887,0.0028648,0.00282369,0.00263257,0.00242393,0.00277731,0.00316923,0.00356483,0.00411808,0.00471477,0.00533063,0.00509296,0.00458452,0.00414467,0.00416623,0.00532174,0.00631689,0.00711066,0.00747812,0.00747848,0.00675938,0.00573315,0.00470569,0.00411326,0.00409384,0.00476794,0.0051926,0.00499325,0.00430544,0.00384256,0.00382903,0.00467994,0.0072634,0.01384619,0.02686882,0.04782274,0.05143078,0.04607048,0.03522947,0.02154184,0.01492549,0.01278022,0.01105683,0.00964247,0.00748684,0.0065084,0.00575462,0.00503492,0.00430645,0.00383319,0.00313763,0.0026474,0.00235942,0.00211325,0.00151792,0.00168385,0.00159138,0.00149745,0.0014866,0.00149887,0.00136458,0.00142326,0.00150372,0.00147637,0.00131136,0.00146812,0.00142412,0.00138699,0.00149466,0.00153337,0.00167066,0.00172132,0.00176514,0.00197281,0.00173501,0.0018868,0.00184063,0.00173019,0.00173303,0.00174569,0.00175806,0.00174889,0.00170942,0.00175359,0.00173455,0.00174086,0.0016604,0.00153049,0.00151563,0.00136167,0.0011754,0.00109587,0.00106406,0.00087286,0.00107891,0.00110815,0.00111269,0.00108772,0.00085769,0.00086139,0.00086916,0.00096341,0.00107459,0.00086774,0.00086977,0.00075988,0.00068903,0.00069642,0.0007062,0.00068361,0.00068759,0.0006946,0.00069742,0.00071169,0.00070042,0.00057979
ISS_093RF_FMOVIE003_PRIME,15005,1,2008-11-14T21:00:47,300.1,300.1,6.278951,0.0,44.232185,129.96687,85.84781998,0.66298622,0.0,0.00037987,0.00039222,0.00040204,0.00040443,0.00039449,0.00039018,0.00038563,0.00051102,0.00058993,0.00039944,0.00040141,0.00055428,0.00051455,0.00045367,0.00063078,0.00064676,0.00063836,0.00062324,0.00061696,0.00063756,0.00063768,0.0006392,0.0007157,0.00082296,0.00079722,0.00081023,0.0008286,0.00092156,0.00105158,0.00106483,0.00105386,0.0009168,0.00091278,0.00106856,0.00130112,0.00130341,0.00115489,0.00132271,0.00174459,0.00193574,0.00210599,0.00203888,0.00196392,0.00198088,0.0021737,0.0023771,0.00273973,0.00288302,0.00270197,0.00242962,0.00269405,0.00300599,0.00351153,0.00411772,0.00498344,0.00517984,0.00475479,0.00423132,0.00380107,0.00439049,0.0057235,0.00642855,0.00691887,0.00739299,0.00738908,0.00654808,0.00559211,0.00482235,0.00412512,0.00435916,0.00504729,0.00532406,0.00513101,0.00443108,0.00412851,0.00460011,0.00585648,0.00929707,0.01682069,0.03783621,0.05331503,0.0555371,0.04872882,0.03350246,0.02192585,0.01679216,0.01310918,0.0112262,0.00937186,0.0075765,0.0064289,0.00540507,0.00478649,0.00450663,0.00375925,0.00321459,0.00282223,0.00243978,0.00222905,0.00201816,0.00182741,0.00166516,0.00150199,0.0015095,0.00149497,0.00147658,0.00147144,0.00149411,0.00149912,0.0013526,0.00132735,0.00133632,0.00133089,0.001337,0.00145735,0.00160705,0.001725,0.00171833,0.0017477,0.00191272,0.00196969,0.0019111,0.00173136,0.00174683,0.00173992,0.0018575,0.00193605,0.001736,0.00177254,0.00178836,0.00168829,0.00152635,0.00150963,0.00133873,0.00133614,0.0012518,0.00106496,0.00086612,0.00106821,0.00109803,0.00100572,0.00088578,0.00111748,0.00110989,0.00097127,0.00088494,0.00091585,0.0011182,0.00089718,0.00087747,0.00087739,0.00087031,0.00087614,0.00073918,0.00070579,0.00070863,0.00071282,0.00070401,0.00070677,0.00070317,0.00069948
ISS_093RF_FMOVIE003_PRIME,15006,1,2008-11-14T21:00:47,300.12,300.12,6.2787714,0.0,44.23389,129.96858,85.84781998,0.6236731,0.0,0.00038753,0.00030055,0.00027086,0.00039869,0.0004042,0.00040053,0.00040392,0.00040631,0.00039864,0.00039896,0.00055412,0.00063108,0.00064007,0.00063383,0.00064984,0.0006381,0.00063842,0.00063802,0.0006147,0.00064731,0.00064562,0.00064591,0.00068337,0.00081817,0.00081072,0.00081342,0.00090897,0.00100581,0.00082937,0.00083353,0.00082013,0.00091035,0.00108159,0.00127872,0.00129299,0.00129968,0.00130615,0.00135102,0.00171221,0.00193381,0.0019546,0.00195999,0.00197612,0.00195467,0.00233869,0.00264754,0.00278441,0.00276907,0.0027376,0.00246883,0.00256234,0.00294822,0.00347381,0.00407257,0.00456407,0.00485555,0.00479012,0.00413861,0.00384112,0.00450952,0.00541214,0.00633233,0.007071,0.00732153,0.00722268,0.00666122,0.00586042,0.00473326,0.00383774,0.00446222,0.00544138,0.00600153,0.00539567,0.00451721,0.00420566,0.00448752,0.00584103,0.00901406,0.01858025,0.03053685,0.03862608,0.04364844,0.04321518,0.03240022,0.02454445,0.01757336,0.01353921,0.01145344,0.00890814,0.00769308,0.0066457,0.0059346,0.00528307,0.00427787,0.00382857,0.0033496,0.00273005,0.00248632,0.00207898,0.00184883,0.00168556,0.00150356,0.00149881,0.00150011,0.00150156,0.00151318,0.00153848,0.00131872,0.001479,0.00142348,0.00132642,0.00132319,0.00131871,0.00146446,0.00150089,0.00157289,0.00174108,0.00172709,0.00174306,0.00175436,0.0017576,0.00175243,0.00178139,0.00176201,0.00175485,0.00180878,0.00177702,0.00175653,0.00178296,0.00168471,0.00156283,0.00173297,0.00140669,0.00135856,0.00125439,0.00106235,0.00088897,0.00107099,0.0009386,0.00097409,0.00112383,0.00110972,0.00110336,0.00110728,0.00101191,0.00084836,0.00070433,0.00086633,0.00088487,0.0008799,0.00085503,0.00070213,0.00070982,0.00071202,0.00071326,0.0007148,0.00070768,0.00070885,0.0007078,0.00070752,0.00068495
ISS_093RF_FMOVIE003_PRIME,15007,1,2008-11-14T21:00:47,300.14,300.14,6.278591,0.0,44.235596,129.97029,85.84781998,0.61517809,0.0,0.00029225,0.00037618,0.00038193,0.000383,0.00038899,0.00038766,0.00038556,0.00038842,0.00060674,0.00045057,0.00050199,0.00061879,0.00061247,0.00039053,0.00054609,0.00061653,0.00062091,0.00062316,0.0007476,0.00066025,0.00061803,0.00065622,0.00080236,0.00064241,0.00074446,0.0007886,0.00083085,0.00104327,0.00102503,0.00103498,0.00103368,0.00102318,0.00105338,0.00126258,0.00112258,0.00111127,0.00125737,0.00125498,0.00163313,0.00184001,0.00195238,0.00195331,0.00190998,0.00172473,0.00196091,0.00231448,0.00269818,0.00268203,0.00273495,0.00252237,0.0025368,0.00292171,0.00350399,0.00397123,0.0045517,0.00493501,0.0047105,0.00407943,0.00389864,0.00438883,0.00536734,0.00640142,0.00709825,0.00729528,0.00727025,0.00707443,0.00672885,0.00443742,0.00418304,0.00486631,0.00573923,0.00606162,0.0051299,0.0045844,0.00425254,0.00423513,0.00502028,0.00856944,0.01572485,0.02432853,0.03512805,0.04408976,0.04225167,0.03459198,0.02541133,0.01856206,0.01375766,0.01078149,0.00934944,0.00784584,0.00663318,0.0061048,0.00506707,0.00460898,0.00412958,0.00345951,0.00269747,0.00269942,0.00225064,0.00188191,0.00167928,0.00130972,0.0014275,0.00146835,0.00142464,0.00130488,0.00128737,0.00143654,0.00146668,0.00140587,0.00128076,0.00144977,0.0013382,0.00139124,0.00146801,0.00145841,0.00170103,0.00169714,0.00170285,0.0017524,0.00192092,0.00193331,0.00194934,0.00196416,0.00191923,0.0017727,0.0017233,0.0017028,0.00179051,0.00193607,0.0019395,0.00152057,0.00146858,0.00139841,0.00124838,0.0010554,0.00105621,0.00089831,0.00092188,0.00106009,0.00107173,0.00086814,0.00098072,0.00106237,0.00102948,0.00084728,0.0008399,0.00084002,0.00083622,0.00081319,0.00066513,0.00064773,0.0007546,0.00077625,0.00065406,0.00065742,0.00065954,0.00065797,0.00065482,0.00065099,0.00065411
ISS_093RF_FMOVIE003_PRIME,15008,1,2008-11-14T21:00:47,300.16,300.16,6.278413,0.0,44.237297,129.972,85.84781998,0.60619606,0.0,0.00035537,0.00034359,0.00035222,0.00035063,0.00035091,0.0003519,0.00035318,0.00059332,0.00042277,0.00046787,0.00053857,0.00034856,0.00059779,0.00059682,0.00059999,0.00059762,0.00057379,0.00058887,0.00057201,0.00064496,0.00076757,0.00077267,0.00077721,0.00075523,0.00076015,0.00078186,0.00078145,0.00100173,0.00102704,0.0010188,0.00100558,0.00100495,0.00102627,0.00116771,0.00125147,0.00123979,0.00125535,0.00138333,0.00155583,0.00179379,0.00208001,0.00187477,0.00189996,0.00203478,0.00227605,0.00267028,0.00295118,0.0031449,0.00287089,0.00274359,0.0029481,0.00322088,0.00340981,0.00393031,0.00458616,0.00501223,0.00464859,0.00392115,0.00390191,0.00442475,0.00525783,0.00666942,0.00711108,0.00736476,0.00726596,0.00661309,0.00520066,0.00457106,0.0044648,0.00483132,0.00564307,0.00595942,0.00498263,0.00434262,0.00403735,0.00405431,0.00514549,0.00803219,0.01304236,0.02160552,0.03290839,0.04410103,0.04269834,0.03573423,0.02693206,0.01791101,0.01298212,0.01081017,0.00906704,0.00796488,0.00695884,0.00613824,0.00554762,0.00496172,0.00427519,0.00340816,0.00286688,0.00238621,0.00207385,0.00188292,0.00188921,0.00152794,0.00142127,0.00141667,0.00143134,0.00143162,0.00141927,0.00142136,0.00142198,0.0014114,0.00124341,0.00137886,0.00142373,0.00142849,0.00141394,0.00142615,0.00174726,0.00177781,0.00171194,0.0018767,0.0018828,0.00190969,0.00190098,0.00183968,0.00167541,0.00189257,0.00173245,0.00175701,0.00184429,0.00163873,0.00163951,0.00164844,0.00149301,0.00125805,0.00127352,0.00104408,0.00101579,0.00092115,0.00080303,0.00100141,0.00101084,0.00100531,0.00100962,0.0010205,0.00100078,0.00101769,0.00101095,0.0009142,0.00077759,0.00077646,0.00076947,0.00076309,0.00071323,0.0006054,0.0006173,0.00058846,0.00059164,0.00059776,0.00059649,0.00060199,0.00059152
ISS_093RF_FMOVIE003_PRIME,15009,1,2008-11-14T21:00:47,300.18,300.18,6.278234,0.0,44.239006,129.97371,85.84781998,0.59693487,0.0,0.00031167,0.00030914,0.00049846,0.00043352,0.00032108,0.00032039,0.00054941,0.00055443,0.00055512,0.00055854,0.00057784,0.00054705,0.00054683,0.00056322,0.0005763,0.00056243,0.00055655,0.000686,0.00066811,0.00055987,0.00056898,0.00072218,0.00074078,0.00074101,0.00074081,0.00074507,0.00073868,0.00088624,0.00098163,0.00097635,0.0009744,0.00097797,0.00098303,0.001086,0.00123645,0.00124133,0.00122116,0.00132199,0.00152679,0.00184504,0.00189175,0.00186001,0.00201483,0.00211105,0.00210958,0.00235506,0.00279681,0.00289933,0.00283007,0.00268711,0.00266462,0.00306481,0.0034394,0.00397416,0.00458148,0.0047381,0.00439564,0.00401554,0.00389683,0.00459993,0.00561584,0.00636597,0.00719226,0.00769019,0.00766245,0.00668118,0.00541884,0.00458489,0.00442764,0.00497015,0.00610478,0.00551594,0.00486411,0.00423309,0.00378186,0.00401007,0.00492306,0.00687771,0.01123988,0.0192433,0.0321158,0.04030727,0.04217178,0.03694344,0.02556753,0.01725722,0.01363695,0.01077083,0.00905645,0.00804652,0.00686011,0.00630235,0.0057039,0.00487225,0.00399206,0.00362138,0.00283303,0.00229924,0.00211211,0.00189909,0.0017065,0.00164593,0.00156893,0.00140854,0.00143047,0.00160357,0.00153042,0.00136001,0.00123421,0.00142116,0.0014285,0.00133996,0.00130035,0.00141891,0.00141583,0.00159105,0.00165291,0.00164235,0.00165278,0.00165383,0.0018295,0.00189079,0.00188004,0.00189278,0.00193687,0.00172781,0.00175645,0.00185835,0.00167253,0.00167693,0.00166072,0.00165253,0.00160322,0.00141245,0.00105422,0.00100703,0.0010029,0.00100341,0.00102118,0.00099978,0.00100701,0.00101307,0.00101345,0.0010206,0.00100514,0.00086858,0.00087309,0.00099023,0.00076909,0.00078698,0.00077555,0.00076463,0.00076581,0.00078404,0.00079865,0.00078707,0.00072446,0.00060183,0.00060077,0.00060072,0.00060638
