Observation,Suffix,Gradient Mean,Gradient Std
ISS_029RF_FMOVIE002_VIMS,inner,-0.08222508222508222,0.0746005856444116
ISS_029RF_FMOVIE002_VIMS,outer,-0.6670956670956671,0.20941119836832067
ISS_030RF_FMOVIE001_VIMS,inner,0.08658658658658662,0.11094753896977844
ISS_030RF_FMOVIE001_VIMS,outer,-0.57986557986558,0.09807433134688874
ISS_031RF_FMOVIE001_VIMS,inner,0.2845345345345346,0.11216991172370204
ISS_031RF_FMOVIE001_VIMS,outer,-0.3370870870870871,0.07975055763274652
ISS_032RF_FMOVIE001_VIMS,inner,0.4254254254254254,0.11222377536573488
ISS_032RF_FMOVIE001_VIMS,outer,-0.09734734734734736,0.08915338582511581
ISS_033RF_FMOVIE001_VIMS,inner,0.38967538967538967,0.04076883667943478
ISS_033RF_FMOVIE001_VIMS,outer,0.3038038038038038,0.07865823573523568
ISS_036RF_FMOVIE001_VIMS,inner,0.2556556556556556,0.08742493119282138
ISS_036RF_FMOVIE001_VIMS,outer,-0.8326326326326328,0.06336707945084344
ISS_036RF_FMOVIE002_VIMS,inner,0.32407407407407407,0.09822537503301507
ISS_036RF_FMOVIE002_VIMS,outer,-0.19744744744744747,0.08774867212151258
ISS_039RF_FMOVIE001_VIMS,inner,0.2532532532532532,0.06142917314340842
ISS_039RF_FMOVIE001_VIMS,outer,-0.29496162829496164,0.2996532160068237
ISS_039RF_FMOVIE002_VIMS,inner,-0.016266266266266274,0.12049880873207332
ISS_039RF_FMOVIE002_VIMS,outer,-0.4314314314314314,0.2686905333746116
ISS_043RF_FMOVIE001_VIMS,inner,0.18289718289718288,0.0732808415082557
ISS_043RF_FMOVIE001_VIMS,outer,0.022022022022021984,0.22405658326336853
ISS_044RF_FMOVIE001_VIMS,inner,0.48891748891748893,0.3214190264129953
ISS_044RF_FMOVIE001_VIMS,outer,0.1866866866866867,0.3578235561796018
ISS_055RF_FMOVIE001_VIMS,inner,0.27652652652652654,0.07656144557309201
ISS_055RF_FMOVIE001_VIMS,outer,-0.3180680680680681,0.04247993391032129
ISS_059RF_FMOVIE001_VIMS,inner,0.21896896896896895,0.08383009867226306
ISS_059RF_FMOVIE001_VIMS,outer,-0.3793793793793794,0.08766048732304878
ISS_059RF_FMOVIE002_VIMS,inner,0.0963463463463463,0.18943514183025156
ISS_059RF_FMOVIE002_VIMS,outer,-0.0855855855855856,0.16442869748409517
ISS_075RF_FMOVIE002_VIMS,inner,0.3103103103103103,0.045193098180624225
ISS_075RF_FMOVIE002_VIMS,outer,-0.11111111111111113,0.08663141751118639
ISS_081RI_FMOVIE106_VIMS,inner,0.22597597597597596,0.03616007874768506
ISS_081RI_FMOVIE106_VIMS,outer,-0.26898326898326896,0.2053936098446779
ISS_083RI_FMOVIE109_VIMS,inner,0.4049049049049049,0.07891259829165499
ISS_083RI_FMOVIE109_VIMS,outer,-0.4444444444444444,0.08729394506755936
ISS_092RF_FMOVIE003_PRIME,inner,0.3413413413413413,0.1546506052448405
ISS_092RF_FMOVIE003_PRIME,outer,-0.41991991991991995,0.06703531138296778
ISS_093RF_FMOVIE003_PRIME,inner,0.2283712283712284,0.03342901714076053
ISS_093RF_FMOVIE003_PRIME,outer,-0.2563992563992564,0.047410532326845924
ISS_105RF_FMOVIE002_PRIME,inner,-0.32007007007007005,0.25585894480254406
ISS_106RF_FMOVIE002_PRIME,inner,0.1639139139139139,0.24609348008405021
ISS_106RF_FMOVIE002_PRIME,outer,-0.6811096811096811,0.12439927565039953
ISS_107RF_FMOVIE002_PRIME,inner,0.23923923923923923,0.1566846374126278
ISS_107RF_FMOVIE002_PRIME,outer,-0.27813527813527816,0.05793323903008544
ISS_110RF_FMOVIE002_PRIME,inner,0.2127127127127127,0.16693248648370462
ISS_110RF_FMOVIE002_PRIME,outer,-0.49091949091949083,0.12642183193160586
ISS_111RF_FMOVIE002_PRIME,inner,0.3873873873873874,0.0
ISS_111RF_FMOVIE002_PRIME,outer,-0.19994994994994997,0.023707826978849364
ISS_112RF_FMOVIE002_PRIME_1,inner,0.3943943943943944,0.07233574280336207
ISS_112RF_FMOVIE002_PRIME_1,outer,-0.015265265265265282,0.15250550843256272
ISS_112RF_FMOVIE002_PRIME_2,inner,0.5195195195195195,0.11830459821977304
ISS_112RF_FMOVIE002_PRIME_2,outer,0.15240240240240238,0.0743099988553616
ISS_114RF_FMOVIEEQX001_PRIME,inner,0.3986486486486487,0.12851440732395247
ISS_114RF_FMOVIEEQX001_PRIME,outer,-0.11811811811811813,0.12929585499473492
ISS_115RF_FMOVIEEQX001_PRIME,inner,0.5072572572572572,0.1343037395287576
ISS_115RF_FMOVIEEQX001_PRIME,outer,0.3448448448448448,0.2643130775131757
ISS_132RI_FMOVIE001_VIMS,inner,-0.02527527527527529,0.22399047031034358
ISS_132RI_FMOVIE001_VIMS,outer,-0.7930430430430431,0.11050496814451943
ISS_172RI_EGAPMOVMP002_PRIME,inner,0.28778778778778774,0.1364990672448793
