Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW Median,EW Mean,EW Std,Normal EW Median,Normal EW Mean,Normal EW Std,Pandora Closest Distance,Pandora Closest Long,Pandora Distance,Pandora Long,Prometheus Closest Distance,Prometheus Closest Long,Prometheus Distance,Prometheus Long
IOSIC_276RB_COMPLITB4001_SI,0,16414,2017-05-26T20:28:43,0.0,359.98,188.09,25.84,112.95,72.22,265.244,266.369,265.821,119.471,207.706,166.398,56.750652,154.73346,79.608536,126.58747,132.21358,129.6028,70.416336,75.182396,72.9297,63.26915439,91.19,4.28062564,4.42503561,1.11281657,1.23414216,1.29005335,0.30281856,806.457,254.077,1300.782,255.02,714.221,347.058,NaN,NaN
ISS_000RI_SATSRCHAP001_PRIME,0,17958,2004-06-20T19:15:28,0.0,359.98,180.06,171.938,180.67,177.369,111.827,113.477,112.667,58.46,68.734,64.702,38.195957,40.904255,39.345722,67.25348,67.353516,67.30996,73.856476,73.90929,73.88395,65.44991752,99.77,2.06054526,2.26526362,0.71346826,0.57208373,0.62880766,0.19806073,1161.142,27.927,1175.353,27.76,496.119,53.22,990.889,54.46
ISS_006RI_LPHRLFMOV001_PRIME,0,17316,2005-04-13T02:37:52,0.0,359.98,184.05,43.245,56.746,48.179,191.93,193.477,192.695,209.9,224.816,215.485,5.9229774,16.404602,6.922879,31.158085,39.418076,35.58776,83.16902,83.7301,83.4709,67.9820476,96.2,3.91246751,4.02639803,0.76553152,0.44279273,0.45765511,0.08712145,1226.655,190.778,1715.882,187.18,417.661,192.864,1002.47,192.26
ISS_007RI_AZSCNLOPH001_PRIME,0,17509,2005-05-02T05:53:52,0.0,359.98,179.66,84.414,255.238,164.977,243.603,244.48,244.014,0.013,359.995,260.998,28.667898,65.901085,47.227493,5.7398376,26.251131,14.953823,62.386364,70.87746,65.76463,68.1692899,97.27,1.47919258,1.50304095,0.43859067,0.60477439,0.61356439,0.17954981,1225.297,11.056,1652.139,12.8,409.224,294.459,NaN,NaN
ISS_007RI_HPMRDFMOV001_PRIME,0,9522,2005-05-04T01:32:48,0.0,359.98,99.77,133.994,148.324,139.874,248.514,249.433,248.995,245.459,259.001,250.878,4.7771826,10.15863,5.551519,117.138885,127.0272,121.494415,93.81844,96.84514,95.1656,68.18652858,52.9,8.75687228,9.01062005,1.13455902,0.76707105,0.80687724,0.15513342,1224.905,353.665,NaN,NaN,408.259,304.289,NaN,NaN
ISS_00ARI_SPKMOVPER001_PRIME,0,17197,2004-11-15T08:52:32,13.54,358.08,185.89,148.29,181.299,165.521,150.295,151.938,151.083,0.0,359.997,18.332,27.02021,45.349976,28.431366,84.21324,84.90501,84.58008,77.207726,77.4394,77.30106,66.60331307,95.54,2.61224837,2.68902976,0.59731218,0.57403043,0.59109998,0.13115194,1215.106,113.025,1236.547,113.18,456.931,119.748,577.116,120.12
ISS_029RF_FMOVIE001_VIMS,0,16847,2006-09-28T20:32:15,0.94,338.08,169.49,263.496,273.78,268.98,193.178,194.725,193.958,69.964,79.139,75.022,9.414875,10.43138,9.882035,158.30063,161.91473,160.13878,120.74043,122.6673,121.73365,74.3351139,93.59,10.47918708,10.84713787,2.34291604,5.51736134,5.69638983,1.1932775,979.298,330.618,1987.145,334.4,308.64,150.559,977.42,151.48
ISS_029RF_FMOVIE002_VIMS,0,10666,2006-09-30T00:32:15,0.0,359.98,117.93,78.651,88.056,83.235,196.328,197.285,196.802,242.323,251.642,246.433,11.066244,11.544299,11.276519,158.80467,161.00053,159.92007,118.505295,119.567535,119.00646,74.3486806,59.26,11.51489016,11.57596722,2.16413749,5.57994965,5.6064975,1.01353983,978.33,319.024,NaN,NaN,308.2,157.113,781.969,156.68
ISS_030RF_FMOVIE001_VIMS,0,9610,2006-10-16T01:34:07,0.0,359.98,227.44,262.636,271.344,266.965,239.648,240.521,240.087,22.988,30.823,26.878,10.425333,10.865238,10.629146,150.44765,152.59543,151.52309,130.1524,131.51881,130.8503,74.56557364,53.39,5.58309677,5.69451287,1.03567355,3.66346958,3.72464383,0.6772897,972.017,174.077,NaN,NaN,302.336,242.309,NaN,NaN
ISS_031RF_FMOVIE001_VIMS,0,16695,2006-10-31T18:37:35,0.0,359.98,186.09,91.562,101.052,95.501,282.071,283.615,282.837,169.491,177.714,172.664,9.339399,9.820332,9.591308,156.15068,160.30232,158.29521,124.81006,128.27803,126.52449,74.78418078,92.75,8.54947588,8.7033432,1.27092904,5.08662354,5.17804656,0.75854927,968.011,29.129,1507.061,30.48,297.342,327.509,1388.919,326.14
