Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,Normal EW3Z,Normal EW3Z Std,Normal EW3ZPN,Normal EW3ZPN Std
ISS_111RF_FMOVIE002_PRIME,0,50,2009-05-26T09:40:14,0.0,0.98,5.278,5.557,5.39,37.879,37.882,37.881,93.781,93.792,93.786,88.825,53.7,9.07076,0.03905,0.59901,0.00287,2.53264,0.01016,0.16725,0.00067,4.47005,0.04888,0.29519,0.00342,2.06807,0.01852,0.13657,0.00112,1.34491,0.01109,1.31453,0.01084
ISS_111RF_FMOVIE002_PRIME,1,50,2009-05-26T09:37:34,1.0,1.98,5.444,5.869,5.633,37.876,37.908,37.89,93.727,93.781,93.757,88.825,53.7,9.20921,0.09394,0.60346,0.00273,2.58784,0.09894,0.16954,0.00539,4.51149,0.02403,0.29565,0.00262,2.10988,0.01255,0.13827,0.00147,1.35367,0.00556,1.32307,0.00543
ISS_111RF_FMOVIE002_PRIME,2,50,2009-05-26T09:35:26,2.0,2.98,5.451,5.891,5.653,37.904,37.936,37.921,93.672,93.727,93.698,88.825,53.7,9.65994,0.20687,0.62303,0.00932,2.6896,0.0118,0.1735,0.00184,4.79439,0.17412,0.30919,0.00923,2.17595,0.04387,0.14034,0.00194,1.41457,0.03575,1.38253,0.03491
ISS_111RF_FMOVIE002_PRIME,3,50,2009-05-26T09:33:18,3.0,3.98,5.452,5.9,5.666,37.932,37.965,37.953,93.618,93.672,93.639,88.825,53.7,9.77735,0.04552,0.62049,0.00558,2.68081,0.02228,0.17012,0.00089,4.79819,0.07818,0.30453,0.00668,2.29836,0.0375,0.14584,0.0016,1.40709,0.02019,1.37516,0.01975
ISS_111RF_FMOVIE002_PRIME,4,50,2009-05-26T09:31:10,4.0,4.98,5.46,5.924,5.69,37.96,37.993,37.984,93.563,93.617,93.58,88.825,53.7,9.70819,0.04746,0.60612,0.00521,2.73151,0.02754,0.17053,0.0009,4.64188,0.04436,0.28982,0.00379,2.33479,0.02031,0.14578,0.00213,1.36169,0.01307,1.33073,0.01278
ISS_111RF_FMOVIE002_PRIME,5,50,2009-05-26T09:28:30,5.0,5.98,5.469,5.948,5.717,37.989,38.022,38.015,93.508,93.563,93.52,88.825,53.7,9.58902,0.04315,0.5888,0.00339,2.80698,0.03203,0.17235,0.00141,4.54553,0.06594,0.27911,0.00378,2.2365,0.03885,0.13734,0.00306,1.32343,0.01216,1.29329,0.01189
ISS_111RF_FMOVIE002_PRIME,6,50,2009-05-26T09:24:14,6.0,6.98,5.478,5.988,5.713,38.017,38.079,38.048,93.409,93.508,93.459,88.825,53.7,9.33502,0.07704,0.56316,0.00566,2.90977,0.03191,0.17553,0.0011,4.26211,0.08752,0.25713,0.00598,2.16314,0.00989,0.1305,0.00086,1.2469,0.02037,1.21844,0.01991
ISS_111RF_FMOVIE002_PRIME,7,50,2009-05-26T09:21:34,7.0,7.98,5.481,6.002,5.696,38.075,38.108,38.083,93.354,93.409,93.396,88.825,53.7,9.77489,0.24635,0.57893,0.01198,3.02661,0.06151,0.17926,0.00261,4.53869,0.19024,0.26879,0.01012,2.20959,0.02152,0.13088,0.00157,1.30151,0.04094,1.27174,0.03999
ISS_111RF_FMOVIE002_PRIME,8,50,2009-05-26T09:19:26,8.0,8.98,5.492,6.031,5.722,38.104,38.137,38.114,93.299,93.354,93.337,88.825,53.7,10.36253,0.20486,0.60304,0.00792,3.109,0.02291,0.18095,0.00177,5.01336,0.18927,0.29171,0.00906,2.24018,0.02274,0.13038,0.00095,1.39551,0.03568,1.36353,0.03484
ISS_111RF_FMOVIE002_PRIME,9,50,2009-05-26T09:17:18,9.0,9.98,5.504,6.061,5.75,38.133,38.166,38.146,93.245,93.299,93.277,88.825,53.7,11.04161,0.13944,0.63118,0.00413,3.15624,0.03129,0.18043,0.00069,5.59315,0.09809,0.31972,0.00365,2.29222,0.01345,0.13104,0.0006,1.5091,0.0171,1.47445,0.01668
ISS_111RF_FMOVIE002_PRIME,10,50,2009-05-26T09:15:10,10.0,10.98,5.516,6.094,5.78,38.162,38.195,38.178,93.19,93.244,93.218,88.825,53.7,10.99365,0.1448,0.61719,0.01258,3.28533,0.12093,0.18437,0.00536,5.40843,0.22305,0.3037,0.0148,2.29989,0.03517,0.12912,0.00296,1.46027,0.04975,1.42667,0.04864
ISS_111RF_FMOVIE002_PRIME,11,50,2009-05-26T09:12:30,11.0,11.98,5.519,6.111,5.801,38.191,38.225,38.211,93.135,93.19,93.158,88.825,53.7,10.71479,0.05604,0.59023,0.00612,3.491,0.04904,0.19228,0.00132,4.94732,0.07767,0.27255,0.00611,2.27647,0.00675,0.1254,0.00099,1.35586,0.01997,1.3246,0.01953
ISS_111RF_FMOVIE002_PRIME,12,50,2009-05-26T09:10:22,12.0,12.98,5.533,6.147,5.837,38.22,38.254,38.243,93.08,93.135,93.098,88.825,53.7,10.53782,0.08401,0.56958,0.00717,3.56356,0.04279,0.1926,0.00119,4.68178,0.09112,0.25308,0.0064,2.29248,0.00705,0.12391,0.00112,1.28904,0.0226,1.25927,0.02209
ISS_111RF_FMOVIE002_PRIME,13,50,2009-05-26T09:08:14,13.0,13.98,5.54,6.155,5.866,38.25,38.283,38.276,93.027,93.08,93.038,88.825,53.7,10.17766,0.11888,0.53946,0.00864,3.55585,0.02806,0.18847,0.00167,4.35114,0.09623,0.23064,0.00617,2.27067,0.01021,0.12035,0.00123,1.20338,0.02433,1.17553,0.02378
ISS_111RF_FMOVIE002_PRIME,14,50,2009-05-26T09:08:14,14.0,14.98,6.174,7.232,6.679,38.271,38.278,38.275,93.019,93.027,93.023,88.825,53.7,9.8509,0.08115,0.51944,0.00469,3.44791,0.02894,0.18181,0.00167,4.1147,0.06995,0.21697,0.00386,2.28829,0.01736,0.12066,0.00083,1.14612,0.01548,1.1196,0.01511
ISS_111RF_FMOVIE002_PRIME,15,50,2009-05-26T09:08:14,15.0,15.98,7.255,8.544,7.886,38.261,38.271,38.266,93.01,93.018,93.014,88.825,53.7,9.66262,0.06292,0.50811,0.00352,3.32827,0.02924,0.17502,0.00166,3.99472,0.05482,0.21006,0.00293,2.33963,0.01643,0.12303,0.00081,1.11591,0.01178,1.0901,0.01151
ISS_111RF_FMOVIE002_PRIME,16,50,2009-05-26T09:08:14,16.0,16.98,8.572,10.008,9.281,38.248,38.261,38.255,93.002,93.01,93.006,88.825,53.7,9.1599,0.14458,0.48035,0.00792,3.27469,0.01389,0.17173,0.00084,3.58102,0.11949,0.18779,0.00639,2.30419,0.01909,0.12083,0.00109,1.02469,0.02617,1.001,0.02556
ISS_111RF_FMOVIE002_PRIME,17,50,2009-05-26T09:08:14,17.0,17.98,10.039,11.571,10.799,38.233,38.248,38.24,92.994,93.002,92.998,88.825,53.7,8.92707,0.03248,0.46686,0.00196,3.21869,0.01926,0.16833,0.00113,3.40922,0.02439,0.17829,0.00134,2.29915,0.00996,0.12024,0.00046,0.98457,0.00559,0.96183,0.00546
ISS_111RF_FMOVIE002_PRIME,18,50,2009-05-26T09:08:14,18.0,18.98,11.603,13.202,12.398,38.215,38.232,38.224,92.986,92.994,92.99,88.825,53.7,8.8395,0.07888,0.46102,0.00447,3.17562,0.0128,0.16562,0.00077,3.29838,0.09084,0.17203,0.00487,2.3655,0.02416,0.12337,0.00117,0.96143,0.01835,0.93925,0.01792
ISS_111RF_FMOVIE002_PRIME,19,50,2009-05-26T09:08:14,19.0,19.98,13.235,14.882,14.055,38.194,38.214,38.204,92.977,92.985,92.981,88.825,53.7,8.64828,0.13284,0.44982,0.00712,3.12975,0.01243,0.16279,0.00076,3.06072,0.13514,0.1592,0.00711,2.45782,0.02496,0.12784,0.00121,0.91373,0.02766,0.89268,0.02702
ISS_111RF_FMOVIE002_PRIME,20,50,2009-05-26T09:08:14,20.0,20.98,14.916,16.6,15.754,38.171,38.193,38.182,92.969,92.977,92.973,88.825,53.7,8.68771,0.05658,0.45065,0.00305,3.05737,0.01955,0.15859,0.00112,3.10039,0.0651,0.16082,0.00341,2.52996,0.02646,0.13123,0.0013,0.92013,0.01286,0.89895,0.01256
ISS_111RF_FMOVIE002_PRIME,21,50,2009-05-26T09:08:14,21.0,21.98,16.633,18.345,17.487,38.145,38.17,38.158,92.961,92.969,92.965,88.825,53.7,8.235,0.15897,0.42602,0.00855,2.99422,0.01405,0.1549,0.00083,2.66361,0.12823,0.1378,0.00674,2.57717,0.02346,0.13332,0.0013,0.82899,0.02802,0.80994,0.02737
ISS_111RF_FMOVIE002_PRIME,22,50,2009-05-26T09:08:14,22.0,22.98,18.38,20.114,19.245,38.117,38.144,38.131,92.954,92.961,92.957,88.825,53.7,8.03924,0.07458,0.41477,0.00362,2.97601,0.0123,0.15354,0.00068,2.55514,0.07767,0.13183,0.00393,2.50809,0.01349,0.1294,0.00074,0.80097,0.01514,0.7826,0.0148
