Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
IOSIC_276RB_COMPLITB4001_SI,0,500,2017-05-26T21:28:27,0.0,9.98,4.99,59.811,69.791,64.801,265.355,265.355,265.355,154.455,164.435,159.445,63.719265,75.94402,67.89978,131.42517,131.77019,131.58994,74.49263,74.83354,74.66469,63.26915439,91.49,5.51001596,0.36145199,1.45675322,0.08876274
IOSIC_276RB_COMPLITB4001_SI,1,500,2017-05-26T21:28:27,10.0,19.98,14.99,69.811,79.791,74.801,265.355,265.355,265.355,164.455,174.435,169.445,63.71914,74.388245,67.46611,131.18005,131.42455,131.2934,74.13625,74.49186,74.31487,63.26915439,91.49,5.17413789,0.45642401,1.39928025,0.12920514
IOSIC_276RB_COMPLITB4001_SI,2,500,2017-05-26T20:28:43,20.0,29.98,24.99,58.199,82.351,66.817,265.243,265.355,265.272,152.955,176.995,161.544,66.06179,79.61922,73.14297,131.13501,132.21358,131.84138,74.043915,75.182396,74.81312,63.26915439,91.49,5.01292937,0.55645898,1.31274325,0.14734601
IOSIC_276RB_COMPLITB4001_SI,3,500,2017-05-26T20:28:43,30.0,39.98,34.99,65.639,75.619,70.629,265.243,265.243,265.243,160.395,170.375,165.385,64.37379,69.46318,65.70305,131.67467,131.94781,131.80283,74.59821,74.93911,74.76972,63.26915439,91.49,6.65310796,1.46761777,1.74780353,0.38776188
IOSIC_276RB_COMPLITB4001_SI,4,500,2017-05-26T20:28:43,40.0,49.98,44.99,75.639,85.619,80.629,265.243,265.243,265.243,170.395,180.375,175.385,69.492134,90.4097,79.137436,131.50862,131.67426,131.58208,74.24925,74.59754,74.42353,63.26915439,91.49,4.991372,0.43630762,1.34010552,0.11511407
IOSIC_276RB_COMPLITB4001_SI,5,500,2017-05-26T20:28:43,50.0,59.98,54.99,85.639,95.619,90.629,265.243,265.243,265.243,180.395,190.375,185.385,90.459435,115.939705,103.16081,131.45872,131.5084,131.4739,73.90521,74.248566,74.07591,63.26915439,91.49,4.43813043,0.48669104,1.21745197,0.13151156
IOSIC_276RB_COMPLITB4001_SI,6,500,2017-05-26T20:28:43,60.0,69.98,64.99,95.639,105.619,100.629,265.243,265.243,265.243,190.395,200.375,195.385,115.98955,139.89632,128.20515,131.4592,131.5301,131.48473,73.58105,73.904564,73.740524,63.26915439,91.49,4.08647229,0.76590108,1.14321074,0.20887763
IOSIC_276RB_COMPLITB4001_SI,7,360,2017-05-26T20:28:43,70.0,77.18,73.59,105.639,112.819,109.229,265.243,265.243,265.243,200.395,207.575,203.985,139.94125,154.70956,147.52895,131.53036,131.65402,131.58743,73.36858,73.580414,73.472885,63.26915439,91.49,3.64984498,0.77038074,1.03868795,0.22162766
IOSIC_276RB_COMPLITB4001_SI,10,132,2017-05-27T06:29:15,107.36,109.98,108.67,25.611,28.231,26.921,266.369,266.369,266.369,119.241,121.861,120.551,147.50166,154.26253,150.89001,129.61375,129.7971,129.70555,72.85001,72.926094,72.88814,63.26915439,91.49,3.20596521,0.17950284,0.94330395,0.05261336
IOSIC_276RB_COMPLITB4001_SI,11,499,2017-05-27T06:29:15,110.0,119.98,114.99,28.251,38.231,33.237,266.369,266.369,266.369,121.881,131.861,126.867,120.79725,147.44847,134.21211,128.92755,129.61235,129.26779,72.52912,72.8494,72.69357,63.26915439,91.49,2.99663448,0.3272074,0.89123525,0.09544368
IOSIC_276RB_COMPLITB4001_SI,12,500,2017-05-27T06:29:15,120.0,129.98,124.99,38.251,48.231,43.241,266.369,266.369,266.369,131.881,141.861,136.871,94.44965,120.7447,107.44979,128.28232,128.92622,128.59993,72.15963,72.52844,72.34791,63.26915439,91.49,3.0801819,0.30253076,0.93417875,0.09383897
IOSIC_276RB_COMPLITB4001_SI,13,500,2017-05-27T06:29:15,130.0,139.98,134.99,48.251,58.231,53.241,266.369,266.369,266.369,141.881,151.861,146.871,71.85039,94.39986,82.626076,127.70049,128.28108,127.98461,71.74597,72.15885,71.955826,63.26915439,91.49,3.81583888,0.66425269,1.18292396,0.21200006
IOSIC_276RB_COMPLITB4001_SI,14,487,2017-05-27T06:29:15,140.0,149.98,144.88,58.251,68.231,63.132,266.369,266.369,266.369,151.881,161.861,156.762,58.34086,71.81341,64.19329,127.204216,127.699425,127.44915,71.295044,71.74513,71.52778,63.26915439,91.49,3.53602694,0.40854586,1.11965613,0.12336272
IOSIC_276RB_COMPLITB4001_SI,15,500,2017-05-27T06:29:15,150.0,159.98,154.99,68.251,78.231,73.241,266.369,266.369,266.369,161.881,171.861,166.871,56.750652,58.73102,57.35709,126.81404,127.20333,126.999115,70.81667,71.29411,71.057175,63.26915439,91.49,3.64207227,0.74087739,1.18361415,0.24849092
IOSIC_276RB_COMPLITB4001_SI,16,500,2017-05-27T05:27:23,160.0,169.98,164.99,61.548,86.371,78.62,266.254,266.369,266.348,155.293,180.001,172.272,58.74474,67.47601,63.294327,126.58747,128.08386,126.94353,70.416336,72.01714,70.86959,63.26915439,91.49,3.97815074,0.761314,1.30477547,0.25906497
IOSIC_276RB_COMPLITB4001_SI,17,500,2017-05-27T05:27:23,170.0,179.98,174.99,63.408,73.388,68.398,266.254,266.254,266.254,157.153,167.133,162.143,57.677856,64.590576,59.8661,127.56496,127.99296,127.77028,71.488556,71.9367,71.714806,63.26915439,91.49,3.89007937,0.64575607,1.2213133,0.20861849
IOSIC_276RB_COMPLITB4001_SI,18,500,2017-05-27T05:27:23,180.0,189.98,184.99,73.408,83.388,78.398,266.254,266.254,266.254,167.153,177.133,172.143,57.707157,65.15756,60.46079,127.249825,127.56421,127.39688,71.019684,71.48763,71.254745,63.26915439,91.49,3.12137896,0.35406386,1.00281074,0.11097514
IOSIC_276RB_COMPLITB4001_SI,19,500,2017-05-27T04:24:27,190.0,199.98,194.99,60.793,86.288,70.282,266.135,266.254,266.17,154.658,180.033,164.112,60.08288,69.0866,64.866135,127.18206,128.6274,128.10196,70.88205,72.426,71.89243,63.26915439,91.49,4.32955583,1.02643813,1.33825277,0.29359174
IOSIC_276RB_COMPLITB4001_SI,20,500,2017-05-27T04:24:27,200.0,209.98,204.99,67.893,77.873,72.883,266.135,266.135,266.135,161.758,171.738,166.748,58.57602,61.179104,59.30113,127.94994,128.30853,128.11993,71.682175,72.12515,71.90522,63.26915439,91.49,5.15040326,0.61130878,1.59897147,0.18470415
IOSIC_276RB_COMPLITB4001_SI,21,500,2017-05-27T03:22:35,210.0,219.98,214.99,60.506,85.553,77.068,266.02,266.135,266.108,154.486,179.418,170.959,61.196438,70.69376,66.24474,127.754745,129.15239,128.13669,71.33243,72.82315,71.80178,63.26915439,91.49,5.320729,0.84996938,1.66553519,0.29056016
IOSIC_276RB_COMPLITB4001_SI,22,500,2017-05-27T03:22:35,220.0,229.98,224.99,62.826,72.806,67.816,266.02,266.02,266.02,156.806,166.786,161.796,59.444115,66.68938,61.654327,128.6481,129.04591,128.83852,72.313095,72.729935,72.52345,63.26915439,91.49,4.55647861,1.22521877,1.36699115,0.36081809
IOSIC_276RB_COMPLITB4001_SI,23,500,2017-05-27T03:22:35,230.0,239.98,234.99,72.826,82.806,77.816,266.02,266.02,266.02,166.806,176.786,171.796,59.528236,68.46535,62.92714,128.35991,128.6474,128.49384,71.877785,72.31223,72.095924,63.26915439,91.49,3.93427803,0.81158553,1.20902136,0.24809523
IOSIC_276RB_COMPLITB4001_SI,24,500,2017-05-27T02:19:39,240.0,249.98,244.99,59.996,85.266,68.747,265.902,266.02,265.931,154.093,179.246,162.815,61.722122,72.28147,67.2362,128.3077,129.65924,129.21002,71.76955,73.20866,72.75695,63.26915439,91.49,4.19811671,0.6289921,1.2412537,0.16800973
IOSIC_276RB_COMPLITB4001_SI,25,500,2017-05-27T02:19:39,250.0,259.98,254.99,67.536,77.516,72.526,265.902,265.902,265.902,161.633,171.613,166.623,60.282646,63.58548,61.16111,129.00984,129.34123,129.16649,72.498985,72.91127,72.70651,63.26915439,91.49,3.95707093,0.35524135,1.17611407,0.10316239
IOSIC_276RB_COMPLITB4001_SI,26,500,2017-05-27T02:19:39,260.0,269.98,264.99,77.536,87.516,82.526,265.902,265.902,265.902,171.633,181.613,176.623,63.605877,78.74307,70.50113,128.79419,129.00931,128.89154,72.075645,72.498146,72.287155,63.26915439,91.49,3.93964343,0.27706183,1.19842201,0.08146796
IOSIC_276RB_COMPLITB4001_SI,27,500,2017-05-27T02:19:39,270.0,279.98,274.99,87.536,97.516,92.526,265.902,265.902,265.902,181.633,191.613,186.623,78.77961,98.036026,88.33684,128.70644,128.7939,128.73923,71.65724,72.0748,71.86489,63.26915439,91.49,4.8578408,0.46921316,1.5119513,0.14505726
IOSIC_276RB_COMPLITB4001_SI,28,500,2017-05-27T02:19:39,280.0,289.98,284.99,97.536,107.516,102.526,265.902,265.902,265.902,191.633,201.613,196.623,98.074715,116.42088,107.44087,128.70471,128.75249,128.71829,71.262024,71.65642,71.45648,63.26915439,91.49,5.48355317,0.84839116,1.74382283,0.26809868
IOSIC_276RB_COMPLITB4001_SI,29,500,2017-05-26T23:25:47,290.0,299.98,294.99,40.379,110.636,64.175,265.576,265.902,265.678,134.803,204.733,158.497,110.17922,133.83002,121.00662,128.75272,131.88773,130.78954,71.146645,74.817375,73.61951,63.26915439,91.49,4.59179512,0.54361815,1.28869947,0.16183359
IOSIC_276RB_COMPLITB4001_SI,30,500,2017-05-26T23:25:47,300.0,309.98,304.99,47.259,57.239,52.249,265.576,265.576,265.576,141.683,151.663,146.673,80.23311,110.11109,94.50399,131.05121,131.52415,131.2817,74.2801,74.60942,74.44732,63.26915439,91.49,5.27733353,1.20001478,1.41345672,0.31406687
IOSIC_276RB_COMPLITB4001_SI,31,500,2017-05-26T23:25:47,310.0,319.98,314.99,57.259,67.239,62.249,265.576,265.576,265.576,151.683,161.663,156.673,63.357475,80.18307,70.23835,130.65881,131.05032,130.84708,73.92284,74.27942,74.10308,63.26915439,91.49,5.53249202,1.90359463,1.51780895,0.53124826
