Observation,Slice#,Date,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_006RI_LPHRLFMOV001_PRIME,0,2005-04-13T04:31:12,7.253,7.583,7.418,38.225,38.413,38.319,83.629,83.647,83.638,67.982,96,3.57059,0.22291,0.39572,0.02489
ISS_006RI_LPHRLFMOV001_PRIME,1,2005-04-13T04:05:52,7.335,7.907,7.621,38.412,38.624,38.518,83.639,83.673,83.656,67.982,96,3.68729,0.3564,0.40772,0.03917
ISS_006RI_LPHRLFMOV001_PRIME,2,2005-04-13T03:40:48,7.449,7.687,7.568,38.623,38.832,38.728,83.656,83.678,83.667,67.982,96,3.5789,0.2991,0.39484,0.03297
ISS_006RI_LPHRLFMOV001_PRIME,3,2005-04-13T03:15:28,7.44,7.797,7.618,38.831,39.038,38.935,83.667,83.693,83.68,67.982,96,3.93613,0.6481,0.43325,0.0713
ISS_006RI_LPHRLFMOV001_PRIME,4,2005-04-13T02:52:00,7.52,7.871,7.695,39.037,39.226,39.132,83.684,83.704,83.694,67.982,96,3.5902,0.42308,0.3943,0.04657
ISS_006RI_LPHRLFMOV001_PRIME,5,2005-04-13T02:37:52,7.518,10.658,9.088,39.225,39.348,39.286,83.647,83.713,83.68,67.982,96,3.11971,0.30832,0.34279,0.03422
ISS_006RI_LPHRLFMOV001_PRIME,6,2005-04-13T02:37:52,8.199,16.611,12.405,31.256,39.42,35.338,83.293,83.646,83.47,67.982,96,3.09162,0.41322,0.34942,0.04609
ISS_006RI_LPHRLFMOV001_PRIME,7,2005-04-13T16:16:00,5.923,8.187,7.055,31.15,31.255,31.203,83.163,83.293,83.228,67.982,96,2.89757,0.2683,0.34223,0.03125
ISS_006RI_LPHRLFMOV001_PRIME,8,2005-04-13T15:50:08,5.966,6.385,6.176,31.228,31.549,31.388,83.151,83.209,83.18,67.982,96,3.12517,0.33957,0.37101,0.04052
ISS_006RI_LPHRLFMOV001_PRIME,9,2005-04-13T15:25:36,6.025,6.181,6.103,31.546,31.851,31.698,83.184,83.216,83.2,67.982,96,3.32131,0.27124,0.39316,0.03194
ISS_006RI_LPHRLFMOV001_PRIME,10,2005-04-13T14:59:44,6.068,6.44,6.254,31.845,32.159,32.002,83.195,83.243,83.219,67.982,96,3.41576,0.31127,0.40324,0.03697
ISS_006RI_LPHRLFMOV001_PRIME,11,2005-04-13T14:34:24,6.135,6.29,6.212,32.157,32.457,32.307,83.223,83.251,83.237,67.982,96,3.51971,0.28517,0.41433,0.03342
ISS_006RI_LPHRLFMOV001_PRIME,12,2005-04-13T14:07:44,6.195,6.311,6.253,32.455,32.764,32.609,83.243,83.269,83.256,67.982,96,3.38864,0.29998,0.39782,0.03532
ISS_006RI_LPHRLFMOV001_PRIME,13,2005-04-13T13:42:40,6.265,6.455,6.36,32.763,33.056,32.909,83.264,83.295,83.28,67.982,96,3.4103,0.26317,0.39925,0.03062
ISS_006RI_LPHRLFMOV001_PRIME,14,2005-04-13T13:17:20,6.295,6.492,6.393,33.052,33.337,33.194,83.281,83.305,83.293,67.982,96,3.68347,0.28688,0.43008,0.03336
