Observation,Slice#,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_000RI_SATSRCHAP001_PRIME,0,2004-06-20T20:03:28,0.0,359.98,38.196,61.67,49.933,67.141,67.351,67.246,73.763,73.946,73.855,65.45,100,2.24956,0.702,0.62342,0.19446
ISS_006RI_LPHRLFMOV001_PRIME,0,2005-04-13T02:37:52,0.0,359.98,5.923,16.442,11.182,31.15,39.419,35.285,83.151,83.713,83.432,67.982,96,4.01386,0.76442,0.45755,0.08741
ISS_007RI_HPMRDFMOV001_PRIME,0,2005-05-03T22:29:04,0.0,359.98,4.329,11.616,7.972,117.135,132.132,124.633,93.807,98.353,96.08,68.187,72,9.43414,1.45619,0.95698,0.31086
ISS_007RI_LPHRLFMOV001_PRIME,0,2005-05-01T04:07:28,0.0,359.98,6.252,7.685,6.968,29.889,35.79,32.84,68.62,69.583,69.102,68.16,63,1.18886,0.34766,0.42536,0.12466
ISS_00ARI_SPKMOVPER001_PRIME,0,2004-11-15T08:52:32,13.6,358.18,27.04,45.259,36.149,84.213,84.906,84.56,77.211,77.44,77.325,66.603,95,2.68976,0.6051,0.59029,0.13265
ISS_029RF_FMOVIE001_VIMS,0,2006-09-28T20:32:15,0.94,338.08,9.415,10.431,9.923,158.301,161.915,160.108,120.74,122.667,121.704,74.335,93,10.84822,2.33426,5.69882,1.18853
ISS_029RF_FMOVIE002_VIMS,0,2006-09-30T00:32:15,0.0,359.98,11.066,11.545,11.306,158.804,161.012,159.908,118.488,119.568,119.028,74.349,59,11.58738,2.16747,5.60929,1.01432
ISS_030RF_FMOVIE001_VIMS,0,2006-10-16T01:34:07,0.0,359.98,10.425,10.866,10.646,150.449,152.596,151.523,130.151,131.516,130.834,74.566,53,5.6958,1.03726,3.72547,0.6783
ISS_031RF_FMOVIE001_VIMS,0,2006-10-31T18:37:35,0.0,359.98,9.339,9.822,9.581,156.15,160.32,158.235,124.792,128.279,126.536,74.784,92,8.70659,1.27575,5.17965,0.76073
ISS_032RF_FMOVIE001_VIMS,0,2006-11-12T17:53:35,0.0,359.98,9.308,9.793,9.55,155.705,159.978,157.842,124.903,128.405,126.654,74.949,92,8.49445,1.70077,5.05493,0.94544
ISS_033RF_FMOVIE001_VIMS,0,2006-11-25T16:52:47,0.0,359.98,10.04,10.408,10.224,159.649,160.813,160.231,119.085,122.613,120.849,75.128,95,10.87011,1.54317,5.57193,0.75896
ISS_036RF_FMOVIE001_VIMS,0,2006-12-23T09:43:43,0.0,359.98,11.699,11.85,11.774,158.585,161.006,159.795,122.63,125.777,124.203,75.513,100,11.41762,4.4905,6.44512,2.63228
ISS_036RF_FMOVIE002_VIMS,0,2007-01-05T14:31:59,0.0,359.98,10.175,10.557,10.366,131.067,135.709,133.388,143.631,145.695,144.663,75.696,89,2.70096,2.34811,2.20274,1.90747
ISS_039RF_FMOVIE001_VIMS,0,2007-02-27T07:18:39,0.0,359.98,10.153,10.245,10.199,101.403,108.096,104.75,143.666,146.751,145.208,76.44,100,1.48807,0.80807,1.21989,0.6533
ISS_039RF_FMOVIE002_VIMS,0,2007-02-10T11:47:11,0.0,359.98,10.222,10.287,10.254,125.326,131.163,128.244,146.776,148.766,147.771,76.201,91,2.3191,1.38717,1.96368,1.1727
ISS_039RF_FMOVIE003_VIMS,0,2007-02-11T15:43:11,74.0,144.68,10.106,10.164,10.135,136.474,137.878,137.176,143.367,144.375,143.871,76.211,19,2.28818,0.31627,1.84968,0.25487
ISS_041RF_FMOVIE001_VIMS,0,2007-03-31T09:35:11,44.0,352.18,11.851,11.957,11.904,82.179,85.653,83.916,128.183,130.514,129.349,76.896,85,1.74063,0.74056,1.10187,0.46076
ISS_041RF_FMOVIE002_VIMS,0,2007-03-17T03:49:19,0.0,359.98,10.416,10.754,10.585,106.21,111.872,109.041,143.602,145.442,144.522,76.694,100,1.63517,0.846,1.33149,0.68609
ISS_043RF_FMOVIE001_VIMS,0,2007-04-18T03:26:39,0.0,359.98,12.019,12.323,12.171,83.668,87.286,85.477,125.62,127.654,126.637,77.153,99,1.76117,0.7612,1.05134,0.45484
ISS_044RF_FMOVIE001_VIMS,0,2007-05-05T04:51:11,0.0,359.98,11.896,12.369,12.133,80.254,83.496,81.875,118.64,120.156,119.398,77.399,100,2.02328,0.7032,0.99555,0.35535
ISS_051RI_LPMRDFMOV001_PRIME,0,2007-10-18T21:11:11,0.0,359.98,17.492,82.404,49.948,54.899,57.003,55.951,93.996,94.141,94.069,79.85,88,7.90391,1.36338,0.56214,0.09507
ISS_055RF_FMOVIE001_VIMS,0,2007-12-31T15:47:27,24.94,353.68,9.032,10.012,9.522,62.879,67.796,65.337,122.066,123.774,122.92,80.96,91,1.14753,0.25341,0.62371,0.13958
ISS_055RI_LPMRDFMOV001_PRIME,0,2008-01-07T08:07:59,0.0,359.98,9.418,10.141,9.779,19.03,22.698,20.864,99.563,102.615,101.089,81.063,100,2.93659,0.45446,0.56585,0.09364
ISS_057RF_FMOVIE001_VIMS,0,2008-01-23T14:10:23,0.0,359.98,9.782,10.452,10.117,42.464,46.135,44.3,117.107,119.432,118.27,81.308,89,1.21305,0.27766,0.57375,0.12943
ISS_059RF_FMOVIE001_VIMS,0,2008-02-17T12:25:03,0.0,359.98,8.524,9.349,8.936,42.97,47.116,45.043,121.279,124.365,122.822,81.687,92,1.09111,0.31709,0.59022,0.17012
ISS_059RF_FMOVIE002_VIMS,0,2008-02-24T12:27:11,0.0,359.98,9.266,10.376,9.821,23.656,26.862,25.259,104.391,108.35,106.371,81.794,100,2.06135,0.41191,0.58076,0.1212
ISS_061RI_LPMRDFMOV001_PRIME,0,2008-03-15T10:14:07,139.08,356.28,7.988,22.225,15.107,12.616,15.163,13.889,94.207,97.141,95.674,82.093,60,5.25883,1.0672,0.51049,0.05834
ISS_068RF_FMOVIE001_VIMS,0,2008-05-15T23:55:27,0.0,359.98,5.377,6.568,5.973,44.146,56.186,50.166,126.222,136.356,131.289,83.037,46,0.7948,0.12811,0.51703,0.08928
ISS_075RF_FMOVIE002_VIMS,0,2008-07-05T01:53:35,0.0,359.98,6.013,6.885,6.449,28.938,37.32,33.129,112.495,121.122,116.809,83.807,99,1.14747,0.16793,0.51208,0.07869
ISS_079RF_FRINGMRLF002_PRIME,0,2008-08-06T01:42:23,79.6,305.4,8.635,13.675,11.155,21.175,28.065,24.62,63.588,72.51,68.049,84.295,62,1.63978,0.44308,0.60501,0.1721
ISS_080RF_FMOVIE005_PRIME,0,2008-08-14T06:50:39,66.74,170.98,6.609,14.91,10.759,14.243,15.013,14.628,81.263,83.724,82.494,84.419,28,3.55236,0.54386,0.45732,0.06281
ISS_081RI_FMOVIE106_VIMS,0,2008-08-20T00:36:15,0.0,359.98,3.466,4.928,4.197,29.143,47.495,38.319,39.289,60.611,49.95,84.513,88,0.87494,0.23432,0.53361,0.11698
