Date,Pandora Min Distance
1978-01-01T00:00:00,849.278
1978-01-11T00:00:00,845.538
1978-01-21T00:00:00,841.434
1978-01-31T00:00:00,838.305
1978-02-10T00:00:00,834.873
1978-02-20T00:00:00,830.328
1978-03-02T00:00:00,825.618
1978-03-12T00:00:00,819.668
1978-03-22T00:00:00,813.853
1978-04-01T00:00:00,807.774
1978-04-11T00:00:00,801.671
1978-04-21T00:00:00,795.879
1978-05-01T00:00:00,790.6
1978-05-11T00:00:00,785.969
1978-05-21T00:00:00,780.627
1978-05-31T00:00:00,776.852
1978-06-10T00:00:00,772.934
1978-06-20T00:00:00,768.832
1978-06-30T00:00:00,764.026
1978-07-10T00:00:00,760.142
1978-07-20T00:00:00,755.352
1978-07-30T00:00:00,750.461
1978-08-09T00:00:00,745.768
1978-08-19T00:00:00,740.534
1978-08-29T00:00:00,737.116
1978-09-08T00:00:00,732.746
1978-09-18T00:00:00,729.773
1978-09-28T00:00:00,726.234
1978-10-08T00:00:00,722.787
1978-10-18T00:00:00,719.611
1978-10-28T00:00:00,715.416
1978-11-07T00:00:00,710.491
1978-11-17T00:00:00,705.391
1978-11-27T00:00:00,700.239
1978-12-07T00:00:00,694.493
1978-12-17T00:00:00,689.359
1978-12-27T00:00:00,684.255
1979-01-05T23:59:59,680.592
1979-01-15T23:59:59,676.74
1979-01-25T23:59:59,674.365
1979-02-04T23:59:59,672.302
1979-02-14T23:59:59,671.219
1979-02-24T23:59:59,670.051
1979-03-06T23:59:59,667.41
1979-03-16T23:59:59,665.072
1979-03-26T23:59:59,661.491
1979-04-05T23:59:59,656.947
1979-04-15T23:59:59,651.533
1979-04-25T23:59:59,645.761
1979-05-05T23:59:59,639.698
1979-05-15T23:59:59,634.405
1979-05-25T23:59:59,629.966
1979-06-04T23:59:59,626.533
1979-06-14T23:59:59,624.194
1979-06-24T23:59:59,622.93
1979-07-04T23:59:59,623.272
1979-07-14T23:59:59,623.026
1979-07-24T23:59:59,623.425
1979-08-03T23:59:59,623.246
1979-08-13T23:59:59,621.484
1979-08-23T23:59:59,619.068
1979-09-02T23:59:59,614.273
1979-09-12T23:59:59,609.61
1979-09-22T23:59:59,604.277
1979-10-02T23:59:59,599.596
1979-10-12T23:59:59,594.734
1979-10-22T23:59:59,591.257
1979-11-01T23:59:59,588.971
1979-11-11T23:59:59,587.668
1979-11-21T23:59:59,587.928
1979-12-01T23:59:59,588.979
1979-12-11T23:59:59,590.831
1979-12-21T23:59:59,591.571
1979-12-31T23:59:59,592.558
1980-01-10T23:59:58,591.668
1980-01-20T23:59:58,589.965
1980-01-30T23:59:58,588.51
1980-02-09T23:59:58,583.365
1980-02-19T23:59:58,579.214
1980-02-29T23:59:58,574.945
1980-03-10T23:59:58,571.763
1980-03-20T23:59:58,569.2
1980-03-30T23:59:58,568.539
1980-04-09T23:59:58,568.205
1980-04-19T23:59:58,569.486
1980-04-29T23:59:58,570.998
1980-05-09T23:59:58,573.429
1980-05-19T23:59:58,574.966
1980-05-29T23:59:58,575.467
1980-06-08T23:59:58,576.272
1980-06-18T23:59:58,575.079
1980-06-28T23:59:58,573.618
1980-07-08T23:59:58,571.158
1980-07-18T23:59:58,569.199
1980-07-28T23:59:58,566.734
1980-08-07T23:59:58,564.97
1980-08-17T23:59:58,564.307
1980-08-27T23:59:58,563.699
1980-09-06T23:59:58,564.413
1980-09-16T23:59:58,565.82
1980-09-26T23:59:58,567.385
1980-10-06T23:59:58,568.599
1980-10-16T23:59:58,569.904
1980-10-26T23:59:58,570.113
1980-11-05T23:59:58,570.81
1980-11-15T23:59:58,570.984
1980-11-25T23:59:58,570.431
1980-12-05T23:59:58,570.455
1980-12-15T23:59:58,569.731
1980-12-25T23:59:58,570.123
1981-01-04T23:59:58,570.326
1981-01-14T23:59:58,571.458
1981-01-24T23:59:58,572.943
1981-02-03T23:59:58,573.772
1981-02-13T23:59:58,575.313
1981-02-23T23:59:58,575.744
1981-03-05T23:59:58,576.206
1981-03-15T23:59:58,576.968
1981-03-25T23:59:58,577.517
1981-04-04T23:59:58,577.739
1981-04-14T23:59:58,578.933
1981-04-24T23:59:58,580.493
1981-05-04T23:59:58,582.892
1981-05-14T23:59:58,585.02
1981-05-24T23:59:58,587.929
1981-06-03T23:59:58,591.641
1981-06-13T23:59:58,593.68
1981-06-23T23:59:58,596.724
1981-07-03T23:59:57,597.914
1981-07-13T23:59:57,599.412
1981-07-23T23:59:57,600.386
1981-08-02T23:59:57,600.303
1981-08-12T23:59:57,600.351
1981-08-22T23:59:57,601.086
1981-09-01T23:59:57,602.593
1981-09-11T23:59:57,604.679
1981-09-21T23:59:57,608.366
1981-10-01T23:59:57,612.706
1981-10-11T23:59:57,617.9
1981-10-21T23:59:57,622.971
1981-10-31T23:59:57,628.638
1981-11-10T23:59:57,633.039
1981-11-20T23:59:57,636.334
1981-11-30T23:59:57,639.065
1981-12-10T23:59:57,639.32
1981-12-20T23:59:57,640.004
1981-12-30T23:59:57,639.977
1982-01-09T23:59:57,640.348
1982-01-19T23:59:57,641.642
1982-01-29T23:59:57,643.888
1982-02-08T23:59:57,647.019
1982-02-18T23:59:57,652.335
1982-02-28T23:59:57,658.638
1982-03-10T23:59:57,665.475
1982-03-20T23:59:57,672.891
1982-03-30T23:59:57,678.877
1982-04-09T23:59:57,684.926
1982-04-19T23:59:57,688.362
