Date,Prometheus Min Distance
1978-01-01T00:00:00,268.48
1978-01-11T00:00:00,271.446
1978-01-21T00:00:00,274.97
1978-01-31T00:00:00,278.344
1978-02-10T00:00:00,281.447
1978-02-20T00:00:00,283.707
1978-03-02T00:00:00,285.893
1978-03-12T00:00:00,286.109
1978-03-22T00:00:00,286.122
1978-04-01T00:00:00,285.069
1978-04-11T00:00:00,284.957
1978-04-21T00:00:00,285.054
1978-05-01T00:00:00,286.058
1978-05-11T00:00:00,288.398
1978-05-21T00:00:00,291.436
1978-05-31T00:00:00,295.089
1978-06-10T00:00:00,297.753
1978-06-20T00:00:00,301.178
1978-06-30T00:00:00,303.737
1978-07-10T00:00:00,306.084
1978-07-20T00:00:00,307.668
1978-07-30T00:00:00,308.376
1978-08-09T00:00:00,308.354
1978-08-19T00:00:00,307.751
1978-08-29T00:00:00,308.159
1978-09-08T00:00:00,308.643
1978-09-18T00:00:00,310.413
1978-09-28T00:00:00,312.98
1978-10-08T00:00:00,316.575
1978-10-18T00:00:00,320.206
1978-10-28T00:00:00,324.02
1978-11-07T00:00:00,327.697
1978-11-17T00:00:00,329.959
1978-11-27T00:00:00,331.262
1978-12-07T00:00:00,331.908
1978-12-17T00:00:00,332.636
1978-12-27T00:00:00,332.521
1979-01-05T23:59:59,332.9
1979-01-15T23:59:59,333.664
1979-01-25T23:59:59,334.991
1979-02-04T23:59:59,337.737
1979-02-14T23:59:59,340.702
1979-02-24T23:59:59,344.681
1979-03-06T23:59:59,348.533
1979-03-16T23:59:59,352.704
1979-03-26T23:59:59,355.365
1979-04-05T23:59:59,357.912
1979-04-15T23:59:59,358.789
1979-04-25T23:59:59,359.339
1979-05-05T23:59:59,359.549
1979-05-15T23:59:59,360.068
1979-05-25T23:59:59,360.805
1979-06-04T23:59:59,361.897
1979-06-14T23:59:59,364.778
1979-06-24T23:59:59,367.251
1979-07-04T23:59:59,371.316
1979-07-14T23:59:59,374.609
1979-07-24T23:59:59,379.04
1979-08-03T23:59:59,382.455
1979-08-13T23:59:59,385.316
1979-08-23T23:59:59,387.361
1979-09-02T23:59:59,388.332
1979-09-12T23:59:59,389.058
1979-09-22T23:59:59,388.602
1979-10-02T23:59:59,389.717
1979-10-12T23:59:59,390.672
1979-10-22T23:59:59,392.881
1979-11-01T23:59:59,396.071
1979-11-11T23:59:59,400.233
1979-11-21T23:59:59,404.491
1979-12-01T23:59:59,408.041
1979-12-11T23:59:59,411.609
1979-12-21T23:59:59,414.459
1979-12-31T23:59:59,417.325
1980-01-10T23:59:58,418.764
1980-01-20T23:59:58,419.701
1980-01-30T23:59:58,420.281
1980-02-09T23:59:58,420.807
1980-02-19T23:59:58,421.68
1980-02-29T23:59:58,423.52
1980-03-10T23:59:58,426.454
1980-03-20T23:59:58,429.802
1980-03-30T23:59:58,434.541
1980-04-09T23:59:58,439.054
1980-04-19T23:59:58,443.276
1980-04-29T23:59:58,446.444
1980-05-09T23:59:58,449.425
1980-05-19T23:59:58,451.175
1980-05-29T23:59:58,452.319
1980-06-08T23:59:58,453.015
1980-06-18T23:59:58,453.576
1980-06-28T23:59:58,455.3
1980-07-08T23:59:58,456.659
1980-07-18T23:59:58,459.061
1980-07-28T23:59:58,462.107
1980-08-07T23:59:58,466.064
1980-08-17T23:59:58,470.435
1980-08-27T23:59:58,475.195
1980-09-06T23:59:58,479.168
1980-09-16T23:59:58,482.44
1980-09-26T23:59:58,484.812
1980-10-06T23:59:58,485.973
1980-10-16T23:59:58,487.296
1980-10-26T23:59:58,487.639
1980-11-05T23:59:58,489.229
1980-11-15T23:59:58,490.504
1980-11-25T23:59:58,492.691
1980-12-05T23:59:58,495.891
1980-12-15T23:59:58,500.114
1980-12-25T23:59:58,504.559
1981-01-04T23:59:58,508.659
1981-01-14T23:59:58,513.598
1981-01-24T23:59:58,517.044
1981-02-03T23:59:58,519.939
1981-02-13T23:59:58,521.514
1981-02-23T23:59:58,523.401
1981-03-05T23:59:58,524.267
1981-03-15T23:59:58,525.003
1981-03-25T23:59:58,526.204
1981-04-04T23:59:58,528.358
1981-04-14T23:59:58,531.55
1981-04-24T23:59:58,535.304
1981-05-04T23:59:58,539.904
1981-05-14T23:59:58,544.428
1981-05-24T23:59:58,549.197
1981-06-03T23:59:58,552.86
1981-06-13T23:59:58,556.5
1981-06-23T23:59:58,558.971
1981-07-03T23:59:57,560.487
1981-07-13T23:59:57,561.795
1981-07-23T23:59:57,562.824
1981-08-02T23:59:57,564.297
1981-08-12T23:59:57,565.856
1981-08-22T23:59:57,568.395
1981-09-01T23:59:57,571.789
1981-09-11T23:59:57,576.313
1981-09-21T23:59:57,581.494
1981-10-01T23:59:57,585.91
1981-10-11T23:59:57,590.248
1981-10-21T23:59:57,593.426
1981-10-31T23:59:57,596.495
1981-11-10T23:59:57,598.534
1981-11-20T23:59:57,600.064
1981-11-30T23:59:57,600.776
1981-12-10T23:59:57,602.345
1981-12-20T23:59:57,604.104
1981-12-30T23:59:57,606.392
1982-01-09T23:59:57,609.339
1982-01-19T23:59:57,613.073
1982-01-29T23:59:57,618.327
1982-02-08T23:59:57,623.089
1982-02-18T23:59:57,628.111
1982-02-28T23:59:57,631.797
1982-03-10T23:59:57,635.494
1982-03-20T23:59:57,637.312
1982-03-30T23:59:57,638.913
1982-04-09T23:59:57,639.885
1982-04-19T23:59:57,641.051
1982-04-29T23:59:57,642.914
1982-05-09T23:59:57,645.018
1982-05-19T23:59:57,648.624
1982-05-29T23:59:57,651.744
1982-06-08T23:59:57,656.564
1982-06-18T23:59:57,660.898
1982-06-28T23:59:57,666.374
1982-07-08T23:59:56,670.606
1982-07-18T23:59:56,674.584
1982-07-28T23:59:56,677.221
1982-08-07T23:59:56,679.437
1982-08-17T23:59:56,681.094
1982-08-27T23:59:56,681.862
1982-09-06T23:59:56,683.327
1982-09-16T23:59:56,684.524
1982-09-26T23:59:56,687.625
1982-10-06T23:59:56,691.234
1982-10-16T23:59:56,695.915
1982-10-26T23:59:56,700.569
1982-11-05T23:59:56,704.84
1982-11-15T23:59:56,709.834
1982-11-25T23:59:56,713.935
1982-12-05T23:59:56,717.539
1982-12-15T23:59:56,719.824
1982-12-25T23:59:56,722.02
1983-01-04T23:59:56,722.935
1983-01-14T23:59:56,724.029
1983-01-24T23:59:56,725.227
1983-02-03T23:59:56,727.231
1983-02-13T23:59:56,730.596
1983-02-23T23:59:56,734.833
1983-03-05T23:59:56,739.734
1983-03-15T23:59:56,744.073
1983-03-25T23:59:56,749.122
1983-04-04T23:59:56,752.899
1983-04-14T23:59:56,756.996
1983-04-24T23:59:56,759.733
1983-05-04T23:59:56,762.186
1983-05-14T23:59:56,763.485
1983-05-24T23:59:56,764.559
1983-06-03T23:59:56,766.093
