Date,Prometheus Distance
1978-01-01T00:00:00,268.485
1978-01-02T00:00:00,268.956
1978-01-03T00:00:00,269.211
1978-01-04T00:00:00,269.657
1978-01-05T00:00:00,270.411
1978-01-06T00:00:00,270.402
1978-01-07T00:00:00,270.465
1978-01-08T00:00:00,270.718
1978-01-09T00:00:00,270.872
1978-01-10T00:00:00,271.243
1978-01-11T00:00:00,271.451
1978-01-12T00:00:00,271.755
1978-01-13T00:00:00,272.159
1978-01-14T00:00:00,272.439
1978-01-15T00:00:00,273.205
1978-01-16T00:00:00,273.448
1978-01-17T00:00:00,273.886
1978-01-18T00:00:00,273.687
1978-01-19T00:00:00,274.145
1978-01-20T00:00:00,274.302
1978-01-21T00:00:00,274.975
1978-01-22T00:00:00,275.218
1978-01-23T00:00:00,275.871
1978-01-24T00:00:00,276.346
1978-01-25T00:00:00,276.483
1978-01-26T00:00:00,277.118
1978-01-27T00:00:00,277.341
1978-01-28T00:00:00,277.682
1978-01-29T00:00:00,277.88
1978-01-30T00:00:00,277.753
1978-01-31T00:00:00,278.349
1978-02-01T00:00:00,278.42
1978-02-02T00:00:00,278.787
1978-02-03T00:00:00,279.238
1978-02-04T00:00:00,279.187
1978-02-05T00:00:00,279.807
1978-02-06T00:00:00,280.36
1978-02-07T00:00:00,280.878
1978-02-08T00:00:00,281.116
1978-02-09T00:00:00,281.132
1978-02-10T00:00:00,281.453
1978-02-11T00:00:00,281.746
1978-02-12T00:00:00,281.974
1978-02-13T00:00:00,282.255
1978-02-14T00:00:00,282.606
1978-02-15T00:00:00,282.42
1978-02-16T00:00:00,282.721
1978-02-17T00:00:00,283.321
1978-02-18T00:00:00,283.349
1978-02-19T00:00:00,283.9
1978-02-20T00:00:00,283.712
1978-02-21T00:00:00,284.044
1978-02-22T00:00:00,284.082
1978-02-23T00:00:00,284.134
1978-02-24T00:00:00,284.503
1978-02-25T00:00:00,284.521
1978-02-26T00:00:00,284.69
1978-02-27T00:00:00,285.151
1978-02-28T00:00:00,285.493
1978-03-01T00:00:00,285.837
1978-03-02T00:00:00,285.899
1978-03-03T00:00:00,286.257
1978-03-04T00:00:00,285.741
1978-03-05T00:00:00,285.749
1978-03-06T00:00:00,285.73
1978-03-07T00:00:00,285.891
1978-03-08T00:00:00,285.741
1978-03-09T00:00:00,285.559
1978-03-10T00:00:00,285.677
1978-03-11T00:00:00,285.756
1978-03-12T00:00:00,286.114
1978-03-13T00:00:00,286.108
1978-03-14T00:00:00,286.486
1978-03-15T00:00:00,286.355
1978-03-16T00:00:00,286.18
1978-03-17T00:00:00,286.353
1978-03-18T00:00:00,286.138
1978-03-19T00:00:00,286.193
1978-03-20T00:00:00,286.104
1978-03-21T00:00:00,286.036
1978-03-22T00:00:00,286.127
1978-03-23T00:00:00,285.899
1978-03-24T00:00:00,286.366
1978-03-25T00:00:00,286.202
1978-03-26T00:00:00,285.894
1978-03-27T00:00:00,285.654
1978-03-28T00:00:00,285.65
1978-03-29T00:00:00,285.397
1978-03-30T00:00:00,285.337
1978-03-31T00:00:00,285.131
1978-04-01T00:00:00,285.075
1978-04-02T00:00:00,285.179
1978-04-03T00:00:00,285.793
1978-04-04T00:00:00,285.792
1978-04-05T00:00:00,286.068
1978-04-06T00:00:00,285.761
1978-04-07T00:00:00,285.599
1978-04-08T00:00:00,285.413
1978-04-09T00:00:00,285.292
1978-04-10T00:00:00,285.15
1978-04-11T00:00:00,284.962
1978-04-12T00:00:00,284.918
1978-04-13T00:00:00,284.837
1978-04-14T00:00:00,285.213
1978-04-15T00:00:00,285.339
1978-04-16T00:00:00,285.357
1978-04-17T00:00:00,285.165
1978-04-18T00:00:00,285.091
1978-04-19T00:00:00,285.077
1978-04-20T00:00:00,285.147
1978-04-21T00:00:00,285.06
1978-04-22T00:00:00,285.308
1978-04-23T00:00:00,285.145
1978-04-24T00:00:00,285.442
1978-04-25T00:00:00,285.54
1978-04-26T00:00:00,285.996
1978-04-27T00:00:00,286.168
1978-04-28T00:00:00,286.143
1978-04-29T00:00:00,286.019
1978-04-30T00:00:00,285.979
1978-05-01T00:00:00,286.064
1978-05-02T00:00:00,286.499
1978-05-03T00:00:00,286.286
1978-05-04T00:00:00,286.264
1978-05-05T00:00:00,286.253
1978-05-06T00:00:00,286.765
1978-05-07T00:00:00,287.174
1978-05-08T00:00:00,287.485
1978-05-09T00:00:00,287.844
1978-05-10T00:00:00,288.15
1978-05-11T00:00:00,288.403
1978-05-12T00:00:00,288.882
1978-05-13T00:00:00,289.126
1978-05-14T00:00:00,289.219
1978-05-15T00:00:00,289.062
1978-05-16T00:00:00,289.174
1978-05-17T00:00:00,289.581
1978-05-18T00:00:00,290.03
1978-05-19T00:00:00,290.395
1978-05-20T00:00:00,290.938
1978-05-21T00:00:00,291.442
1978-05-22T00:00:00,291.297
1978-05-23T00:00:00,292.053
1978-05-24T00:00:00,291.908
1978-05-25T00:00:00,292.419
1978-05-26T00:00:00,292.357
1978-05-27T00:00:00,292.646
1978-05-28T00:00:00,293.109
1978-05-29T00:00:00,293.923
1978-05-30T00:00:00,294.336
1978-05-31T00:00:00,295.095
1978-06-01T00:00:00,295.209
1978-06-02T00:00:00,295.477
1978-06-03T00:00:00,295.806
1978-06-04T00:00:00,296.147
1978-06-05T00:00:00,296.039
1978-06-06T00:00:00,296.288
1978-06-07T00:00:00,296.225
1978-06-08T00:00:00,296.802
1978-06-09T00:00:00,297.173
1978-06-10T00:00:00,297.759
1978-06-11T00:00:00,298.635
1978-06-12T00:00:00,298.549
1978-06-13T00:00:00,299.296
1978-06-14T00:00:00,299.365
1978-06-15T00:00:00,300.01
1978-06-16T00:00:00,300.414
1978-06-17T00:00:00,300.677
1978-06-18T00:00:00,300.724
1978-06-19T00:00:00,300.964
1978-06-20T00:00:00,301.184
1978-06-21T00:00:00,301.9
1978-06-22T00:00:00,301.985
1978-06-23T00:00:00,302.61
1978-06-24T00:00:00,302.552
1978-06-25T00:00:00,303.066
1978-06-26T00:00:00,303.205
1978-06-27T00:00:00,303.697
1978-06-28T00:00:00,303.658
1978-06-29T00:00:00,303.686
1978-06-30T00:00:00,303.743
1978-07-01T00:00:00,303.948
1978-07-02T00:00:00,304.601
1978-07-03T00:00:00,304.67
1978-07-04T00:00:00,305.306
1978-07-05T00:00:00,305.721
1978-07-06T00:00:00,305.8
1978-07-07T00:00:00,306.275
1978-07-08T00:00:00,306.285
1978-07-09T00:00:00,306.32
1978-07-10T00:00:00,306.09
1978-07-11T00:00:00,305.981
