OBSID,Start Date,End Date,Coverage,Min Radial Res,Max Radial Res,Min Angular Res,Max Angular Res,Median Ph,Median Em,Incidence
ISS_000RI_SATSRCHAP001_PRIME,2004-06-20 19:15:28,2004-06-21 09:55:28,100,38.2,40.9,0.05589,0.05918,67.31,73.89,65.45
ISS_00ARI_SPKMOVPER001_PRIME,2004-11-15 08:52:32,2004-11-15 23:28:32,96.38,27.02,48.83,0.04657,0.05101,84.58,77.3,66.6
ISS_006RI_LPHRLFMOV001_PRIME,2005-04-13 02:37:52,2005-04-13 16:22:24,96.93,5.92,18.14,0.02031,0.02795,35.76,83.48,67.98
ISS_007RI_LPHRLFMOV001_PRIME,2005-05-01 04:07:28,2005-05-01 17:46:24,92.04,5.85,7.69,0.00642,0.00879,32.62,68.89,68.16
ISS_007RI_AZSCNLOPH001_PRIME,2005-05-02 05:53:52,2005-05-02 13:41:52,100,28.67,65.9,0.01216,0.04767,15.22,65.96,68.17
ISS_007RI_HPMRDFMOV001_PRIME,2005-05-03 21:54:08,2005-05-04 09:42:56,79.59,4.24,16.44,0.01143,0.03603,123.63,95.83,68.19
ISS_029RF_FMOVIE001_VIMS,2006-09-28 20:32:15,2006-09-29 10:17:03,93.68,9.41,10.43,0.00709,0.0083,160.17,121.73,74.33
ISS_029RF_FMOVIE002_VIMS,2006-09-30 00:32:15,2006-09-30 09:02:39,59.39,11.07,11.55,0.00908,0.00981,159.93,119.01,74.35
ISS_030RF_FMOVIE001_VIMS,2006-10-16 01:34:07,2006-10-16 09:19:43,53.45,10.43,10.87,0.00642,0.00692,151.53,130.85,74.56
ISS_031RF_FMOVIE001_VIMS,2006-10-31 18:37:35,2006-11-01 08:20:47,93,9.34,9.82,0.00612,0.00701,158.35,126.5,74.78
ISS_032RF_FMOVIE001_VIMS,2006-11-12 17:53:35,2006-11-13 07:36:47,92.97,9.31,9.79,0.00608,0.00697,157.93,126.63,74.95
ISS_032RF_FMOVIE002_VIMS,2006-11-13 22:24:47,2006-11-14 00:23:43,15.48,10.14,10.25,0.00786,0.00806,163.68,121.3,74.96
ISS_033RF_FMOVIE001_VIMS,2006-11-25 16:52:47,2006-11-26 06:49:03,95.39,10.04,10.41,0.00757,0.00871,160.31,120.88,75.13
ISS_036RF_FMOVIE001_VIMS,2006-12-23 09:43:43,2006-12-24 00:28:15,100,11.7,11.85,0.00822,0.00887,159.79,124.3,75.51
ISS_036RF_FMOVIE002_VIMS,2007-01-05 14:31:59,2007-01-06 03:53:51,89.24,10.18,10.56,0.00502,0.00537,133.38,144.81,75.69
ISS_039RF_FMOVIE002_VIMS,2007-02-10 11:47:11,2007-02-11 01:41:35,91.81,10.22,10.29,0.0049,0.00505,128.21,147.99,76.2
ISS_039RF_FMOVIE003_VIMS,2007-02-11 15:43:11,2007-02-11 18:29:51,19.66,10.11,10.16,0.00509,0.0052,137.12,143.95,76.21
ISS_039RI_FMONITOR002_CIRS,2007-02-23 19:36:15,2007-02-23 21:34:07,40.22,86.95,188.47,0.05753,0.08626,62.35,115.36,76.38
ISS_039RF_FMOVIE001_VIMS,2007-02-27 07:18:39,2007-02-27 22:58:23,100,10.15,10.24,0.00496,0.0052,104.85,145.37,76.44
