OPUS ID             ,Primary File Spec                         ,Target       ,Start Time              ,Phase Angle ,Duration ,Observed Ring Radius (Min) [Ring] (km) ,Observed Ring Radius (Max) [Ring] (km) ,Observed J2000 Longitude (Min) [Ring] (degrees) ,Observed J2000 Longitude (Max) [Ring] (degrees) ,Observed Resolution (Min) [Ring] (km/pixel) ,Observed Resolution (Max) [Ring] (km/pixel) ,Observed Emission Angle (Min) [Ring] (degrees) ,Observed Emission Angle (Max) [Ring] (degrees) ,Observed Incidence Angle (Min) [Ring] (degrees) ,Note
vg-iss-1-s-c3479550 ,VGISS_6111/DATA/C34795XX/C3479550_RAW.LBL ,Saturn Rings ,1980-11-08T01:13:16.240 ,     14.318 ,    5.76 ,                            108887.925 ,                            436426.173 ,                                        215.464 ,                                        343.461 ,                                   61.99691 ,                                   67.81684 ,                                        82.214 ,                                        82.886 ,                                         86.206 ,
vg-iss-1-s-c3481627 ,VGISS_6112/DATA/C34816XX/C3481627_RAW.LBL ,Saturn Rings ,1980-11-08T17:42:52.240 ,     14.815 ,    5.76 ,                            117465.084 ,                            356706     ,                                        221.499 ,                                        343.078 ,                                   53.38136 ,                                   58.47789 ,                                        82.419 ,                                        83.083 ,                                         86.196 ,

vg-iss-1-s-c3483209 ,VGISS_6112/DATA/C34832XX/C3483209_RAW.LBL ,Saturn       ,1980-11-09T06:16:28.240 ,     12.242 ,    5.76 ,                            119002.744 ,                            379516.864 ,                                         36.721 ,                                        148.7   ,                                   45.73934 ,                                   50.10894 ,                                        82.453 ,                                        83.115 ,                                         86.188 ,

vg-iss-1-s-c3483213 ,VGISS_6112/DATA/C34832XX/C3483213_RAW.LBL ,Saturn       ,1980-11-09T06:19:40.240 ,     12.079 ,    5.76 ,                            116404.843 ,                            368056.804 ,                                         55.669 ,                                        172.681 ,                                   47.35152 ,                                   52.07356 ,                                        82.717 ,                                        83.381 ,                                         86.188 ,

vg-iss-1-s-c3485233 ,VGISS_6112/DATA/C34852XX/C3485233_RAW.LBL ,Saturn Rings ,1980-11-09T22:35:40.240 ,     15.703 ,    5.76 ,                            114247.45  ,                            389782.547 ,                                        216.234 ,                                        316.09  ,                                   39.8098  ,                                   43.88377 ,                                        83.283 ,                                        83.909 ,                                         86.178 ,
vg-iss-1-s-c3485237 ,VGISS_6112/DATA/C34852XX/C3485237_RAW.LBL ,Saturn Rings ,1980-11-09T22:38:52.240 ,     15.973 ,    5.76 ,                            129496.463 ,                            317887.54  ,                                        245.99  ,                                        349.981 ,                                   37.87865 ,                                   41.59415 ,                                        82.946 ,                                        83.579 ,                                         86.177 ,
#vg-iss-1-s-c3485253 ,VGISS_6112/DATA/C34852XX/C3485253_RAW.LBL ,Saturn Rings ,1980-11-09T22:51:40.240 ,     12.324 ,    5.76 ,                            123565.572 ,                            340593.597 ,                                         39.284 ,                                        145.113 ,                                   37.47292 ,                                   41.36178 ,                                        82.896 ,                                        83.567 ,                                         86.177 ,
vg-iss-1-s-c3485257 ,VGISS_6112/DATA/C34852XX/C3485257_RAW.LBL ,Saturn Rings ,1980-11-09T22:54:52.240 ,     12.244 ,    5.76 ,                            116842.572 ,                            319139.573 ,                                         54.99  ,                                        169.586 ,                                   38.751   ,                                   42.94611 ,                                        83.138 ,                                        83.811 ,                                         86.178 ,

vg-iss-1-s-c3487109 ,VGISS_6112/DATA/C34871XX/C3487109_RAW.LBL ,Saturn Rings ,1980-11-10T13:28:28.240 ,     17.106 ,    5.76 ,                            132036.518 ,                            320626.736 ,                                        225.693 ,                                        314.733 ,                                   31.98157 ,                                   35.31835 ,                                        83.864 ,                                        84.446 ,                                         86.169 ,
vg-iss-1-s-c3487113 ,VGISS_6112/DATA/C34871XX/C3487113_RAW.LBL ,Saturn Rings ,1980-11-10T13:31:40.240 ,     17.021 ,    5.76 ,                            129445.385 ,                            278536.674 ,                                        252.192 ,                                        347.008 ,                                   30.48318 ,                                   33.57627 ,                                        83.569 ,                                        84.164 ,                                         86.168 ,
#vg-iss-1-s-c3487117 ,VGISS_6112/DATA/C34871XX/C3487117_RAW.LBL ,Saturn Rings ,1980-11-10T13:34:52.240 ,     12.525 ,    5.76 ,                            123626.415 ,                            303058.894 ,                                         41.66  ,                                        142.76  ,                                   30.10603 ,                                   33.56543 ,                                        83.497 ,                                        84.17  ,                                         86.168 ,
vg-iss-1-s-c3487121 ,VGISS_6112/DATA/C34871XX/C3487121_RAW.LBL ,Saturn Rings ,1980-11-10T13:38:04.240 ,     12.308 ,    5.76 ,                            127241.162 ,                            252813.587 ,                                         52.543 ,                                        159.079 ,                                   30.81599 ,                                   34.45149 ,                                        83.656 ,                                        84.328 ,                                         86.168 ,

---vvv
