FDS      scan   SHA   width   inc     em     phase    EW    obsHA
34832.13   1   263.9  10.0   86.20   82.90    12.6   5.37   193.7
34852.57   1   263.9  10.0   86.19   83.33    12.7   2.42   194.2
34871.13   1    93.9  10.0   86.17   84.05    17.2   2.17   194.9
34871.17   1   262.9  10.0   86.17   83.91    12.9   2.27   194.9
34880.11   1   149.9  10.0   86.17   84.23    17.4   5.65   195.4
34929.38   1   232.8  10.0   86.14   94.96    23.5   2.91   206.9
34930.44   1   137.8   6.0   86.13   95.37    39.7   2.78   208.0
34931.09   1   161.8  10.0   86.13   96.28    38.9   2.33   208.5
34934.01   1   133.8  10.0   86.13   99.02    47.9   3.00   212.4
34936.08   1   294.8  10.0   86.13  102.76    25.6   2.11   216.9
34940.04   1   234.3   5.0   86.13  134.33    68.7   0.878  234.5
34940.11   1   233.8   2.0   86.13  135.70    70.9   1.152  235.5
34940.18   1   234.4   1.6   86.13  137.21    72.6   0.989  236.5
34953.57   1   120.8  10.0   86.13   80.41   156.3  21.90    33.3
34956.43   1   161.8  10.0   86.13   78.41   147.4  17.04    37.3
34956.55   1   120.8  10.0   86.13   76.78   148.9   6.61    37.5
34957.07   1    86.8  10.0   86.13   74.99   146.3   4.65    37.7
34957.19   1    71.8  10.0   86.13   74.15   143.8   4.72    37.9
34957.31   1    58.3   8.0   86.13   73.54   141.1   3.77    38.1
34962.40   1    92.7  10.0   86.14   71.61   138.7   4.35    42.3
34962.52   1   279.7  10.0   86.14   74.25   127.9   7.18    42.4
34973.49   1    29.7   8.0   86.14   67.90   125.8   1.62    46.8
34974.23   1    96.7  10.0   86.14   68.49   131.2   2.18    47.0
34995.38   1   248.7  10.0   86.15   68.37   123.6   2.02    50.5
35008.52   1   267.6  10.0   86.16   67.34   121.8   1.52    51.6
