Observation,Inertial,Nav qual,Bkgnd qual,Prometheus,Pandora,Additional Comments,
ISS_000RI_SATSRCHAP001_PRIME,Y,G,G,Y,N,,
ISS_00ARI_SPKMOVPER001_PRIME,Y,F,G,Y,N,,
ISS_006RI_LPHRLFMOV001_PRIME,Y,G,G,Y,N,,
ISS_007RI_LPHRLFMOV001_PRIME,Y,F,P,Y,N,B,
ISS_007RI_AZSCNLOPH001_PRIME,N,G,G,Y,N,N,
ISS_007RI_HPMRDFMOV001_PRIME,Y,F,F,N,N,B,
ISS_029RF_FMOVIE001_VIMS,Y,G,G,N,N,,
ISS_029RF_FMOVIE002_VIMS,Y,G,G,N,N,,
ISS_030RF_FMOVIE001_VIMS,Y,G,G,Y,N,,
ISS_031RF_FMOVIE001_VIMS,Y,G,G,N,N,,
ISS_032RF_FMOVIE001_VIMS,Y,G,G,N,N,,
ISS_032RF_FMOVIE002_VIMS,Y,G,G,N,N,,
ISS_033RF_FMOVIE001_VIMS,Y,G,G,Y,N,,
ISS_036RF_FMOVIE001_VIMS,Y,G,G,N,N,E,
ISS_036RF_FMOVIE002_VIMS,Y,G,G,N,N,C;E,
ISS_039RF_FMOVIE002_VIMS,Y,G,G,Y,N,E,
ISS_039RF_FMOVIE003_VIMS,Y,G,G,N,N,E,
ISS_039RF_FMOVIE001_VIMS,Y,G,G,Y,N,E,
ISS_039RI_FMONITOR002_CIRS,Y,G,G,N,N,N,
ISS_041RF_FMOVIE002_VIMS,Y,G,G,Y,N,E,
ISS_041RF_FMOVIE001_VIMS,Y,G,G,N,N,,
ISS_041RI_FMONITOR001_CIRS,Y,G,G,N,N,N,
ISS_043RF_FMOVIE001_VIMS,Y,G,G,N,N,,
ISS_043RI_FMONITOR001_CIRS,Y,G,G,N,N,N,
ISS_043RI_FMONITOR001_PRIME,Y,F,G,N,N,N,
ISS_044RF_FMOVIE001_VIMS,Y,F,G,N,N,,
ISS_051RI_LPMRDFMOV001_PRIME,Y,P,G,Y,N,,
ISS_055RF_FMOVIE001_VIMS,Y,G,G,N,Y,,
ISS_055RI_LPMRDFMOV001_PRIME,Y,G,G,N,N,,
ISS_057RF_FMOVIE001_VIMS,Y,G,G,Y,N,,
ISS_059RF_FMOVIE001_VIMS,Y,G,G,N,Y,,
ISS_059RF_FMOVIE002_VIMS,Y,G,G,N,N,,
ISS_061RI_LPMRDFMOV001_PRIME,Y,F,G,N,N,,
ISS_068RF_FMOVIE001_VIMS,Y,G,G,N,N,,
ISS_072RI_SPKHRLPDF001_PRIME,Y,G,G,Y,N,,
ISS_075RF_FMOVIE002_VIMS,Y,G,G,Y,N,C,
ISS_075RB_BMOVIE4001_VIMS,Y,G,G,N,N,,
ISS_079RI_FMONITOR002_PRIME,N,G,F,N,N,N,
ISS_079RF_FRINGMRLF002_PRIME,Y,F,G,Y,N,,
ISS_080RF_FMOVIE005_PRIME,Y,G,G,N,Y,,
ISS_081RI_FMONITOR001_PRIME,N,F,F,N,N,N,
ISS_081RI_FMOVIE106_VIMS,Y,G,G,N,Y,,
ISS_082RI_FMONITOR003_PRIME,N,G,F,Y,N,N,
ISS_083RI_FMONITOR002_PRIME,Y,G,G,N,N,B;N,
ISS_083RI_FMOVIE109_VIMS,Y,G,G,N,N,,
ISS_084RI_FMONITOR002_PRIME,N,G,F,N,N,N,
ISS_085RF_FMOVIE003_PRIME_1,Y,G,G,N,Y,M2,
ISS_085RF_FMOVIE003_PRIME_2,Y,G,G,N,N,M2,
ISS_087RF_FMOVIE003_PRIME,Y,G,G,Y,Y,,
ISS_089RF_FMOVIE003_PRIME,Y,G,G,N,Y,,
ISS_091RI_APOMOSL109_VIMS,N,F,G,N,N,,
ISS_091RF_FMOVIE003_PRIME,Y,G,G,N,N,,
ISS_092RF_FMOVIE003_PRIME,Y,G,G,N,N,,
ISS_093RF_FMOVIE003_PRIME,Y,G,G,Y,N,,
ISS_093RF_FMOVIE001_PRIME,Y,G,F,N,N,,
ISS_094RF_FMOVIE001_PRIME_1,Y,G,G,Y,N,M2,
ISS_094RF_FMOVIE001_PRIME_2,Y,F,G,N,N,M2,
ISS_094RF_FMOVIE003_PRIME,Y,G,G,N,N,,
ISS_096RF_FMOVIE004_PRIME,Y,G,G,Y,N,,
ISS_098RI_TMAPN30LP001_CIRS,N,F,G,Y,N,N,
ISS_100RF_FMOVIE003_PRIME,Y,G,G,N,Y,,
ISS_100RI_SUBMS20LP001_CIRS,N,F,G,N,N,N,
ISS_102RF_FMOVIE001_PRIME,Y,G,G,Y,N,,
ISS_102RI_SPKFMLFLP001_PRIME,Y,G,F,N,N,,
ISS_103RF_FMOVIE003_PRIME,Y,G,G,N,Y,,
ISS_104RF_FMOVIE003_PRIME,Y,G,F,N,N,,
ISS_105RF_FMOVIE003_PRIME,Y,G,G,N,N,,
ISS_105RI_TMAPN45LP001_CIRS_1,Y,G,G,N,N,M3,
ISS_105RI_TMAPN45LP001_CIRS_2,Y,G,G,N,N,M3,
ISS_105RI_TMAPN45LP001_CIRS_3,Y,G,G,N,N,M3,
ISS_105RI_TMAPN45LP001_CIRS_4,Y,G,G,N,Y,M3,
ISS_105RI_TMAPN45LP001_CIRS_5,Y,G,G,N,N,M3,
ISS_105RI_TMAPN45LP001_CIRS_6,Y,G,G,N,Y,M3,
ISS_105RI_TDIFS20HP001_CIRS,Y,G,P,N,N,,
ISS_105RF_FMOVIE002_PRIME,Y,G,G,Y,N,,
ISS_106RF_FMOVIE002_PRIME,Y,G,F,Y,N,,
ISS_107RF_FMOVIE002_PRIME,Y,G,G,Y,N,,
ISS_108RI_SPKMVLFLP001_PRIME,Y,G,F,N,N,,
ISS_108RF_FMOVIE001_PRIME,Y,G,G,Y,N,,
ISS_109RI_TDIFS20HP001_CIRS,Y,G,F,N,N,,
ISS_110RF_FMOVIE002_PRIME,Y,G,G,Y,N,,
ISS_111RF_FMOVIE002_PRIME,Y,G,G,Y,N,,
ISS_112RF_FMOVIE002_PRIME_1,Y,G,G,N,Y,M2,
ISS_112RF_FMOVIE002_PRIME_2,Y,G,G,Y,N,M2,
ISS_114RF_FMOVIEEQX001_PRIME,Y,G,G,N,Y,,
ISS_115RF_FMOVIEEQX001_PRIME,Y,G,G,N,N,,
ISS_132RI_FMOVIE001_VIMS,Y,F,G,Y,N,,
ISS_134RI_SPKMVDFHP001_PRIME,Y,G,F,N,N,,
ISS_137RI_FMOVIE001_VIMS,Y,G,G,N,N,E,
ISS_166RI_FNTLPMOV001_PRIME,Y,P,G,N,N,,
ISS_168RF_FMOVIE001_PRIME,Y,G,G,N,N,,
ISS_168RF_FMOVIE002_PRIME,Y,F,G,N,N,E,
ISS_168RI_PROPRETRG001_PRIME,Y,G,G,N,N,,
ISS_170RF_HIRESFRNG001_PRIME,Y,G,G,N,N,,
ISS_172RF_FMOVIE001_PRIME,Y,G,G,N,N,,
ISS_172RI_BETPEGOCC001_VIMS,Y,G,G,N,N,O,
ISS_172ST_URGAMPEG001_UVIS,Y,G,F,N,N,O,
ISS_172RI_EGAPMOVMP002_PRIME,Y,G,G,N,N,,
ISS_172RI_SPOKEMOV001_PRIME,N,P,P,Y,N,,
ISS_172RI_SPOKEMOV002_PRIME,Y,F,F,Y,N,,
ISS_173RI_SPOKEMOV001_PRIME,Y,G,F,N,N,,
