TARGET_NAME,score,set1_opus_id,set2_opus_id,d_phase,d_incidence,d_emission,d_sub_solar_lat,d_sub_obs_lat,d_sub_solar_lon,d_sub_obs_lon,set1_name,set1_volume,set1_file,set1_filter,set1_instrument,set1_phase,set1_incidence,set1_emission,set1_sub_solar_lat,set1_sub_obs_lat,set1_sub_solar_lon,set1_sub_obs_lon,set1_resolution_km_px,set1_fov_fraction,set2_name,set2_volume,set2_file,set2_filter,set2_instrument,set2_phase,set2_incidence,set2_emission,set2_sub_solar_lat,set2_sub_obs_lat,set2_sub_solar_lon,set2_sub_obs_lon,set2_resolution_km_px,set2_fov_fraction
DIONE,16.28104786246882,co-iss-n1597244970,vg-iss-1-s-c3494502,5.411000000000001,3.092500000000001,0.17749999999999488,9.484,5.774000000000001,9.660000000000025,3.098,Cassini ISS,COISS_2047,data/1597186300_1597397449/N1597244970_3.LBL,"CL1,CL2",ISSNA,43.2,64.6995,44.829499999999996,-5.608,-31.538,327.167,4.109,5.10719,0.21469425946557694,Voyager ISS,VGISS_6113,DATA/C34945XX/C3494502_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,37.789,61.607,44.652,3.876,-25.764,336.827,1.011,2.17716,0.644647155009278
DIONE,16.44405533924041,co-iss-n1597244970,vg-iss-1-s-c3494458,5.7450000000000045,3.253,0.4480000000000075,9.484,5.753,9.368000000000052,3.977,Cassini ISS,COISS_2047,data/1597186300_1597397449/N1597244970_3.LBL,"CL1,CL2",ISSNA,43.2,64.6995,44.829499999999996,-5.608,-31.538,327.167,4.109,5.10719,0.21469425946557694,Voyager ISS,VGISS_6113,DATA/C34944XX/C3494458_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,37.455,61.4465,45.2775,3.876,-25.785,336.535,0.132,2.19975,0.6380270485282419
DIONE,19.92567319439923,co-iss-n1572355600,vg-iss-1-s-c3492526,6.4670000000000005,6.595500000000001,0.8930000000000007,13.866999999999999,3.7699999999999996,5.695999999999998,8.483000000000004,Cassini ISS,COISS_2038,data/1572235642_1572371574/N1572355600_1.LBL,"CL1,CL2",ISSNA,13.547,52.522,45.7845,-10.001,1.769,245.221,238.471,12.44185,0.08812872482789938,Voyager ISS,VGISS_6113,DATA/C34925XX/C3492526_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,7.08,45.9265,44.8915,3.866,-2.001,250.917,246.954,7.34701,0.19103009251382533
DIONE,20.39005868677185,co-iss-w1711614084,vg-iss-1-s-c3490807,8.642,0.18299999999999983,3.177500000000002,9.872,4.287,14.275000000000006,3.366000000000014,Cassini ISS,COISS_2073,data/1711606779_1711673901/W1711614084_1.LBL,"CL1,CL2",ISSWA,15.631,49.72,43.513,13.732,-0.427,160.713,154.026,4.70874,0.23286152452673115,Voyager ISS,VGISS_6113,DATA/C34908XX/C3490807_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,24.273,49.903,46.6905,3.86,3.86,174.988,150.66,13.83528,0.10144355589478492
DIONE,21.085543774112157,co-iss-n1577179689,vg-iss-2-s-c4397721,2.0139999999999993,3.2010000000000005,2.5534999999999997,17.214,0.2859999999999996,11.217000000000002,1.2460000000000004,Cassini ISS,COISS_2040,data/1577179689_1577437700/N1577179689_3.LBL,"CL1,CL2",ISSNA,25.834,51.954,44.701,-9.156,12.789,27.495,13.767,14.28687,0.07674769736128347,Voyager ISS,VGISS_6213,DATA/C43977XX/C4397721_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,23.82,55.155,47.2545,8.058,13.075,38.712,15.013,14.51816,0.09667203006441587
DIONE,25.34056981403536,co-iss-w1822294660,vg-iss-1-s-c3490043,8.794,7.546500000000002,0.39049999999999585,21.459,2.556,4.11699999999999,4.872,Cassini ISS,COISS_2099,data/1822284452_1822296442/W1822294660_1.LBL,"CL1,CL2",ISSWA,34.988,60.855,44.3825,25.316,1.923,138.422,111.411,2.98165,0.36774416011268923,Voyager ISS,VGISS_6113,DATA/C34900XX/C3490043_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,26.194,53.308499999999995,44.772999999999996,3.857,4.479,142.539,116.283,18.38525,0.0763383690730341
DIONE,26.492914137557616,co-iss-w1507734588,vg-iss-1-s-c3490807,1.3840000000000003,1.2434999999999974,1.1524999999999963,23.963,4.729,1.7769999999999868,9.866000000000014,Cassini ISS,COISS_2016,data/1507534214_1507739456/W1507734588_2.LBL,"CL1,CL2",ISSWA,22.889,51.146499999999996,45.538000000000004,-20.103,-0.869,173.211,160.526,6.38083,0.17184039928974756,Voyager ISS,VGISS_6113,DATA/C34908XX/C3490807_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,24.273,49.903,46.6905,3.86,3.86,174.988,150.66,13.83528,0.10144355589478492
ENCELADUS,12.884345200668898,co-iss-n1669852642,vg-iss-1-s-c3492956,6.746,0.9079999999999941,3.3044999999999973,3.279,5.1930000000000005,7.259999999999991,4.2809999999999775,Cassini ISS,COISS_2066,data/1669801294_1669905403/N1669852642_1.LBL,"CL1,CL2",ISSNA,7.141,47.0245,43.3555,7.146,0.073,259.312,260.256,2.66481,0.1847722023333746,Voyager ISS,VGISS_6113,DATA/C34929XX/C3492956_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,13.887,47.9325,46.66,3.867,-5.12,266.572,255.975,6.30776,0.09991661065100765
ENCELADUS,16.264319244899244,co-iss-n1669856551,vg-iss-1-s-c3492956,6.3870000000000005,0.2875000000000014,1.4354999999999976,3.2800000000000002,5.187,4.625,12.748999999999995,Cassini ISS,COISS_2066,data/1669801294_1669905403/N1669856551_1.LBL,"CL1,CL2",ISSNA,7.5,48.22,45.2245,7.147,0.067,271.197,268.724,3.05526,0.16115905438489686,Voyager ISS,VGISS_6113,DATA/C34929XX/C3492956_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,13.887,47.9325,46.66,3.867,-5.12,266.572,255.975,6.30776,0.09991661065100765
ENCELADUS,16.902480010341684,co-iss-n1669850329,vg-iss-1-s-c3492956,6.255000000000001,0.8804999999999978,1.7494999999999976,3.279,5.197,14.293000000000006,0.8259999999999934,Cassini ISS,COISS_2066,data/1669801294_1669905403/N1669850329_1.LBL,"CL1,CL2",ISSNA,7.632,47.052,44.9105,7.146,0.077,252.279,255.149,2.43989,0.20180533241252677,Voyager ISS,VGISS_6113,DATA/C34929XX/C3492956_RAW.LBL,CLEAR,NARROW ANGLE CAMERA,13.887,47.9325,46.66,3.867,-5.12,266.572,255.975,6.30776,0.09991661065100765
